"Platform","App Version","Event Date","Visitor Session","Page Name","Module","Carousel","Merchandising Source","Plink"
"iOS","Audible 4.54 (1799)","2025-10-15","40","Product Detail","ProductDetailsMetadata","center-3","Not Available","blVYj49ym6BM5yUW"
"iOS","Audible 4.54 (1799)","2025-10-15","40","Product Detail","ProductDetailsContributors","center-4","Not Available","JilrJG1y63Y1ZzeX"
"iOS","Audible 4.54 (1799)","2025-10-15","40","Product Detail","BuyBox","center-6","Not Available","4NTF9PUyM7Fw6c1M"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","ProductDetailsMetadata","center-3","Not Available","blVYj49ym6BM5yUW"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","Product Carousel","center-30","Not Available","F40sHkHvvEXuOjFd"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","ProductDetailsReviewsV3","center-45","Not Available","PTySHsWM0Hage09c"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","ProductDetailsContributors","center-4","Not Available","JilrJG1y63Y1ZzeX"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","BuyBox","center-6","Not Available","uilSd2fCJd8JimD5"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Author Profile","StandardAsinRowList","center-10","Not Available","HCzdfYS7zgwZvIwJ"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","Category Tags Shoveler","center-15","Not Available","4GeQqVjqmoRvXRB0"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","Product Carousel","center-34","Not Available","3m2DImISKF4KATWg"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","Category Tags Shoveler","center-15","Not Available","yL12Bf4hXO1A5rpf"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","Person Grid Carousel","center-41","Not Available","tqFBrN1JVH4R1gid"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","ProductDetailsMetadata","center-3","Not Available","EFqT2keIJAMo2vg7"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","ProductDetailsContributors","center-4","Not Available","8vHECD9lXIGUTSST"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","BuyBox","center-6","Not Available","4NTF9PUyM7Fw6c1M"
"iOS","Audible 4.54 (1799)","2025-10-15","39","Product Detail","Product Carousel","center-32","Not Available","VrjeQajICFHhmGCS"
"iOS","Audible 4.54 (1799)","2025-10-09","603","Search","Feature Awareness Module","center-2","Not Available","Not Applicable"
"iOS","Audible 4.54 (1799)","2025-10-09","603","Search","RowCollection","center-6","Not Available","gGZpwH1kcBQnGzBx"
"iOS","Audible 4.54 (1799)","2025-10-09","603","Search","Product Carousel","center-4","Not Available","DJyHtffk5XqcBil4"
"iOS","Audible 4.54 (1799)","2025-10-09","603","Home","FeaturedContentHeroViewPager","center-1","Not Available","2ONrU1TgClFGzfRl"
"iOS","Audible 4.54 (1799)","2025-10-09","603","Search","FeatureAwarenessItem","center-2","Not Available","gFS7dM9IiBAkGU6n"
"iOS","Audible 4.54 (1799)","2025-10-09","603","Home","Product Carousel","center-8","Not Available","Q2RvDland1EbniYz"
"iOS","Audible 4.54 (1799)","2025-10-09","603","Home","Product Carousel","center-5","Not Available","C6zKplLbLXoqOFRH"
"Web","Not Available","2025-10-09","10","SubCategory:Arts & Entertainment:Audio Performances & Dramatizations","carousel-PRODUCT_SHOVELER","center-6","EMPTY","WLvSwnZAFz7rBu6K"
"Web","Not Available","2025-10-09","10","SubCategory:Arts & Entertainment:Audio Performances & Dramatizations","carousel-PRODUCT_SHOVELER","center-4","EMPTY","O7IIjJUQooZx5lMh"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search Results All","RowCollection","center-4","Not Available","Y0uXhziCJ3j78leW"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Product Detail","Category Tags Shoveler","center-15","Not Available","I74iWwleox7Ybybh"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Product Detail","BuyBox","center-6","Not Available","voLNWOgylICo1Tgq"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Product Detail","ProductDetailsContributors","center-4","Not Available","uYPrkK2tX0t4glGV"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Product Detail","ProductDetailsMetadata","center-3","Not Available","7Ex5my60tdpuYYBm"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search Results All","RowCollection","center-4","Not Available","oaHCYKEcnBzyJkeE"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search Results All","RowCollection","center-4","Not Available","0dCKDHy9BLiGjeCR"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search Results All","RowCollection","center-4","Not Available","tL2Q8upJXXVH8M4g"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search","FeatureAwarenessItem","center-2","Not Available","D2yaC6gKM4GmMLsy"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search Results All","RowCollection","center-4","Not Available","wHgzQxCy9puIEkE9"
"iOS","Audible 4.54 (1799)","2025-10-08","598","SearchEnhancedAutocomplete","RowCollection","default","Not Available","UNKNOWN"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search Results All","RowCollection","center-4","Not Available","Jhdwp5PKmhwg8y57"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search","Feature Awareness Module","center-2","Not Available","Not Applicable"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search","RowCollection","center-6","Not Available","q4ovs7dT0gHP1IP5"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Home","FeaturedContentHeroViewPager","center-1","Not Available","4A4168jbRwVNmNXY"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Search","Product Carousel","center-4","Not Available","pXb6dt9eSJXlVLlM"
"iOS","Audible 4.54 (1799)","2025-10-08","598","Home","Product Carousel","center-5","Not Available","OgGKrqiC6qDjvfcm"
"iOS","Audible 4.54 (1799)","2025-10-07","597","Product Detail","BuyBox","center-6","Not Available","BC16AaYP1j7Y5JjC"
"iOS","Audible 4.54 (1799)","2025-10-07","597","Product Detail","ProductDetailsContributors","center-4","Not Available","G8J22UhQhV6zCmy4"
"iOS","Audible 4.54 (1799)","2025-10-07","597","Product Detail","ProductDetailsMetadata","center-3","Not Available","cEbVkttfWnEDPP8H"
"iOS","Audible 4.54 (1799)","2025-10-07","597","SearchEnhancedAutocomplete","RowCollection","default","Not Available","UNKNOWN"
"iOS","Audible 4.54 (1799)","2025-10-07","597","Search Results All","RowCollection","center-4","Not Available","mODvhZKinoUneLMB"
"iOS","Audible 4.54 (1799)","2025-10-07","597","Home","Product Carousel","center-17","Not Available","dApX6b3whEHFhFch"
