title_deletion_date,collection_creation_date,title_added_date,is_title_deleted,is_collection_discoverable,last_modified_date,product_name,collection_name,collection_description,total_items_in_collection,is_public_collection,is_collection_archived,profile_name,content_delivery_type,ASIN,collection_type,marketplace,collection_id
"Not Available","2023-10-09T15:46:43Z","Not Available","Not Available","No","2025-10-04T06:16:40Z","Not Available","Pending Items Not In Library","Titles that the user has ordered but are awaiting fulfillment","0","No","Not Available","Alex","Not Available","Not Available","PermanentCollection","www.audible.com","PENDING"
"2025-10-04T06:16:40Z","Not Available","2025-10-04T06:06:38Z","Yes","Not Available","2025-10-04T06:16:40Z","August Lane","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0DMCDS72D","Not Available","Not Available","PENDING"
"2025-10-03T00:04:35Z","Not Available","2025-10-02T23:54:34Z","Yes","Not Available","2025-10-03T00:04:35Z","Tourist Season","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0FHQM7TH7","Not Available","Not Available","PENDING"
"2025-08-18T20:12:55Z","Not Available","2025-08-18T20:02:53Z","Yes","Not Available","2025-08-18T20:12:55Z","Daisy Jones & The Six","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1984845306","Not Available","Not Available","PENDING"
"2025-07-26T23:01:49Z","Not Available","2025-07-26T22:51:49Z","Yes","Not Available","2025-07-26T23:01:49Z","Unhinged","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0F8C72JJ2","Not Available","Not Available","PENDING"
"2025-06-24T11:34:42Z","Not Available","2025-06-24T11:24:40Z","Yes","Not Available","2025-06-24T11:34:42Z","Severed Heart: The Birth of a Warrior","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0F1QG8BGG","Not Available","Not Available","PENDING"
"Not Available","2024-03-16T01:24:02Z","Not Available","Not Available","No","2025-06-08T00:46:19Z","Not Available","All You Can Listen","Titles Added from an All You Can Listen Membership","64","No","Not Available","Alex","Not Available","Not Available","PermanentCollection","www.audible.com","AYCL"
"Not Available","Not Available","2025-06-08T00:46:19Z","No","Not Available","2025-06-08T00:46:19Z","Billionaire for Sale","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0F5ZM2WM3","Not Available","Not Available","AYCL"
"Not Available","Not Available","2025-05-30T02:39:47Z","No","Not Available","2025-05-30T02:39:47Z","The Best Wrong Move","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0F62FMG3T","Not Available","Not Available","AYCL"
"Not Available","Not Available","2025-05-30T02:39:41Z","No","Not Available","2025-05-30T02:39:41Z","The Anatomy of Us","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0F5BCHBXH","Not Available","Not Available","AYCL"
"Not Available","Not Available","2025-05-30T02:39:06Z","No","Not Available","2025-05-30T02:39:06Z","Better Luck Next Time","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0DXQXCCL8","Not Available","Not Available","AYCL"
"2025-04-24T21:30:28Z","Not Available","2025-04-24T21:20:26Z","Yes","Not Available","2025-04-24T21:30:28Z","The Dream Guy Next Door","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B08MB7181Y","Not Available","Not Available","PENDING"
"2025-04-24T21:29:13Z","Not Available","2025-04-24T21:19:12Z","Yes","Not Available","2025-04-24T21:29:13Z","Love, Rebooted","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0F1NK1X5W","Not Available","Not Available","PENDING"
"Not Available","Not Available","2025-04-24T21:20:26Z","No","Not Available","2025-04-24T21:20:26Z","The Dream Guy Next Door","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B08MB7181Y","Not Available","Not Available","AYCL"
"Not Available","Not Available","2025-04-24T21:19:12Z","No","Not Available","2025-04-24T21:19:12Z","Love, Rebooted","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0F1NK1X5W","Not Available","Not Available","AYCL"
"2025-04-19T15:30:33Z","Not Available","2025-04-19T15:20:40Z","Yes","Not Available","2025-04-19T15:30:33Z","One Last Rainy Day: The Legacy of a Prince","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CCZL4CGM","Not Available","Not Available","PENDING"
"Not Available","Not Available","2025-03-14T17:26:35Z","No","Not Available","2025-03-14T17:26:35Z","Consider Me","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0B99MVBT5","Not Available","Not Available","AYCL"
"2025-02-25T15:30:16Z","Not Available","2025-02-25T15:20:15Z","Yes","Not Available","2025-02-25T15:30:16Z","Quicksilver","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0DBJ8Y2K1","Not Available","Not Available","PENDING"
"2025-02-21T21:07:38Z","Not Available","2025-02-21T20:58:05Z","Yes","Not Available","2025-02-21T21:07:38Z","Wild Eyes","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0D98QJPWL","Not Available","Not Available","PENDING"
"2025-02-11T22:34:35Z","Not Available","2025-02-11T22:24:40Z","Yes","Not Available","2025-02-11T22:34:35Z","Scythe & Sparrow","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0D7MZ68LQ","Not Available","Not Available","PENDING"
"2025-02-07T21:31:28Z","Not Available","2025-02-07T21:21:27Z","Yes","Not Available","2025-02-07T21:31:28Z","Misdirected","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0DPQ6JVX9","Not Available","Not Available","PENDING"
