title_in_english,length_in_minutes,subtitle_in_danish,subtitle_in_portuguese,subtitle_in_german,title_in_spanish,subtitle_in_french,available_in_library,subtitle_in_italian,is_adult_product,has_next_title_in_series,title_acquisition_id,language,title,profile_name,content_type,title_in_portuguese,media_type,audible_collections,subtitle_in_spanish,ASIN,title_in_italian,ebook_read_along_support,publisher,title_in_french,title_in_german,content_delivery_type,last_title_in_series_release_date,title_in_danish,audiobook_narrator,subtitle_in_english,last_updated,marketplace,is_finished,product_name,acquisition_method,whispersync_for_voice_support,format_type,plan_tier,subtitle,ownership_type,purchase_date,ownership,authors,book_series_info
"Defenseless Hearts","523","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Defenseless Hearts","Alex","Product","Not Available","audiobook","AYCL","Not Available","1705277683","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","CJ Bloom,Alexander Cendese","A Tender Hearts Novel, Book 2","2025-10-15T13:19:11Z","www.audible.com","No","Defenseless Hearts","Not Available","Yes","unabridged","AccessViaMusic","A Tender Hearts Novel, Book 2","Not Available","2024-10-03T02:19:48Z","Active","Meagan Brandy","asin:B08P4K8HB7,title:A Tender Hearts Novel"
"Perfectly Imperfect","640","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Perfectly Imperfect","Alex","Product","Not Available","audiobook","AYCL","Not Available","B01B8L2C5U","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Shirl Rae,Zachary Webber","Not Available","2025-10-14T15:06:15Z","www.audible.com","No","Perfectly Imperfect","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","Not Available","Not Available","2024-04-26T20:14:26Z","Active","Harper Sloan","Not Available"
"The Best Wrong Move","594","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Best Wrong Move","Alex","Product","Not Available","audiobook","AYCL","Not Available","B0F62FMG3T","Not Available","Yes","Audible Studios","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Ina-Marie Smith,Davis Brooks","Off-Limits, Book 1","2025-10-08T18:17:27Z","www.audible.com","No","The Best Wrong Move","Not Available","Yes","unabridged","AccessViaMusic,US Minerva","Off-Limits, Book 1","Not Available","2025-05-30T02:39:47Z","Active","Lily Parker","asin:B0F678JTQG,title:Off-Limits"
"A Royally Inconvenient Marriage","628","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","A Royally Inconvenient Marriage","Alex","Product","Not Available","audiobook","AYCL","Not Available","1630158151","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Stephen Dexter,Emma Wilder","Not Available","2025-10-08T06:59:45Z","www.audible.com","No","A Royally Inconvenient Marriage","Not Available","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2024-04-26T20:12:04Z","Active","Pippa Grant","Not Available"
"August Lane","660","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-7638385-3142632","en","August Lane","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DMCDS72D","Not Available","Yes","Grand Central Publishing","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Bahni Turpin,William DeMerritt,January LaVoy,Stephanie Cannon","Not Available","2025-10-05T22:34:31Z","www.audible.com","No","August Lane","Purchase","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2025-10-04T06:06:28Z","Active","Regina Black","Not Available"
"Tourist Season","716","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-8709163-5961821","en","Tourist Season","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0FHQM7TH7","Not Available","Yes","Zando Penguin Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Samantha Brentmoor,Robert Hatchet","The Seasons of Carnage Trilogy, Book 1","2025-10-02T23:54:28Z","www.audible.com","No","Tourist Season","Purchase","Yes","unabridged","AccessViaMusic","The Seasons of Carnage Trilogy, Book 1","Not Available","2025-10-02T23:54:27Z","Active","Brynne Weaver","Not Available"
"The Viscount Who Loved Me","743","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Viscount Who Loved Me","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B01MDMHYZG","Not Available","Yes","Recorded Books","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Rosalyn Landor","Not Available","2025-09-30T15:43:08Z","www.audible.com","No","The Viscount Who Loved Me","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","Not Available","Not Available","2024-04-18T16:59:39Z","Active","Julia Quinn","asin:B01A7RF7FI,title:Bridgertons"
"American King","967","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","American King","Alex","Product","Not Available","audiobook","AYCL","Not Available","B07B8W2TPN","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Guy Locke,Stephanie Rose","American Queen Series, Book 3","2025-09-27T13:17:28Z","www.audible.com","No","American King","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","American Queen Series, Book 3","Not Available","2024-04-19T11:39:02Z","Active","Sierra Simone","asin:B0721ZP8S9,title:American Queen Series"
"Pretty Little Savage","740","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Pretty Little Savage","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","1705287484","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","J.F. Harding,Elizabeth Russell","Sick Boys, Book 1","2025-09-26T15:55:22Z","www.audible.com","No","Pretty Little Savage","Not Available","Yes","unabridged","AccessViaMusic","Sick Boys, Book 1","Not Available","2024-11-01T21:04:04Z","Active","Lucy Smoke","asin:B08T5SPW37,title:Sick Boys"
"Love, Rebooted","581","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Love, Rebooted","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0F1NK1X5W","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Emily Atack,Stuart Martin","Not Available","2025-09-26T14:18:44Z","www.audible.com","No","Love, Rebooted","Not Available","No","original_recording","AccessViaMusic,US Minerva","Not Available","Not Available","2025-04-24T21:19:12Z","Active","Katy Summers","Not Available"
"Love & Other Killers","79","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Love & Other Killers","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0FJ2Y1GB8","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Samantha Brentmoor,Eric Nolan","Not Available","2025-09-17T02:57:12Z","www.audible.com","No","Love & Other Killers","KindleUnlimited","Yes","unabridged","AccessViaMusic,KindleUnlimited","Not Available","Not Available","2025-08-18T14:55:40Z","Revoked","Brynne Weaver","Not Available"
"Getting Schooled","433","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Getting Schooled","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B07956GH9Z","Not Available","Yes","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Zachary Webber,Andi Arndt","Not Available","2025-09-16T19:21:35Z","www.audible.com","Yes","Getting Schooled","Not Available","Yes","unabridged","AyceRomance,US Minerva","Not Available","Not Available","2024-04-16T18:53:37Z","Active","Emma Chase","asin:B0FLF1PMR8,title:The Lakeside Series"
"Teach Me","477","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","Not Available","en","Teach Me","Alex","Product","Not Available","audiobook","AYCL","Not Available","1630150266","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Avery Reid","Wolf Hotel Series, Book 3","2025-09-16T17:49:15Z","www.audible.com","Yes","Teach Me","Not Available","Yes","unabridged","AccessViaMusic","Wolf Hotel Series, Book 3","Not Available","2024-03-16T18:45:32Z","Active","K. A. Tucker","asin:B07TBMF1K8,title:Wolf Hotel"
"Surrender to Me","520","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Surrender to Me","Alex","Product","Not Available","audiobook","AYCL","Not Available","1630150274","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Avery Reid","Wolf Hotel Series, Book 4","2025-09-16T17:11:48Z","www.audible.com","Yes","Surrender to Me","Not Available","Yes","unabridged","AccessViaMusic","Wolf Hotel Series, Book 4","Not Available","2024-03-17T04:30:29Z","Active","K. A. Tucker","asin:B07TBMF1K8,title:Wolf Hotel"
"Severed Heart: The Birth of a Warrior","1481","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-4596330-1565069","en","Severed Heart: The Birth of a Warrior","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0F1QG8BGG","Not Available","Yes","Podium Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Grayson Owens,Leila Allarie","The Ravenhood Legacy, Book 2","2025-09-09T21:24:04Z","www.audible.com","No","Severed Heart: The Birth of a Warrior","Purchase","Yes","unabridged","AccessViaMusic","The Ravenhood Legacy, Book 2","Not Available","2025-06-24T11:24:34Z","Active","Kate Stewart","asin:B0CD1VDL2W,title:The Ravenhood Legacy"
"The Bookworm Crush","634","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Bookworm Crush","Alex","Product","Not Available","audiobook","Not Available","Not Available","1541440420","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Heather Wynne","Not Available","2025-09-09T13:44:58Z","www.audible.com","No","The Bookworm Crush","Not Available","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2024-04-26T20:35:22Z","Revoked","Lisa Brown Roberts","Not Available"
"My Dark Romeo","749","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-8763353-3981064","en","My Dark Romeo","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0BY3CD2VH","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Jacob Morgan,Stella Hunter","Dark Prince Road, Book 1","2025-09-05T03:54:34Z","www.audible.com","No","My Dark Romeo","Purchase","Yes","unabridged","Not Available","Dark Prince Road, Book 1","Not Available","2024-04-18T17:39:24Z","Active","L.J. Shen,Parker S. Huntington","asin:B0CRXJLK1W,title:Dark Prince Road"
"Kingdom of Ash","1991","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-9668856-6259426","en","Kingdom of Ash","Alex","Product","Not Available","audiobook","PENDING","Not Available","B07J682QY2","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Elizabeth Evans","Not Available","2025-09-03T09:04:56Z","www.audible.com","No","Kingdom of Ash","Purchase","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2025-01-06T07:33:06Z","Active","Sarah J. Maas","asin:B00FPW78IK,title:Throne of Glass"
"Empire of Storms","1518","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-6027194-9446606","en","Empire of Storms","Alex","Product","Not Available","audiobook","PENDING","Not Available","B01KIQVHL6","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Elizabeth Evans","Not Available","2025-09-03T08:55:35Z","www.audible.com","No","Empire of Storms","Purchase","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2024-12-31T06:42:33Z","Active","Sarah J. Maas","asin:B00FPW78IK,title:Throne of Glass"
"Queen of Shadows","1243","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-0044678-8707429","en","Queen of Shadows","Alex","Product","Not Available","audiobook","PENDING","Not Available","B012BTUEVC","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Elizabeth Evans","Not Available","2025-09-03T08:44:58Z","www.audible.com","No","Queen of Shadows","Purchase","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2024-12-29T19:58:05Z","Active","Sarah J. Maas","asin:B00FPW78IK,title:Throne of Glass"
"Lights Out","818","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-8138528-1968217","en","Lights Out","Alex","Product","Not Available","audiobook","PENDING","Not Available","B0D7WG8WD1","Not Available","Yes","Slowburn","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Elena Wolfe,Jacob Morgan","An Into Darkness Novel","2025-09-02T17:15:55Z","www.audible.com","No","Lights Out","Purchase","Yes","unabridged","AccessViaMusic","An Into Darkness Novel","Not Available","2024-12-01T05:30:10Z","Active","Navessa Allen","asin:B0D81P952Y,title:Into Darkness"
"Leather & Lark","735","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-6476205-2013027","en","Leather & Lark","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B0CQTGW5SS","Not Available","Yes","Zando","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Samantha Brentmoor,Eric Nolan","The Ruinous Love, Book 2","2025-09-02T17:10:03Z","www.audible.com","No","Leather & Lark","Purchase","Yes","unabridged","Not Available","The Ruinous Love, Book 2","Not Available","2024-07-06T18:51:36Z","Active","Brynne Weaver","asin:B0CKBKN3J5,title:The Ruinous Love Trilogy"
"Caught Up","641","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-7563448-0464235","en","Caught Up","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DJRKC1TR","Not Available","Yes","Slowburn","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Kasi Hollowell,Jason June,Teddy Hamilton","Into Darkness, Book 2","2025-09-02T17:08:38Z","www.audible.com","No","Caught Up","Purchase","Yes","unabridged","AccessViaMusic","Into Darkness, Book 2","Not Available","2025-06-10T07:01:42Z","Active","Navessa Allen","asin:B0D81P952Y,title:Into Darkness"
