"Product Name","Status","Add Date","Cart Amount","Delete Date","Delete Amount"
"August Lane (Unabridged)","Purchased","2025-10-03","1","Not Available","0"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1 (Unabridged)","Purchased","2025-10-02","1","Not Available","0"
"Daisy Jones & The Six: A Novel (Unabridged)","Purchased","2025-08-18","1","Not Available","0"
"Unhinged: A Dark Why-Choose Romance (Dance with My Demons, Book 1) (Unabridged)","Purchased","2025-07-26","1","Not Available","0"
"Severed Heart: The Birth of a Warrior: The Ravenhood Legacy, Book 2 (Unabridged)","Purchased","2025-06-24","1","Not Available","0"
"Caught Up: Into Darkness, Book 2 (Unabridged)","Purchased","2025-06-09","1","Not Available","0"
"One Last Rainy Day: The Legacy of a Prince: The Ravenhood Legacy, Book 1 (Unabridged)","Purchased","2025-04-19","1","Not Available","0"
"Quicksilver: The Fae & Alchemy Series, Book 1 (Unabridged)","Purchased","2025-02-25","1","Not Available","0"
"Wild Eyes (Unabridged)","Purchased","2025-02-21","1","Not Available","0"
"Scythe & Sparrow: The Ruinous Love Trilogy, Book 3 (Unabridged)","Purchased","2025-02-11","1","Not Available","0"
"House of Flame and Shadow: Crescent City, Book 3 (Unabridged)","Purchased","2025-02-02","1","Not Available","0"
"Empire of Storms (Unabridged)","Purchased","2024-12-30","1","Not Available","0"
"The Words (Unabridged)","Purchased","2024-12-07","1","Not Available","0"
"Hawke (Unabridged)","Purchased","2024-12-03","1","Not Available","0"
"Lights Out: An Into Darkness Novel (Unabridged)","Purchased","2024-11-30","1","Not Available","0"
"A Game of Gods: Hades Saga, Book 3 (Unabridged)","Purchased","2024-07-12","1","Not Available","0"
"Leather & Lark: The Ruinous Love, Book 2 (Unabridged)","Purchased","2024-07-06","1","Not Available","0"
"King of Greed: Kings of Sin, Book 3 (Unabridged)","Purchased","2024-05-17","1","Not Available","0"
"King of Sloth: Kings of Sin, Book 4 (Unabridged)","Purchased","2024-05-17","1","Not Available","0"
"King of Wrath : Kings of Sin (Unabridged)","Purchased","2024-05-14","1","Not Available","0"
"Hudson (Unabridged)","Purchased","2024-05-02","1","Not Available","0"
"Forever with You (Unabridged)","Purchased","2024-05-02","1","Not Available","0"
"Found in You (Unabridged)","Purchased","2024-04-30","1","Not Available","0"
"My Dark Romeo: Dark Prince Road, Book 1 (Unabridged)","Purchased","2024-04-18","1","Not Available","0"
"Butcher & Blackbird: The Ruinous Love Trilogy, Book 1 (Unabridged)","Purchased","2024-04-11","1","Not Available","0"
"One with You: Crossfire, Book 5 (Unabridged)","Purchased","2024-03-20","1","Not Available","0"
"Captivated by You: Crossfire, Book 4 (Unabridged)","Purchased","2024-03-19","1","Not Available","0"
"Reflected in You: A Crossfire Novel, Book 2 (Unabridged)","Purchased","2024-03-18","1","Not Available","0"
"Credence (Unabridged)","Purchased","2024-03-07","1","Not Available","0"
"Twisted Hate: Twisted, Book 3 (Unabridged)","Purchased","2024-03-01","1","Not Available","0"
"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI (Unabridged)","Purchased","2023-10-09","1","Not Available","0"
"Not Available","Deleted","2023-10-09","1","2023-10-09","1"
