"Issue Date","Credit Reason","Plan","Consumed Status","Credit Status","Consumed Date","Expire Date","Consumed Order","Original Credit","Consumed Credit","Remaining Credit","Original Credit Revenue","Consumed Credit Revenue","Remaining Credit Revenue","Currency Code"
"2025-10-09","New Monthly","Gold Monthly","UNKNOWN","Active","UNKNOWN","2026-10-09","-1","1.00","0.00","1.00","14.95","0.00","14.95","USD"
"2025-09-09","New Monthly","Gold Monthly","consumed","Inactive","2025-10-03","2026-09-09","D01-7638385-3142632","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2025-08-09","New Monthly","Gold Monthly","consumed","Inactive","2025-10-02","2026-08-09","D01-8709163-5961821","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2025-07-09","New Monthly","Gold Monthly","consumed","Inactive","2025-08-18","2026-07-09","D01-7960731-1651418","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2025-06-09","New Monthly","Gold Monthly","consumed","Inactive","2025-07-26","2026-06-09","D01-0796064-4646636","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2025-05-09","New Monthly","Gold Monthly","consumed","Inactive","2025-06-24","2026-05-09","D01-4596330-1565069","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2025-04-09","New Monthly","Gold Monthly","pre-order consumed","Inactive","2025-06-09","2026-04-09","D01-7563448-0464235","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2025-03-09","New Monthly","Gold Monthly","consumed","Inactive","2025-04-19","2026-03-09","D01-2627134-1059467","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2025-02-09","New Monthly","Gold Monthly","consumed","Inactive","2025-02-21","2026-02-09","D01-6616168-7872266","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2025-01-09","New Monthly","Gold Monthly","consumed","Inactive","2025-02-11","2026-01-09","D01-2750678-1232211","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-12-09","New Monthly","Gold Monthly","consumed","Inactive","2025-02-02","2025-12-09","D01-1389572-8761838","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-11-09","New Monthly","Gold Monthly","consumed","Inactive","2024-12-30","2025-11-09","D01-6027194-9446606","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-10-09","New Monthly","Gold Monthly","consumed","Inactive","2024-12-07","2025-10-09","D01-2930424-2809854","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-09-09","New Monthly","Gold Monthly","consumed","Inactive","2024-12-03","2025-09-09","D01-0743402-6112238","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-08-09","New Monthly","Gold Monthly","consumed","Inactive","2024-11-30","2025-08-09","D01-8138528-1968217","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-07-09","New Monthly","Gold Monthly","consumed","Inactive","2024-07-12","2025-07-09","D01-2325819-1709016","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-06-09","New Monthly","Gold Monthly","consumed","Inactive","2024-07-06","2025-06-09","D01-6476205-2013027","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-05-09","New Monthly","Gold Monthly","consumed","Inactive","2024-05-14","2025-05-09","D01-1805751-2595445","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-04-09","New Monthly","Gold Monthly","consumed","Inactive","2024-04-11","2025-04-09","D01-1683196-2000205","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-03-09","New Monthly","Gold Monthly","consumed","Inactive","2024-03-20","2025-03-09","D01-7402119-6157018","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-02-09","New Monthly","Gold Monthly","consumed","Inactive","2024-03-19","2025-02-09","D01-0642754-1760268","1.00","1.00","0.00","14.95","14.95","0.00","USD"
"2024-01-09","New Monthly","Gold Monthly","consumed","Inactive","2024-03-18","2025-01-09","D01-6842494-5894654","1.00","1.00","0.00","5.95","5.95","0.00","USD"
"2023-12-09","New Monthly","Gold Monthly","consumed","Inactive","2024-03-07","2024-12-09","D01-6799859-6931406","1.00","1.00","0.00","5.95","5.95","0.00","USD"
"2023-11-09","New Monthly","Gold Monthly","consumed","Inactive","2024-03-01","2024-11-09","D01-6920865-6870621","1.00","1.00","0.00","5.95","5.95","0.00","USD"
"2023-10-09","New Monthly","Gold Monthly","consumed","Inactive","2023-10-09","2024-10-09","D01-9262251-1949017","1.00","1.00","0.00","5.95","5.95","0.00","USD"
