"Date Added","Product Name","ASIN","Downloaded","Deleted","Delete By","Date Deleted","Public","Streamed","Preorder","Downloads","Date First Downloaded","Order Number","Origin Type"
"2025-10-04","August Lane (Unabridged)","B0DMCDS72D","Yes","No","Not Available","Not Available","Not Available","Not Available","No","4","2025-10-04","D01-7638385-3142632","Purchase"
"2025-10-02","Tourist Season: The Seasons of Carnage Trilogy, Book 1 (Unabridged)","B0FHQM7TH7","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2025-10-02","D01-8709163-5961821","Purchase"
"2025-08-18","Daisy Jones & The Six: A Novel (Unabridged)","1984845306","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2025-08-18","D01-7960731-1651418","Purchase"
"2025-08-18","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","Yes","Yes","Audible","2025-09-17","Not Available","Not Available","No","2","2025-08-18","Not Available","KindleUnlimited"
"2025-07-26","Unhinged: A Dark Why-Choose Romance (Dance with My Demons, Book 1) (Unabridged)","B0F8C72JJ2","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2025-07-26","D01-0796064-4646636","Purchase"
"2025-06-25","All Superheroes Need PR: Supers in the City (Unabridged)","B0DPNJ2HJB","Yes","Yes","Audible","2025-07-06","Not Available","Not Available","No","4","2025-06-06","Not Available","KindleUnlimited"
"2025-06-24","Severed Heart: The Birth of a Warrior: The Ravenhood Legacy, Book 2 (Unabridged)","B0F1QG8BGG","Yes","No","Not Available","Not Available","Not Available","Not Available","No","6","2025-06-24","D01-4596330-1565069","Purchase"
"2025-06-09","Caught Up: Into Darkness, Book 2 (Unabridged)","B0DJRKC1TR","Yes","No","Not Available","Not Available","Not Available","Not Available","Yes","3","2025-06-10","D01-7563448-0464235","Purchase"
"2025-04-19","One Last Rainy Day: The Legacy of a Prince: The Ravenhood Legacy, Book 1 (Unabridged)","B0CCZL4CGM","Yes","No","Not Available","Not Available","Not Available","Not Available","No","5","2025-04-19","D01-2627134-1059467","Purchase"
"2025-03-19","The Fall Risk: A Short Story (Unabridged)","B0DS2VST1B","Yes","Yes","Audible","2025-03-21","Not Available","Not Available","No","2","2025-03-20","Not Available","KindleUnlimited"
"2025-02-25","Quicksilver: The Fae & Alchemy Series, Book 1 (Unabridged)","B0DBJ8Y2K1","Yes","No","Not Available","Not Available","Not Available","Not Available","No","5","2025-02-25","D01-6881022-8755426","Purchase"
"2025-02-21","Wild Eyes (Unabridged)","B0D98QJPWL","Yes","No","Not Available","Not Available","Not Available","Not Available","No","4","2025-02-21","D01-6616168-7872266","Purchase"
"2025-02-11","Scythe & Sparrow: The Ruinous Love Trilogy, Book 3 (Unabridged)","B0D7MZ68LQ","Yes","No","Not Available","Not Available","Not Available","Not Available","No","3","2025-02-11","D01-2750678-1232211","Purchase"
"2025-02-02","House of Flame and Shadow: Crescent City, Book 3 (Unabridged)","B0CGSXFQYY","Yes","No","Not Available","Not Available","Not Available","Not Available","No","3","2025-02-02","D01-1389572-8761838","Purchase"
"2025-01-31","House of Sky and Breath: Crescent City, Book 2 (Unabridged)","B09MZPZ1WG","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2025-01-31","D01-1175284-2381052","Purchase"
"2025-01-28","House of Earth and Blood: Crescent City, Book 1 (Unabridged)","B082YHZPTY","Yes","No","Not Available","Not Available","Not Available","Not Available","No","4","2025-01-28","D01-9373097-3040242","Purchase"
"2025-01-06","Kingdom of Ash (Unabridged)","B07J682QY2","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2025-01-06","D01-9668856-6259426","Purchase"
"2025-01-03","Tower of Dawn (Unabridged)","B0759X8K2X","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2025-01-03","D01-1020695-6013011","Purchase"
