"Start Date","End Date","Event Duration Milliseconds","Start Position Milliseconds","End Position Milliseconds","Product Name","ASIN","Book Length Milliseconds","Delivery Type","Narration Speed","Bookmark","Audio Type","Asin Owned","Listening Mode","Store","App Version","Local Timezone"
"2025-10-07","2025-10-07","308166","36578455","36944097","August Lane (Unabridged)","B0DMCDS72D","39651878","Download","1.00","0","FullTitle","No","Online","Audible","8.131.0.100(2.0.5419","America/Chicago"
"2025-10-06","2025-10-06","283476","30814385","31154329","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","170412","30609814","30813982","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","38428","30563764","30609556","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","330720","30167207","30563747","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","87638","30061988","30166837","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","299393","29700436","30059392","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","32189","29661906","29700211","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","470551","29097516","29661851","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","174318","28888377","29097238","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","118031","28746775","28888093","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","51528","28683656","28745173","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","102968","28553785","28676487","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","48586","29577906","29635800","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","70230","29494035","29577816","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","65819","29415184","29493663","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","257949","29105717","29414762","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","303780","28741227","29105269","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","38500","28692404","28738101","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","130834","28534105","28690680","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1442","28562882","28564105","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1680","28591336","28592882","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1582","28619961","28621336","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
