"Tax Create Date","Billing Period End Date","Billing Period Start Date","Status Last Updated Date","Base Amount","Tax","Total Amount","Currency","Type","Plan","Plan Billing Freq","Plan Billing Fee","Offer Name","Offer Type","Merchant Name","Tax Reason","Status"
"2025-10-09","2025-11-09","2025-10-09","2025-10-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2025-09-09","2025-10-09","2025-09-09","2025-09-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2025-08-09","2025-09-09","2025-08-09","2025-08-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2025-07-09","2025-08-09","2025-07-09","2025-07-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2025-06-09","2025-07-09","2025-06-09","2025-06-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2025-05-09","2025-06-09","2025-05-09","2025-05-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2025-04-09","2025-05-09","2025-04-09","2025-04-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2025-03-09","2025-04-09","2025-03-09","2025-03-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2025-02-09","2025-03-09","2025-02-09","2025-02-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2025-01-09","2025-02-09","2025-01-09","2025-01-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-12-09","2025-01-09","2024-12-09","2024-12-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-11-09","2024-12-09","2024-11-09","2024-11-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-10-09","2024-11-09","2024-10-09","2024-10-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-09-09","2024-10-09","2024-09-09","2024-09-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-08-09","2024-09-09","2024-08-09","2024-08-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-07-09","2024-08-09","2024-07-09","2024-07-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-06-09","2024-07-09","2024-06-09","2024-06-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-05-09","2024-06-09","2024-05-09","2024-05-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-04-09","2024-05-09","2024-04-09","2024-04-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-03-09","2024-04-09","2024-03-09","2024-03-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-02-09","2024-03-09","2024-02-09","2024-02-11","14.95","1.20","16.15","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2024-01-09","2024-02-09","2024-01-09","2024-01-11","5.95","0.48","6.43","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2023-12-09","2024-01-09","2023-12-09","2023-12-11","5.95","0.48","6.43","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2023-11-09","2023-12-09","2023-11-09","2023-11-11","5.95","0.48","6.43","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Renewal","ChargeSucceeded"
"2023-10-09","2023-11-09","2023-10-09","2023-10-11","5.95","0.48","6.43","USD","Charge","Gold Monthly","1","14.95","Audible Premium Plus","No Offer","Audible","Subscription_Signup","ChargeSucceeded"
