"Order Place Date","Order Fulfill Date","Order Settle Date","Order ID","Status","Type","Preorder Desc","Sale Type Desc","Royalty Sale Type","Regular Price","Units","Discount","Consumed Credit","Price Paid Member","Tax Rate","Tax","Partner Revenue","Net Sales","Net Price","Currency","Product Name","ASIN","Action","Whispersync"
"2025-10-03","2025-10-03","Not Available","D01-7638385-3142632","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","12.3859230","0.00","USD","August Lane (Unabridged)","B0DMCDS72D","iPhone Account Create (1.0 app)","No"
"2025-10-02","2025-10-02","Not Available","D01-8709163-5961821","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","10.6207200","0.00","USD","Tourist Season: The Seasons of Carnage Trilogy, Book 1 (Unabridged)","B0FHQM7TH7","iPhone Account Create (1.0 app)","No"
"2025-08-18","2025-08-18","Not Available","D01-7960731-1651418","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","8.8506000","0.00","USD","Daisy Jones & The Six: A Novel (Unabridged)","1984845306","iPhone Account Create (1.0 app)","No"
"2025-07-26","2025-07-26","Not Available","D01-0796064-4646636","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","10.3740000","0.00","USD","Unhinged: A Dark Why-Choose Romance (Dance with My Demons, Book 1) (Unabridged)","B0F8C72JJ2","iPhone Account Create (1.0 app)","No"
"2025-06-24","2025-06-24","Not Available","D01-4596330-1565069","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","13.5079719","0.00","USD","Severed Heart: The Birth of a Warrior: The Ravenhood Legacy, Book 2 (Unabridged)","B0F1QG8BGG","iPhone Account Create (1.0 app)","Yes"
"2025-06-09","2025-06-10","Not Available","D01-7563448-0464235","Completed","CREDIT","PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","13.3066800","0.00","USD","Caught Up: Into Darkness, Book 2 (Unabridged)","B0DJRKC1TR","Credit AMZ Mobile Web Buy Box 2","Yes"
"2025-04-19","2025-04-19","Not Available","D01-2627134-1059467","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","12.6400000","0.00","USD","One Last Rainy Day: The Legacy of a Prince: The Ravenhood Legacy, Book 1 (Unabridged)","B0CCZL4CGM","iPhone Account Create (1.0 app)","Yes"
"2025-02-25","2025-02-25","Not Available","D01-6881022-8755426","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","7.49","1","0.00","0.00","0.00","0.0801","0.60","0.000000","7.4900000","7.49","USD","Quicksilver: The Fae & Alchemy Series, Book 1 (Unabridged)","B0DBJ8Y2K1","HP Kindle TYP Upsell Widget","Yes"
"2025-02-21","2025-02-21","Not Available","D01-6616168-7872266","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","12.9740000","0.00","USD","Wild Eyes (Unabridged)","B0D98QJPWL","iPad Default via Mobile Store","Yes"
"2025-02-11","2025-02-11","Not Available","D01-2750678-1232211","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","11.7425000","0.00","USD","Scythe & Sparrow: The Ruinous Love Trilogy, Book 3 (Unabridged)","B0D7MZ68LQ","iPhone Account Create (1.0 app)","No"
