first_clicked_product_name,first_clicked_asin,first_added_product_name,first_added_asin,first_purchased_asin,first_purchase_product_name,click_count,add_count,borrow_count,order_count,aliases,marketplace_short_name,consume_count,is_recognized_session,max_total_found,total_txn_revenue,search_count,search_page_types,iss_alias,iss_query_prefix,keywords,active_refinement_count,search_type,operating_system_name,query_length,site_variant,spelling_correction,region,partition_date,clicked,free_units_ordered,iss_query_prefix_length,abandonments,paid_purchased,last_search_gmt_time,added,first_search_gmt_time
The Invisible Life of Addie LaRue (Unabridged),125077795X,The Invisible Life of Addie LaRue (Unabridged),Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged),1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
The Invisible Life of Addie LaRue (Unabridged),125077795X,The Invisible Life of Addie LaRue (Unabridged),Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged),1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
The Invisible Life of Addie LaRue (Unabridged),125077795X,The Invisible Life of Addie LaRue (Unabridged),Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged),1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
The Invisible Life of Addie LaRue (Unabridged),125077795X,The Invisible Life of Addie LaRue (Unabridged),Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged),1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
The Invisible Life of Addie LaRue (Unabridged),125077795X,The Invisible Life of Addie LaRue (Unabridged),Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged),1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
The Invisible Life of Addie LaRue (Unabridged),125077795X,The Invisible Life of Addie LaRue (Unabridged),Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged),1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
The Invisible Life of Addie LaRue (Unabridged),125077795X,The Invisible Life of Addie LaRue (Unabridged),Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged),1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
The Invisible Life of Addie LaRue (Unabridged) Part 2,125077795X,The Invisible Life of Addie LaRue (Unabridged) Part 2,Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged) Part 2,1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
The Invisible Life of Addie LaRue (Unabridged) Part 1,125077795X,The Invisible Life of Addie LaRue (Unabridged) Part 1,Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged) Part 1,1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
The Invisible Life of Addie LaRue (Unabridged),125077795X,The Invisible Life of Addie LaRue (Unabridged),Not Applicable,Not Applicable,The Invisible Life of Addie LaRue (Unabridged),1,0,0,0,na-audible-us,US,0,yes,19,0,1,Search,na-audible-us\,the invisible,the invisible life of addie larue,0,kw,iOS,6,Mobile Application,Not Applicable,CDW,2025-10-08T00:00:00Z,yes,0,14,0,0,2025-10-08T23:40:31Z,no,2025-10-08T23:40:31Z
Mate (Unabridged),B0DYR3DYZT,Mate (Unabridged),Not Applicable,Not Applicable,Mate (Unabridged),1,0,0,0,na-audible-us,US,0,yes,6228,0,1,Search,Not Applicable,Not Applicable,mate,0,kw,iOS,1,Mobile Application,Not Applicable,CDW,2025-10-07T00:00:00Z,yes,0,0,0,0,2025-10-08T03:10:30Z,no,2025-10-08T03:10:30Z
Mate (Unabridged),B0DYR3DYZT,Mate (Unabridged),Not Applicable,Not Applicable,Mate (Unabridged),1,0,0,0,na-audible-us,US,0,yes,6228,0,1,Search,Not Applicable,Not Applicable,mate,0,kw,iOS,1,Mobile Application,Not Applicable,CDW,2025-10-07T00:00:00Z,yes,0,0,0,0,2025-10-08T03:10:30Z,no,2025-10-08T03:10:30Z
August Lane (Unabridged),B0DMCDS72D,August Lane (Unabridged),B0DMCDS72D,B0DMCDS72D,August Lane (Unabridged),2,1,0,1,na-audible-us,US,0,yes,20,1,1,Search,na-audible-us\,august,august lane,0,kw,iOS,2,Mobile Application,Not Applicable,CDW,2025-10-03T00:00:00Z,yes,0,6,0,1,2025-10-04T06:06:22Z,yes,2025-10-04T06:06:22Z
August Lane (Unabridged),B0DMCDS72D,August Lane (Unabridged),B0DMCDS72D,B0DMCDS72D,August Lane (Unabridged),2,1,0,1,na-audible-us,US,0,yes,20,1,1,Search,na-audible-us\,august,august lane,0,kw,iOS,2,Mobile Application,Not Applicable,CDW,2025-10-03T00:00:00Z,yes,0,6,0,1,2025-10-04T06:06:22Z,yes,2025-10-04T06:06:22Z
"Flock: The Ravenhood, Book 1 (Unabridged)",1774248239,"Flock: The Ravenhood, Book 1 (Unabridged)",Not Applicable,Not Applicable,"Flock: The Ravenhood, Book 1 (Unabridged)",1,0,0,0,na-audible-us,US,0,yes,295,0,1,Search,Not Applicable,Not Applicable,flock,0,kw,iOS,1,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,0,0,0,2025-10-03T02:14:55Z,no,2025-10-03T02:14:55Z
"Flock: The Ravenhood, Book 1 (Unabridged)",1774248239,"Flock: The Ravenhood, Book 1 (Unabridged)",Not Applicable,Not Applicable,"Flock: The Ravenhood, Book 1 (Unabridged)",1,0,0,0,na-audible-us,US,0,yes,295,0,1,Search,Not Applicable,Not Applicable,flock,0,kw,iOS,1,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,0,0,0,2025-10-03T02:14:55Z,no,2025-10-03T02:14:55Z
"Flock: The Ravenhood, Book 1 (Unabridged)",1774248239,"Flock: The Ravenhood, Book 1 (Unabridged)",Not Applicable,Not Applicable,"Flock: The Ravenhood, Book 1 (Unabridged)",1,0,0,0,na-audible-us,US,0,yes,295,0,1,Search,Not Applicable,Not Applicable,flock,0,kw,iOS,1,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,0,0,0,2025-10-03T02:14:55Z,no,2025-10-03T02:14:55Z
"Flock: The Ravenhood, Book 1 (Unabridged)",1774248239,"Flock: The Ravenhood, Book 1 (Unabridged)",Not Applicable,Not Applicable,"Flock: The Ravenhood, Book 1 (Unabridged)",1,0,0,0,na-audible-us,US,0,yes,295,0,1,Search,Not Applicable,Not Applicable,flock,0,kw,iOS,1,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,0,0,0,2025-10-03T02:14:55Z,no,2025-10-03T02:14:55Z
"Flock: The Ravenhood, Book 1 (Unabridged)",1774248239,"Flock: The Ravenhood, Book 1 (Unabridged)",Not Applicable,Not Applicable,"Flock: The Ravenhood, Book 1 (Unabridged)",1,0,0,0,na-audible-us,US,0,yes,295,0,1,Search,Not Applicable,Not Applicable,flock,0,kw,iOS,1,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,0,0,0,2025-10-03T02:14:55Z,no,2025-10-03T02:14:55Z
"Flock: The Ravenhood, Book 1 (Unabridged)",1774248239,"Flock: The Ravenhood, Book 1 (Unabridged)",Not Applicable,Not Applicable,"Flock: The Ravenhood, Book 1 (Unabridged)",1,0,0,0,na-audible-us,US,0,yes,295,0,1,Search,Not Applicable,Not Applicable,flock,0,kw,iOS,1,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,0,0,0,2025-10-03T02:14:55Z,no,2025-10-03T02:14:55Z
HIM (Unabridged),B01BU9AY8C,HIM (Unabridged),Not Applicable,Not Applicable,HIM (Unabridged),1,0,0,0,na-audible-us,US,0,yes,408,0,4,Search,Not Applicable,Not Applicable,jacob morgan,0,kw,iOS,2,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,0,0,0,2025-10-03T03:25:37Z,no,2025-10-03T03:24:44Z
"Speak: Rayne-Moore University, Book One (Unabridged)",B0F6NY8S21,"Speak: Rayne-Moore University, Book One (Unabridged)",Not Applicable,Not Applicable,"Speak: Rayne-Moore University, Book One (Unabridged)",1,0,0,0,na-audible-us,US,0,yes,8917,0,2,Search,Not Applicable,Not Applicable,speak,0,kw,iOS,1,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,0,0,0,2025-10-03T03:43:04Z,no,2025-10-03T03:43:01Z
August Lane (Unabridged),B0DMCDS72D,August Lane (Unabridged),Not Applicable,Not Applicable,August Lane (Unabridged),2,0,0,0,na-audible-us,US,0,yes,20,0,2,Search,na-audible-us\,august,august lane,0,kw,iOS,2,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,6,0,0,2025-10-03T02:24:09Z,no,2025-10-03T02:15:43Z
Grim (Unabridged),B0FQ63HHWT,Grim (Unabridged),Not Applicable,Not Applicable,Grim (Unabridged),4,0,0,0,na-audible-us,US,0,yes,753,0,7,Search,Not Applicable,Not Applicable,joe arden,0,kw,iOS,2,Mobile Application,Not Applicable,CDW,2025-10-02T00:00:00Z,yes,0,0,0,0,2025-10-03T03:44:04Z,no,2025-10-02T23:55:13Z
