device_record_time,Device Serial Number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,Amazon Marketplace
2024-07-20T16:53:53Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,599362,4246250033,appAction,Not Available,Not Available,Not Available,2024-07-20T16:43:53Z,Amazon.com
2024-07-20T16:27:23Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,44004,4246250033,appAction,Not Available,Not Available,Not Available,2024-07-20T16:26:39Z,Amazon.com
2024-07-18T18:29:39Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,72786,4246250033,appAction,Not Available,Not Available,Not Available,2024-07-18T18:28:26Z,Amazon.com
2024-07-18T18:28:39Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,27204,4246250033,appAction,Not Available,Not Available,Not Available,2024-07-18T18:25:28Z,Amazon.com
2024-07-18T18:25:42Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,12885,4246250033,appAction,Not Available,Not Available,Not Available,2024-07-18T18:25:29Z,Amazon.com
2024-07-18T18:25:31Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,1050659,4246250033,appAction,Not Available,Not Available,Not Available,2024-07-18T18:08:00Z,Amazon.com
2024-07-18T18:05:20Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,191905,4246250033,appAction,Not Available,Not Available,Not Available,2024-07-18T18:02:08Z,Amazon.com
2024-07-18T18:02:08Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,7743,4246250033,appAction,Not Available,Not Available,Not Available,2024-07-18T18:02:00Z,Amazon.com
2024-07-18T18:02:03Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,94392800,4246250033,appAction,Not Available,Not Available,Not Available,2024-07-17T15:48:51Z,Amazon.com
2024-07-17T15:41:28Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,16388,4212850015,appAction,Not Available,Not Available,Not Available,2024-07-17T15:41:12Z,Amazon.com
2024-07-17T15:41:23Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,12907,4212850015,appAction,Not Available,Not Available,Not Available,2024-07-17T15:41:10Z,Amazon.com
2024-07-17T15:41:10Z,G8S1LG134041039L,United States,com.lab126.KPP_SETTINGS,UNKNOWN,0,Ereader,Not Available,Not Available,1,67340,4212850015,appAction,Not Available,Not Available,Not Available,2024-07-17T15:40:03Z,Amazon.com
2024-07-17T15:41:10Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,11556,4212850015,appAction,Not Available,Not Available,Not Available,2024-07-17T15:40:59Z,Amazon.com
2024-07-17T15:40:58Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,4291,4212850015,appAction,Not Available,Not Available,Not Available,2024-07-17T15:40:54Z,Amazon.com
2024-07-17T15:40:53Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,102779,4212850015,appAction,Not Available,Not Available,Not Available,2024-07-17T15:39:10Z,Amazon.com
2024-07-17T15:40:03Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,53207,4212850015,appAction,Not Available,Not Available,Not Available,2024-07-17T15:39:10Z,Amazon.com
2024-07-17T15:39:10Z,G8S1LG134041039L,United States,com.lab126.KPP_SETTINGS,UNKNOWN,0,Ereader,Not Available,Not Available,1,2147483647,4212850015,appAction,Not Available,Not Available,Not Available,2023-12-01T12:18:37Z,Amazon.com
