device_record_time,Device Serial Number,device_type,country_of_residence,software_version,product_mode,metric_level,reason_code,Amazon Marketplace
2025-05-20T11:51:04Z,G8S1LG134041039L,Ereader,United States,4434540025_release_5.18.2,DEFAULT,deviceAction,Not Available,Amazon.com
2025-05-20T11:50:23Z,G8S1LG134041039L,Ereader,United States,4434540025_release_5.18.2,DEFAULT,deviceAction,Not Available,Amazon.com
2024-07-21T09:53:33Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-21T09:53:17Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-20T16:54:20Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-20T16:43:57Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-20T16:26:44Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-20T16:26:41Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-20T15:47:07Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-20T09:53:38Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-20T09:53:20Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-19T09:53:23Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-19T09:53:15Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-18T18:28:35Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-18T18:16:38Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-18T18:15:16Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-18T18:13:12Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-18T18:08:24Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-18T18:03:53Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-18T18:02:03Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-18T09:53:30Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-18T09:53:22Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-17T15:48:38Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-17T15:48:37Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-07-17T15:47:26Z,G8S1LG134041039L,Ereader,United States,4246250033,Not Available,deviceAction,Not Available,Amazon.com
2024-05-20T08:32:19Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-20T08:32:17Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-19T08:32:17Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-19T08:32:15Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-18T08:37:04Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-18T08:32:15Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-18T08:32:13Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-17T08:32:18Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-17T08:32:17Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-16T08:37:43Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-16T08:32:15Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-16T08:32:14Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-15T08:37:09Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-15T08:32:28Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-15T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-14T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-14T08:32:14Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-13T08:32:27Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-13T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-12T08:32:17Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-12T08:32:15Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-11T08:37:12Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-11T08:32:25Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-11T08:32:14Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-10T08:37:13Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-10T08:32:27Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-10T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-09T08:32:27Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-09T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-08T08:32:19Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-08T08:32:18Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-07T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-07T08:32:15Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-07T08:32:14Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-06T08:37:22Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-06T08:32:18Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-06T08:32:16Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
2024-05-05T08:32:14Z,G8S1LG134041039L,Ereader,United States,4212850015,Not Available,deviceAction,Not Available,Amazon.com
