ASIN,Product Name,Annotation Type,Customer modified date on device,Device Serial Number,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B0FHWJ2NJS,"Scary In Love: A spooky, spicy, Halloween romance",kindle.continuous_read,2025-10-06T19:27:50Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-10-06T19:28:06Z,2025-10-06T19:28:06Z,Not Available,Not Available,Not Available,Not Available,No
B0FHWJ2NJS,"Scary In Love: A spooky, spicy, Halloween romance",kindle.most_recent_read,2025-10-06T19:27:50Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-10-06T19:28:06Z,2025-10-06T19:28:06Z,Not Available,Not Available,Not Available,Not Available,No
B0FHWJ2NJS,"Scary In Love: A spooky, spicy, Halloween romance",kindle.last_read,2025-10-06T19:27:50Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-10-06T19:28:06Z,2025-10-06T19:28:06Z,Not Available,Not Available,Not Available,Not Available,No
B0DCG89SDJ,August Lane,kindle.highlight,2025-10-06T00:04:03Z,06c76056bae64c2397af0502bfffb98c,EBOK,YJBinary,2025-10-06T00:00:03Z,2025-10-06T00:04:03Z,{mchl_color:yellow},Not Available,Not Available,Not Available,No
B0DMCDS72D,August Lane,audible.last_heard,2025-10-08T02:52:25Z,Not Available,AUDI,AAX_44,2025-10-03T02:24:21Z,2025-10-08T02:52:25Z,Not Available,Not Available,Not Available,Not Available,No
B0DCG89SDJ,August Lane,kindle.continuous_read,2025-10-08T02:52:23Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-10-02T22:59:13Z,2025-10-08T02:52:24Z,Not Available,Not Available,Not Available,Not Available,No
B0DCG89SDJ,August Lane,kindle.most_recent_read,2025-10-08T02:52:23Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-10-02T22:59:13Z,2025-10-08T02:52:24Z,Not Available,Not Available,Not Available,Not Available,No
B0DCG89SDJ,August Lane,kindle.last_read,2025-10-07T01:19:10Z,06c76056bae64c2397af0502bfffb98c,EBOK,YJBinary,2025-10-02T22:59:13Z,2025-10-07T01:19:16Z,Not Available,Not Available,Not Available,Not Available,No
B00IERA5RY,The Story Of Us: Carnage Book One,kindle.continuous_read,2025-10-02T22:52:07Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-10-02T18:24:58Z,2025-10-02T22:52:09Z,Not Available,Not Available,Not Available,Not Available,No
B00IERA5RY,The Story Of Us: Carnage Book One,kindle.most_recent_read,2025-10-02T22:52:07Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-10-02T18:24:58Z,2025-10-02T22:52:09Z,Not Available,Not Available,Not Available,Not Available,No
B00IERA5RY,The Story Of Us: Carnage Book One,kindle.last_read,2025-06-08T03:36:42Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJText,2025-10-02T18:24:58Z,2025-10-02T18:24:58Z,Not Available,Not Available,Not Available,Not Available,No
B0CFDCMPVC,He's Not My Type (The Agitators Series Book 4),kindle.highlight,2025-10-02T00:42:45Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-10-02T00:44:09Z,2025-10-02T00:49:38Z,{mchl_color:blue},Not Available,Not Available,Not Available,Yes
B0CFDCMPVC,He's Not My Type (The Agitators Series Book 4),kindle.bookmark,2025-10-02T00:11:58Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-10-02T00:11:59Z,2025-10-02T00:22:39Z,Not Available,Not Available,Not Available,Not Available,Yes
B0CFDCMPVC,He's Not My Type (The Agitators Series Book 4),kindle.continuous_read,2025-10-02T13:30:24Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-09-30T21:44:21Z,2025-10-02T13:30:37Z,Not Available,Not Available,Not Available,Not Available,No
B0CFDCMPVC,He's Not My Type (The Agitators Series Book 4),kindle.most_recent_read,2025-10-02T13:30:24Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-09-30T21:44:21Z,2025-10-02T13:30:37Z,Not Available,Not Available,Not Available,Not Available,No
B0CFDCMPVC,He's Not My Type (The Agitators Series Book 4),kindle.last_read,2025-10-02T13:30:24Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-09-30T21:44:21Z,2025-10-02T13:30:37Z,Not Available,Not Available,Not Available,Not Available,No
B0BSG1XDTR,"Right Man, Right Time (The Agitators Series Book 3)",kindle.continuous_read,2025-09-30T21:43:19Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-09-29T13:30:18Z,2025-09-30T21:43:42Z,Not Available,Not Available,Not Available,Not Available,No
B0BSG1XDTR,"Right Man, Right Time (The Agitators Series Book 3)",kindle.most_recent_read,2025-09-30T21:43:19Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-09-29T13:30:18Z,2025-09-30T21:43:42Z,Not Available,Not Available,Not Available,Not Available,No
B0BSG1XDTR,"Right Man, Right Time (The Agitators Series Book 3)",kindle.last_read,2025-09-30T21:43:19Z,DD40230DB3F34160A2E39F2E8B753EAF,EBOK,YJBinary,2025-09-29T13:30:18Z,2025-09-30T21:43:42Z,Not Available,Not Available,Not Available,Not Available,No
