File name,Description
Achievements.csv,"This file contains information about the challenges the customer has participated in (for example, 2023 Kindle Spring Challenge), and the achievement earned (for instance, Bookworm, BronzeReader)."
AppEngagement.csv,"This file contains information on what applications customers used on their devices and for how long. "
BookPointsAccounts.csv,Amazon Books offers Points for the purchase of Books. These points can be redeemed for future eBook purchases.
BookPointsTransactionHistory.csv,"This file contains the running total of the points earned and redeemed, along with time stamp for the changes."
BookRelation.csv,This file contains the book within a series that a customer purchased as well as the date that they purchased it.
DeviceEngagement.csv,"This file contains information on how and when customers have used their devices. "
Devices.DMS.PII.csv,"This file contains timestamp and product instance identifiers (PII) such as the attribute set containing serial number of the device listed under device type (for example, Reality Switch, Ring alarm motion detector)"
DeviceUsageDataSetting.csv,This file contains information on the customer’s Device Usage Data privacy setting for each of their devices.
Digital.Content.Ownership.json,"This file contains the data related to the digital content rights for all the digital contents borrowed and/or returned by the customer. There are many files because a Right is created each time the customer borrows and returns a book (for example, a Grant right is created when the book is borrowed and a Revoke right when the book is returned)."
Digital.Content.Ownership.csv,"This file contains an explanation for each of the digital content ownership rights, for all the digital content borrowed and returned by the customer, as mentioned in the JSON files."
Frustration Free Setup Credentials.csv,This file contains date of first instance and any subsequent updates for the frustration free setup of WIFI.
Kindle.AnnotationMapping.AnnotationSynchronizationDetails.csv,This file contains date and time of a highlight or bookmark created by the customer on a particular page in a book.
Kindle.AuthorFollows.NewToKindleUnlimitedByYourAuthors.csv,This file contains a list of recommended books for a customer written by the authors they follow and that were added to Kindle Unlimited recently.
Kindle.Devices.ApplicationSession.csv,"This file contains session data for the Kindle application, such as the start and end time stamp, session status, device data (for example, serial number), device model, if available (for instance, LG-H910, Moto XT2052DL), app version number, and time zone."
Kindle.Devices.autoMarkAsRead.csv,This file contains information about if a customer completed reading a book.
Kindle.Devices.auxillaryContent.csv,"This file contains details about the auxiliary information associated with the digital content delivered to the device, such as device family (Kindle E-reader), ASIN, whether the digital content supports auxiliary content, the type of auxiliary information (about the author, X-Ray data, for instance, people, characters, places, and things that appear in the book), country/marketplace info, and timestamp."
Kindle.Devices.DialogDisplay.csv,"This file contains date and time a particular dialog box (such as Sync To Most Recent Page Read, More options, Footnote) was displayed to the Kindle E-reader customer."
Kindle.Devices.EinkAnnotationActionsV2_v1.csv,"This file contains data regarding when a customer creates, reads, updates, or deletes an annotation or sticky note within a Kindle notebook, as well as the number of highlights a customer has made."
Kindle.Devices.EreaderDeviceActiveUsageTime.csv,"This file contains the date, time and duration data about how long the Kindle E-Reader was actively used for a particular ASIN."
Kindle.Devices.EreaderFrameworkSettingsIntegers.csv,"This file contains information about whether a Kindle E-reader setting, such as Power Save, Wi-Fi, Whispersync for Books, Auto Brightness, etc., was enabled, disabled, or turned on at a particular time, and when it was later changed."
Kindle.Devices.EreaderFrameworkSettingsString.csv,"This file contains information about the Kindle E-reader settings, such as the language selected for the device and language selected for the Keyboard, along with date and time when the setting was made."
Kindle.Devices.EreaderSyncMetrics.csv,"This file contains information captured around manual Kindle syncs initiated by the customer for the purposes of syncing the reading experience of multiple Kindle devices/surfaces. "
Kindle.Devices.GoodreadsAutoshelvings.csv,"Within Goodreads, a customer can create their own custom bookshelves and add books to them for the purpose of personalizing and organizing their books. This file contains information about if a Goodreads customer shelves a book using the autoshelving feature. "
Kindle.Devices.HomeActionsV3Ios.csv,"This file contains data related to customer clicks on the Home screen on Kindle for iOS. Cards are recommendations for e-books, authors to follow, interviews, or short-form content. "
Kindle.Devices.HomeActionsV4Android.csv,"This file contains data related to customer clicks on the Home screen on Kindle for Android. Cards are recommendations for e-books, authors to follow, interviews, or short-form content. "
Kindle.Devices.HomeImpressionsV4Android.csv,"This file contains information related to the cards that are presented on the Home screen of Android apps. Cards are recommendations for e-books, authors to follow, interviews, or short-form content. "
Kindle.Devices.HomePage.Actions.Ereader.csv,"This file contains the customer action performed on the home page (such as Navigate to Store, Menu Option Selected, Book Selected, etc.) on a particular date and time."
Kindle.Devices.HomePage.Campaign.Displayed.csv,"This file contains details of campaigns (internal ads) displayed on the home page of Kindle surfaces. The details include what ads were shown to the customer, where on the device the add was shown, and when it was shown."
Kindle.Devices.HomeImpressionsV3Ios.csv,"This file contains information related to the cards that are presented on the Home screen of Kindle for iOS. Cards are recommendations for e-books, authors to follow, interviews, or short-form content. "
Kindle.Devices.InbookToolbarInteractions.csv,"This file contains the customer taps on the toolbar menu, such as selecting Full Page View or Library view, opening or closing a book, or using the search tool. It also contains information about the reading mode (for example, paginated mode or continuous scroll) and whether the screen orientation is landscape or portrait."
Kindle.Devices.KindleAaNavigateMainTabs.csv,"This file contains the customer action to switch from one tab to another at a particular time (for example, from layout tab to theme tab or to the font tab). In addition to date and time, it may also contain ASIN."
Kindle.Devices.KindleAppSearchEventOutcome_v1.csv,"This file contains customer search related data. Such as the date and time of the search, the outcome of the search (for instance, product page, book opened or book downloaded, etc.) and ASIN of the product."
Kindle.Devices.KindleAppSearchEventSection_v1.csv,"This file contains information related to searches and search results in both the library and store searches. While it doesn't store the search term, it indicates when the search took place, in what marketplace, from what type of device family (eReader, iOS, Android), what area of the device the search took place, if the search was returned in a widget, and how many widgets returned the search results."
Kindle.Devices.KindleAppSearchEventSectionAsin_v2.csv,"This file contains the customer’s search history in store or library for Kindle Unlimited books and comics. It has the search timestamp, book rating and number of reviews, book size in bytes, whether it was part of a series, and whether the book was downloaded and read."
Kindle.Devices.KindleAppSearchAttempt.csv,"This file contains information related to customer search criteria and search results on Kindle for Android, Kindle for iOS and e-Reader. The file contains information for both library and store searches."
