"Annotation Migration Date","Annotation Migration Status","Annotation Type","Destination Annotation End Page Number","Destination Annotation Start Page Number","Destination Format","Source Annotation End Page Number","Source Annotation Start Page Number","Source Format"
2025-10-02T00:00:00.00Z,SUCCESSFUL,CONTINUOUS_READ,"NOT APPLICABLE",10,Mobi,"NOT APPLICABLE",10,Mobi
2025-10-02T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-10-02T00:00:00.00Z,SUCCESSFUL,MOST_RECENT_READ,"NOT APPLICABLE",19,Mobi,"NOT APPLICABLE",19,Mobi
2025-10-02T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-10-02T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-10-02T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-10-02T00:00:00.00Z,SUCCESSFUL,CONTINUOUS_READ,"NOT APPLICABLE",10,Mobi,"NOT APPLICABLE",10,Mobi
2025-10-02T00:00:00.00Z,SUCCESSFUL,LAST_PAGE_READ,"NOT APPLICABLE",668,Mobi,"NOT APPLICABLE",668,Mobi
2025-10-02T00:00:00.00Z,SUCCESSFUL,MOST_RECENT_READ,"NOT APPLICABLE",19,Mobi,"NOT APPLICABLE",19,Mobi
2025-10-02T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-10-02T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-10-02T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-26T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-26T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,207,207,Mobi,207,207,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,118,118,Mobi,118,118,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,NOTE,28,28,Mobi,28,28,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,225,225,Mobi,225,225,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,444,444,Mobi,444,444,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,286,286,Mobi,286,286,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,329,328,Mobi,329,328,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,BOOKMARK,"NOT APPLICABLE",274,Mobi,"NOT APPLICABLE",274,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,512,512,Mobi,512,512,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,465,465,Mobi,465,465,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,BOOKMARK,"NOT APPLICABLE",249,Mobi,"NOT APPLICABLE",249,Mobi
2025-09-26T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,592,592,Mobi,592,592,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,331,331,Mobi,331,331,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,292,291,Mobi,292,291,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,BOOKMARK,"NOT APPLICABLE",327,Mobi,"NOT APPLICABLE",327,Mobi
