Event Type,Marketplace,Pending Balance (Points),Pending Balance Changed (Points),Posted Time,Running Balance (Points),Running Balance Changed (Points)
reversal,www.amazon.com,0,0,2025-10-08T14:33:45.149Z,45,-1
clear balance,www.amazon.com,0,0,2025-10-04T02:52:00.248Z,46,-66
clear balance,www.amazon.com,0,0,2025-09-01T14:53:56.212Z,112,-103
finalize redeem,www.amazon.com,0,0,2025-08-20T20:10:01.386Z,215,45
initialize redeem,www.amazon.com,0,0,2025-08-20T20:10:00.936Z,170,0
cancel,www.amazon.com,0,0,2025-08-20T20:10:00.818Z,170,0
initialize redeem,www.amazon.com,0,0,2025-08-20T19:51:56.573Z,170,0
earn,www.amazon.com,0,0,2025-06-22T03:25:21.145Z,170,39
finalize redeem,www.amazon.com,0,0,2025-06-10T05:01:24.147Z,131,1
initialize redeem,www.amazon.com,0,0,2025-06-10T04:54:19.942Z,130,0
cancel,www.amazon.com,0,0,2025-06-10T04:53:48.431Z,130,0
initialize redeem,www.amazon.com,0,0,2025-06-10T04:51:44.024Z,130,0
earn,www.amazon.com,0,0,2025-06-10T04:48:17.859Z,130,27
clear balance,www.amazon.com,0,0,2025-06-01T12:34:54.897Z,103,-59
earn,www.amazon.com,0,0,2025-05-31T03:41:43.532Z,162,1
earn,www.amazon.com,0,0,2025-05-31T03:41:43.140Z,161,33
earn,www.amazon.com,0,0,2025-05-28T02:36:28.521Z,128,23
earn,www.amazon.com,0,0,2025-05-28T02:36:28.258Z,105,1
earn,www.amazon.com,0,0,2025-05-18T15:07:17.406Z,104,45
clear balance,www.amazon.com,0,0,2025-05-04T10:59:08.548Z,59,-128
clear balance,www.amazon.com,0,0,2025-04-01T09:30:50.468Z,187,-13
finalize redeem,www.amazon.com,0,-300,2025-02-11T22:26:54.329Z,200,0
earn,www.amazon.com,300,0,2025-02-11T22:26:49.778Z,200,33
initialize redeem,www.amazon.com,300,300,2025-02-11T22:26:49.279Z,167,-300
earn,www.amazon.com,0,0,2025-02-11T22:25:49.763Z,467,26
