AchievementGroupName,AchievementName,EarnDate,Marketplace,Quantity
"2024 Year End Kindle Challenge",BiblioBlizzard,2024-12-20T11:17:44Z,www.amazon.com,1
"2024 Year End Kindle Challenge",GoldReader,2024-12-14T12:03:07Z,www.amazon.com,1
"2024 Year End Kindle Challenge",AutumnsFables,2024-11-30T10:48:09Z,www.amazon.com,1
"2024 Year End Kindle Challenge",BestOf2024,2024-11-15T03:11:47Z,www.amazon.com,1
"2024 Year End Kindle Challenge",SilverReader,2024-11-09T09:06:26Z,www.amazon.com,1
"2024 Year End Kindle Challenge",PerfectMonth,2024-10-31T12:30:59Z,www.amazon.com,3
"2024 Year End Kindle Challenge",BronzeReader,2024-10-15T09:16:08Z,www.amazon.com,1
"2024 Year End Kindle Challenge",PrimeBigDeal,2024-10-09T08:06:32Z,www.amazon.com,1
"2024 Year End Kindle Challenge",PerfectWeek,2024-10-05T11:18:51Z,www.amazon.com,13
"2024 Year End Kindle Challenge",Bibliophile,2024-10-04T02:20:35Z,www.amazon.com,1
"2024 Year End Kindle Challenge",Bookworm,2024-10-03T20:38:59Z,www.amazon.com,1
"2024 Year End Kindle Challenge",Bookish,2024-10-03T20:33:52Z,www.amazon.com,1
"2024 Year End Kindle Challenge",Whodunit,2024-10-03T20:33:52Z,www.amazon.com,1
"2024 Year End Kindle Challenge",HeadStart,2024-10-01T11:19:19Z,www.amazon.com,3
"2024 Kindle Summer Challenge",PerfectMonth,2024-09-30T11:19:56Z,www.amazon.com,1
"2024 Kindle Summer Challenge",LastChapter,2024-09-25T08:19:46Z,www.amazon.com,1
"2024 Kindle Summer Challenge",GoldReader,2024-09-23T11:04:56Z,www.amazon.com,1
"2024 Kindle Summer Challenge",NationaleBookDay,2024-09-18T11:50:34Z,www.amazon.com,1
"2024 Kindle Summer Challenge",SilverReader,2024-08-16T10:47:01Z,www.amazon.com,1
"2024 Kindle Summer Challenge",BookLover,2024-08-10T04:16:06Z,www.amazon.com,1
"2024 Kindle Summer Challenge",BronzeReader,2024-07-20T10:03:02Z,www.amazon.com,1
"2024 Kindle Summer Challenge",PrimeDay,2024-07-17T13:04:18Z,www.amazon.com,1
"2024 Kindle Summer Challenge",PerfectWeek,2024-07-13T14:04:01Z,www.amazon.com,9
