created_timestamp,preferred_marketplace,country,device_family,ASIN,device_active_time_in_ms
2024-04-20T15:35:20Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,50198
2024-04-17T01:01:55Z,www.amazon.com,US,Kindle E-reader,B075HXST4P,143344
2024-03-30T01:33:54Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,2351133
2024-04-08T23:39:28Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,6117
2024-04-07T07:14:38Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,10624
2024-04-06T01:48:55Z,www.amazon.com,US,Kindle E-reader,Not Available,3440774
2024-03-31T03:58:39Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,2207582
2024-04-08T19:44:02Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,1137184
2024-04-23T05:54:40Z,www.amazon.com,US,Kindle E-reader,B09X6HZ4FT,3454552
2024-04-11T01:29:09Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,2129448
2024-04-06T23:31:52Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,373060
2024-04-08T16:20:15Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,2613
2024-04-05T09:31:11Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,10686405
2024-04-08T02:49:31Z,www.amazon.com,US,Kindle E-reader,Not Available,2688589
2024-04-07T20:15:34Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,35928
2024-03-31T14:42:49Z,www.amazon.com,US,Kindle E-reader,Not Available,5457567
2024-03-31T01:24:50Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,1287378
2024-04-24T04:19:24Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,3922695
2024-04-02T11:00:48Z,www.amazon.com,US,Kindle E-reader,Not Available,4357903
2024-04-22T00:36:49Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,629800
2024-04-21T23:54:29Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,687798
2024-04-05T09:34:59Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,7284
2024-04-20T21:17:30Z,www.amazon.com,US,Kindle E-reader,Not Available,293457
