created_timestamp,preferred_marketplace,country,device_family,ASIN,setting_name,setting_value,is_setting_changed_by_user
2025-05-20T11:51:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Warmth Schedule,Enabled,No
2025-05-20T11:51:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Warmth Slider Value,24,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Invert Black and White,Disabled,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Cloud Restriction,Enabled,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Store Restriction,Enabled,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Goodreads Restriction,Enabled,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Nightlight,Enabled,No
2025-05-20T11:51:05Z,www.amazon.com,US,Kindle E-reader,Not Available,VoiceView Screen Reader,Disabled,No
2025-05-20T11:51:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Brightness Slider Value,7,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Privacy,Enabled,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Prower Saver,Disabled,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Web Browser Restriction,Enabled,No
2025-05-20T11:51:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Auto Brightness,Enabled,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Whispersync for Books,Enabled,No
2025-05-20T11:51:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Passcode,Disabled,No
