created_timestamp,preferred_marketplace,country,device_family,ASIN,setting_name,setting_value,is_setting_changed_by_user
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2024-03-29T02:52:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Warmth Schedule Mode,Manual,No
2024-07-17T15:48:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2024-04-27T08:38:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2025-05-20T11:51:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Warmth Schedule Mode,Manual,No
2025-05-20T11:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-07-17T15:48:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-07-17T15:48:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Warmth Schedule Mode,Manual,No
2024-03-29T02:52:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-04-27T08:38:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2024-04-27T08:38:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Warmth Schedule Mode,Manual,No
2024-03-29T02:52:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
