created_timestamp,preferred_marketplace,country,device_family,ASIN,prev_state,curr_state
2024-04-20T15:34:30Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-04T02:51:35Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-22T04:08:28Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,ACTIVE,SCREEN SAVER
2024-04-15T08:32:13Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-09T00:04:33Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,SCREEN SAVER,ACTIVE
2024-04-20T21:23:20Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2023-12-01T08:32:16Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-13T16:14:36Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-07-20T15:49:05Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-07T07:14:28Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,SCREEN SAVER,ACTIVE
2024-03-31T00:23:52Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-03-31T01:03:23Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-05-15T08:33:12Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,SCREEN SAVER,ACTIVE
2024-04-01T08:33:13Z,www.amazon.com,US,Kindle E-reader,B09Z7BYZS3,SCREEN SAVER,ACTIVE
2024-04-22T02:05:47Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,ACTIVE,SCREEN SAVER
2024-05-18T08:32:13Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-06T11:18:21Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,ACTIVE,SCREEN SAVER
2024-04-08T18:03:07Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,SCREEN SAVER,ACTIVE
2024-03-31T11:59:10Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-13T16:19:05Z,www.amazon.com,US,Kindle E-reader,B0778CV9Y4,SCREEN SAVER,ACTIVE
2024-04-15T00:54:18Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T02:01:46Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,ACTIVE,SCREEN SAVER
2024-04-24T02:35:53Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-07T00:44:27Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,ACTIVE,SCREEN SAVER
2024-04-13T16:19:39Z,www.amazon.com,US,Kindle E-reader,B0778CV9Y4,ACTIVE,SCREEN SAVER
2024-04-22T03:09:17Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,ACTIVE,SCREEN SAVER
2024-03-31T08:33:12Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,SCREEN SAVER,ACTIVE
