created_timestamp,preferred_marketplace,country,device_family,ASIN,sync_experience,sync_action
2024-04-10T01:42:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-04T06:16:10Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-04-06T20:22:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-06T20:21:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-04T06:16:10Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-04-11T00:54:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-03-31T01:04:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-07T03:08:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-06T20:22:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-06T22:48:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-04T03:11:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-03-31T12:47:12Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-04-15T23:48:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-07-17T15:41:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-31T01:04:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-02T01:27:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-13T13:15:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-20T21:56:12Z,www.amazon.com,US,Kindle E-reader,B01N9F5IOL,Sync is Performed,Already at Furthest Page Read
2024-07-20T16:27:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-07T17:52:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-20T01:35:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-02T01:27:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-04T03:11:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-13T13:15:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-06T22:48:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-05T01:26:57Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-04-24T02:34:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-07-20T16:27:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-15T23:48:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-15T00:45:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-11T00:53:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-24T02:34:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-28T00:22:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-15T00:45:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-31T12:47:09Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-03-31T12:47:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-11T00:53:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-05T01:26:57Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-04-28T00:22:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-15T23:48:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-09T00:08:10Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-04-07T02:38:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-04T03:11:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-09T00:08:10Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-04-15T20:07:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-11T00:53:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-24T03:12:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-31T01:05:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-02T01:27:58Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,Sync is Performed,Navigate to Furthest Page Read
2024-03-31T01:05:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-06T00:52:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-31T12:47:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-11T00:54:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-24T03:12:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-03-31T12:47:09Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-07-17T15:41:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-15T23:48:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-15T20:07:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-10T01:42:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-06T20:21:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-07-17T15:41:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-20T01:35:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-31T01:04:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-03-31T12:47:12Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-04-07T03:08:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
