Created Timestamp,Preferred Marketplace,Country of Residence,Device Family,ASIN,Kindle Context,Kindle Sub Context,Event type,Kindle Action ID,"Rating of the Book (1-5, 5 best)",Kindle Context ID
2024-04-16T03:51:01Z,www.amazon.com,US,Eink,B07G5FTPGY,book actions,not applicable,change rating,write rating,4,currently reading
2024-03-31T14:42:26Z,www.amazon.com,US,Eink,B07ZFZZ2GQ,book actions,not applicable,change rating,update rating,4,read
2024-04-02T10:57:44Z,www.amazon.com,US,Eink,B0BHLBHG79,book actions,not applicable,change rating,write rating,4,none
2024-04-06T16:41:43Z,www.amazon.com,US,Eink,B00BKK6E04,book actions,not applicable,change rating,write rating,4,none
2024-04-06T01:45:27Z,www.amazon.com,US,Eink,not available,book actions,not applicable,change rating,write rating,4,none
2024-04-09T05:34:45Z,www.amazon.com,US,Eink,B00QE1DLIC,book actions,not applicable,change rating,write rating,4,none
2024-04-20T20:40:55Z,www.amazon.com,US,Eink,not available,book actions,not applicable,change rating,write rating,4,none
2024-03-30T19:48:56Z,www.amazon.com,US,Eink,B09DTJF1WD,book actions,not applicable,change rating,write rating,4,none
2024-04-10T02:49:47Z,www.amazon.com,US,Eink,B01LWVWGZW,book actions,not applicable,change rating,write rating,4,to read
2024-03-31T14:41:28Z,www.amazon.com,US,Eink,B07ZFZZ2GQ,book actions,not applicable,change rating,write rating,5,none
2024-04-11T03:24:09Z,www.amazon.com,US,Eink,B01L7Q54NI,book actions,not applicable,change rating,write rating,4,to read
2024-04-08T22:50:51Z,www.amazon.com,US,Eink,B00O6V45CS,book actions,not applicable,change rating,write rating,4,none
2024-04-08T02:49:01Z,www.amazon.com,US,Eink,B00N6PD7L0,book actions,not applicable,change rating,write rating,4,none
