ASIN,country,created_timestamp,preferred_marketplace,device_family,item_clicked_on_ASIN,card_position,item_position_within_card,action,action_type,action_source,kindle_app_version
Not Available,,2024-09-05T13:40:33Z,www.amazon.com,Kindle for iOS,B0CHGNRP6M,4,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191414032
Not Available,,2024-08-12T09:27:58Z,www.amazon.com,Kindle for iOS,B093DQNY17,14,10,QUICKVIEW,tap,BOOK_ENTITY_LIST.9,1191413648
Not Available,,2024-04-11T21:25:02Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-03-11T06:53:14Z,www.amazon.com,Kindle for iOS,,1,4,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.3,1191412234
Not Available,,2024-03-11T07:00:23Z,www.amazon.com,Kindle for iOS,B0CFD3FF6N,7,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412234
Not Available,,2024-03-25T08:31:10Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412490
Not Available,,2024-04-06T19:59:44Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412618
Not Available,,2024-03-11T20:53:07Z,www.amazon.com,Kindle for iOS,,1,1,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.0,1191412234
Not Available,,2024-08-04T12:45:26Z,www.amazon.com,Kindle for iOS,B07W54QG2X,4,17,QUICKVIEW,tap,BOOK_ENTITY_LIST.16,1191413648
Not Available,,2024-02-24T02:50:15Z,www.amazon.com,Kindle for iOS,,4,1,CATEGORY,click,WEBVIEW_1,1191412106
Not Available,,2024-09-25T21:08:51Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191414154
Not Available,,2024-08-26T11:02:47Z,www.amazon.com,Kindle for iOS,B0D24DBDW4,5,14,QUICKVIEW,tap,BOOK_ENTITY_LIST.13,1191413904
Not Available,,2024-04-04T18:23:39Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412618
Not Available,,2024-10-05T09:54:43Z,www.amazon.com,Kindle for iOS,,11,1,STORE,tap,BUTTON_1,1191414282
Not Available,,2024-04-04T21:48:09Z,www.amazon.com,Kindle for iOS,,1,2,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.1,1191412618
Not Available,,2024-07-17T12:20:36Z,www.amazon.com,Kindle for iOS,B09Z6TJ58T,6,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191413514
Not Available,,2024-08-04T12:44:15Z,www.amazon.com,Kindle for iOS,B07K6G7QBR,4,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191413648
Not Available,,2024-03-14T20:51:05Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-04-15T00:29:23Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-04-11T14:07:16Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412746
Not Available,,2024-10-12T11:12:35Z,www.amazon.com,Kindle for iOS,B0BSMLCV2L,6,14,QUICKVIEW,tap,BOOK_ENTITY_LIST.13,1191414282
Not Available,,2024-03-29T20:56:37Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-09-02T03:17:37Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191414026
Not Available,,2024-02-26T00:13:18Z,www.amazon.com,Kindle for iOS,,5,1,WEB,tap,WEBVIEW_1,1191412106
Not Available,,2024-09-20T11:26:00Z,www.amazon.com,Kindle for iOS,B0BYFW12CT,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191414154
Not Available,,2024-09-19T18:25:22Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191414154
Not Available,,2024-03-30T00:38:32Z,www.amazon.com,Kindle for iOS,B07H3CX9JR,9,22,QUICKVIEW,tap,BOOK_ENTITY_LIST.21,1191412490
Not Available,,2024-09-21T14:34:59Z,www.amazon.com,Kindle for iOS,,14,1,QUICKVIEW,tap,WEBVIEW_1,1191414154
Not Available,,2024-09-15T03:50:51Z,www.amazon.com,Kindle for iOS,,5,1,STORE,tap,BUTTON_1,1191414032
Not Available,,2024-02-24T18:50:01Z,www.amazon.com,Kindle for iOS,B0BNJMJ4K9,5,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191412106
Not Available,,2024-02-26T00:16:57Z,www.amazon.com,Kindle for iOS,,6,1,CATEGORY,click,WEBVIEW_1,1191412106
Not Available,,2024-09-02T22:10:39Z,www.amazon.com,Kindle for iOS,B0BFW44657,6,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191414026
Not Available,,2024-03-28T21:22:47Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412490
Not Available,,2024-07-17T12:18:40Z,www.amazon.com,Kindle for iOS,B09G6YLDQ5,5,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191413514
Not Available,,2024-08-10T10:29:27Z,www.amazon.com,Kindle for iOS,B08DFMFLTG,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191413648
Not Available,,2024-04-23T00:58:41Z,www.amazon.com,Kindle for iOS,B0CNGBQRC5,6,5,QUICKVIEW,tap,BOOK_ENTITY_LIST.4,1191412874
Not Available,,2024-07-17T12:20:51Z,www.amazon.com,Kindle for iOS,B0D6GXRX7G,6,12,QUICKVIEW,tap,BOOK_ENTITY_LIST.11,1191413514
Not Available,,2024-04-04T18:23:41Z,www.amazon.com,Kindle for iOS,,5,1,WEB,tap,WEBVIEW_1,1191412618
Not Available,,2024-09-21T14:32:19Z,www.amazon.com,Kindle for iOS,,14,1,QUICKVIEW,tap,WEBVIEW_1,1191414154
Not Available,,2024-09-21T14:34:35Z,www.amazon.com,Kindle for iOS,,14,1,QUICKVIEW,tap,WEBVIEW_1,1191414154
Not Available,,2024-04-30T15:01:12Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412874
Not Available,,2024-04-11T06:15:17Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-02-25T06:33:35Z,www.amazon.com,Kindle for iOS,B08K62VYDJ,5,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191412106
Not Available,,2024-04-23T03:41:59Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412874
Not Available,,2024-09-21T14:34:11Z,www.amazon.com,Kindle for iOS,,14,1,QUICKVIEW,tap,WEBVIEW_1,1191414154
Not Available,,2024-09-10T10:38:44Z,www.amazon.com,Kindle for iOS,B0D4FTPPN4,6,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191414032
Not Available,,2024-10-07T10:13:13Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191414282
Not Available,,2024-03-28T02:38:01Z,www.amazon.com,Kindle for iOS,,1,1,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.0,1191412490
Not Available,,2024-04-06T19:59:46Z,www.amazon.com,Kindle for iOS,,5,1,WEB,tap,WEBVIEW_1,1191412618
Not Available,,2024-02-24T02:41:06Z,www.amazon.com,Kindle for iOS,,4,1,QUICKVIEW,tap,WEBVIEW_1,1191412106
Not Available,,2024-04-26T19:07:13Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412874
Not Available,,2024-03-07T04:51:06Z,www.amazon.com,Kindle for iOS,B0CL1C4PM4,7,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191412234
Not Available,,2024-08-09T18:09:43Z,www.amazon.com,Kindle for iOS,B07K6G7QBR,4,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191413648
Not Available,,2024-08-17T07:13:24Z,www.amazon.com,Kindle for iOS,B0CW18879C,14,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191413648
Not Available,,2024-02-29T00:22:53Z,www.amazon.com,Kindle for iOS,B0CFDCMPVC,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412234
Not Available,,2024-08-12T09:22:55Z,www.amazon.com,Kindle for iOS,B0BP2G2T8Y,11,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191413648
Not Available,,2024-04-11T14:07:14Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-07-17T12:17:38Z,www.amazon.com,Kindle for iOS,B0CSGN4238,5,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191413514
Not Available,,2024-02-25T23:57:56Z,www.amazon.com,Kindle for iOS,,5,1,WEB,tap,WEBVIEW_1,1191412106
Not Available,,2024-08-15T07:32:46Z,www.amazon.com,Kindle for iOS,B0CLBQGRMQ,5,18,QUICKVIEW,tap,BOOK_ENTITY_LIST.17,1191413648
Not Available,,2024-09-30T10:42:13Z,www.amazon.com,Kindle for iOS,,1,1,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.0,1191414282
Not Available,,2024-08-04T12:45:59Z,www.amazon.com,Kindle for iOS,B08L3NHJ88,5,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191413648
Not Available,,2024-04-09T18:41:10Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412618
Not Available,,2024-09-18T00:51:45Z,www.amazon.com,Kindle for iOS,,7,1,WEB,tap,WEBVIEW_1,1191414154
Not Available,,2024-07-22T21:08:39Z,www.amazon.com,Kindle for iOS,,4,1,STORE,tap,BUTTON_1,1191413514
Not Available,,2024-03-16T01:31:08Z,www.amazon.com,Kindle for iOS,B09NL6J4D6,4,7,QUICKVIEW,tap,BOOK_ENTITY_LIST.6,1191412234
Not Available,,2024-03-31T15:19:02Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-07-21T21:12:48Z,www.amazon.com,Kindle for iOS,B07W54QG2X,4,14,QUICKVIEW,tap,BOOK_ENTITY_LIST.13,1191413514
Not Available,,2024-03-10T18:51:59Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-08-17T07:11:40Z,www.amazon.com,Kindle for iOS,B0C6L4RKXW,8,23,QUICKVIEW,tap,BOOK_ENTITY_LIST.22,1191413648
Not Available,,2024-07-17T12:18:58Z,www.amazon.com,Kindle for iOS,B0CCNBRNRQ,5,9,QUICKVIEW,tap,BOOK_ENTITY_LIST.8,1191413514
Not Available,,2024-03-28T21:24:21Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-28T21:24:11Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-16T01:31:20Z,www.amazon.com,Kindle for iOS,B08QDDC1Q9,4,8,QUICKVIEW,tap,BOOK_ENTITY_LIST.7,1191412234
Not Available,,2024-10-12T11:14:52Z,www.amazon.com,Kindle for iOS,,16,1,WEB,tap,WEBVIEW_1,1191414282
Not Available,,2024-08-12T09:23:38Z,www.amazon.com,Kindle for iOS,B0CFDCMPVC,11,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191413648
Not Available,,2024-02-25T23:57:56Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,click,WEBVIEW_1,1191412106
Not Available,,2024-09-18T02:41:33Z,www.amazon.com,Kindle for iOS,,7,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191414154
Not Available,,2024-04-26T19:07:23Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,click,WEBVIEW_1,1191412874
Not Available,,2024-03-17T01:29:25Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-03-29T02:55:09Z,www.amazon.com,Kindle for iOS,,16,1,swipe,CATEGORY_SCROLL,WEBVIEW_1,1191412490
Not Available,,2024-04-16T15:29:08Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,click,WEBVIEW_1,1191412746
Not Available,,2024-09-21T14:30:42Z,www.amazon.com,Kindle for iOS,B0CCCZXRML,5,19,QUICKVIEW,tap,BOOK_ENTITY_LIST.18,1191414154
Not Available,,2024-03-29T20:56:33Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412490
Not Available,,2024-04-11T06:15:22Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412746
Not Available,,2024-09-27T11:32:07Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191414282
Not Available,,2024-03-16T14:41:30Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191412234
Not Available,,2024-04-14T03:59:03Z,www.amazon.com,Kindle for iOS,B0CNGBQRC5,6,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412746
Not Available,,2024-09-15T00:34:17Z,www.amazon.com,Kindle for iOS,B0CCCZXRML,5,6,QUICKVIEW,tap,BOOK_ENTITY_LIST.5,1191414032
Not Available,,2024-04-04T19:45:13Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191412618
Not Available,,2024-04-15T04:07:48Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-03-03T07:30:07Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412234
Not Available,,2024-02-24T02:50:20Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412106
Not Available,,2024-03-11T06:53:48Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191412234
Not Available,,2024-03-05T15:04:18Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191412234
Not Available,,2024-03-11T07:04:58Z,www.amazon.com,Kindle for iOS,,9,1,STORE,tap,BUTTON_1,1191412234
Not Available,,2024-03-25T15:29:42Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-07-17T12:19:07Z,www.amazon.com,Kindle for iOS,B00V12L3CU,5,16,QUICKVIEW,tap,BOOK_ENTITY_LIST.15,1191413514
Not Available,,2024-09-21T14:33:40Z,www.amazon.com,Kindle for iOS,B0CYKJY2M5,15,8,QUICKVIEW,tap,BOOK_ENTITY_LIST.7,1191414154
Not Available,,2024-04-14T03:58:38Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-02-27T12:13:33Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412106
Not Available,,2024-10-12T11:13:12Z,www.amazon.com,Kindle for iOS,,9,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191414282
Not Available,,2024-02-26T00:16:58Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412106
Not Available,,2024-03-23T02:35:07Z,www.amazon.com,Kindle for iOS,,5,1,STORE,tap,BUTTON_1,1191412234
Not Available,,2024-03-11T07:04:43Z,www.amazon.com,Kindle for iOS,B09P5GT746,10,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191412234
Not Available,,2024-03-28T21:23:00Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-03T07:30:03Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-03-28T21:23:00Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,click,WEBVIEW_1,1191412490
Not Available,,2024-03-22T12:40:05Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-04-26T19:07:23Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412874
Not Available,,2024-08-12T09:26:00Z,www.amazon.com,Kindle for iOS,,12,1,STORE,tap,BUTTON_1,1191413648
Not Available,,2024-09-21T14:32:02Z,www.amazon.com,Kindle for iOS,,14,1,CATEGORY,click,WEBVIEW_1,1191414154
Not Available,,2024-08-11T12:26:28Z,www.amazon.com,Kindle for iOS,B07K6G7QBR,4,8,QUICKVIEW,tap,BOOK_ENTITY_LIST.7,1191413648
Not Available,,2024-04-04T19:45:17Z,www.amazon.com,Kindle for iOS,B08C7ZR2JZ,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412618
Not Available,,2024-04-23T03:42:05Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412874
Not Available,,2024-03-10T18:52:01Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412234
Not Available,,2024-04-30T15:01:14Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412874
Not Available,,2024-03-30T00:38:18Z,www.amazon.com,Kindle for iOS,B0CVRZZV88,8,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191412490
Not Available,,2024-03-11T06:54:30Z,www.amazon.com,Kindle for iOS,,9,1,STORE,tap,BUTTON_1,1191412234
Not Available,,2024-09-29T12:43:41Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191414282
Not Available,,2024-08-15T07:32:13Z,www.amazon.com,Kindle for iOS,B0CCPNVNVK,5,12,QUICKVIEW,tap,BOOK_ENTITY_LIST.11,1191413648
Not Available,,2024-03-29T02:53:53Z,www.amazon.com,Kindle for iOS,,12,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-09-13T10:56:07Z,www.amazon.com,Kindle for iOS,B0CBSH3BXT,4,5,QUICKVIEW,tap,BOOK_ENTITY_LIST.4,1191414032
Not Available,,2024-03-11T07:04:01Z,www.amazon.com,Kindle for iOS,,9,1,STORE,tap,BUTTON_1,1191412234
