created_timestamp,preferred_marketplace,country,device_family,last_used_ASIN,kindle_software_version,action_performed,item_position,user_action_type,campiaign_page_position
2024-04-13T16:12:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-20T22:18:59Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_3_7,Selected Campaign Header,BackwardHorizontalScroll,1
2024-04-06T00:52:17Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-03-30T00:51:19Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Tap on Card Title,Selected Campaign Header,tap,1
2024-04-21T23:04:39Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Tap on Card Title,Selected Campaign Header,tap,1
2024-04-15T00:54:56Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,com.amazon.library.actions.mark_book_as_unread,19,book_detail_view_action,1
2024-04-08T22:50:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-07-18T18:28:40Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4246250033,Tap on Card Title,Selected Campaign Header,tap,1
2024-04-06T16:51:00Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-04-15T00:55:06Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in Second Book of the Campaign,tap,5
2025-05-20T11:53:30Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4434540025,detail_view_close,Action Performed in First Book of the Campaign,tap,2
2024-04-28T00:22:14Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212850015,Book Selected,Selected Campaign Header,tap,1
2024-04-04T23:38:33Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-04-20T22:19:07Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Tap on Card Title,Selected Campaign Header,tap,1
2024-04-02T01:26:20Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in Fourth Book of the Campaign,tap,1
2024-04-16T03:51:51Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Tap on Card Title,Selected Campaign Header,tap,1
2024-04-11T00:55:02Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-15T00:54:34Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_15_19,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-06T22:48:39Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
