created_timestamp,search_string_length,preferred_marketplace,app_tab,country,outcome,device_family,store_results_shown,ASIN,library_results_shown,store_result_position,library_result_position,search_id
2025-06-08T03:22:25Z,23,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,3,No Results Selected,776031D5-3650-4AD1-9E5A-AC5E23373609
2025-07-10T23:25:10Z,20,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,CDA4ECB1-8CC5-4804-A7A2-EABD24B17A37
2025-08-31T19:14:32Z,22,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,0B81FA40-7AA4-4BA6-A5F4-F473D500E959
2024-02-26T00:12:29Z,17,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,6C98BAA2-869D-4518-B581-0F48A1B4FDCC
2025-01-25T19:27:15Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,443968A9-C541-4548-B396-8FA4E6F8B620
2025-01-15T22:27:10Z,6,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,008B6A4E-4DD1-49BD-8A27-550088B5C28F
2025-06-22T03:23:25Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,087BA059-128F-4019-A9BA-DCDCFB2E2E08
2025-07-07T19:53:18Z,19,www.amazon.com,Home,,Reformulated,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,1F64B397-B8A0-4312-8D32-D23D639F1F9A
2024-03-04T00:45:08Z,15,www.amazon.com,Library,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,EB309CB5-CA58-4B6C-982C-71D74EFA15C2
2025-04-24T20:39:36Z,0,www.amazon.com,Home,,SearchAgain,Kindle for iOS,No,,No,No Results Selected,No Results Selected,94125E6A-7481-4BDB-A837-F08B88949B50
2024-05-08T22:07:59Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,1C44A889-C637-49FF-A375-E249244D1BA8
2024-04-18T23:00:28Z,40,www.amazon.com,Home,,SearchAgain,Kindle for iOS,yes,,No,1,No Results Selected,88ADFDB4-84C3-4357-9E2E-1EA23CF06BD3
2024-03-11T03:10:36Z,13,www.amazon.com,Library,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,18F200DF-E7B2-44EC-915D-9847E4DEF758
2025-08-11T03:10:45Z,11,www.amazon.com,Home,,LibraryBookOpen,Kindle for iOS,yes,,Yes,No Results Selected,1,579FC00A-ADF0-4FDA-ACE5-9CBA4AA8B68C
2025-02-07T19:05:18Z,12,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,279EF69E-0530-4788-8AFB-E2BB9B56F688
2024-03-03T07:00:46Z,27,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,1,No Results Selected,13E34A33-1AEC-4C39-9FC9-FD46603E488B
2024-03-27T00:39:32Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,FBA30373-4851-4286-A7CC-3DFB4F6D65E9
2024-09-21T14:44:57Z,20,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,CC551221-7EC9-4EB9-B9FB-5B4996B87BD1
2025-06-08T04:09:12Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,FA2CB0AE-8783-49D4-AD53-73863672F27A
2024-03-03T07:00:51Z,27,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,13E34A33-1AEC-4C39-9FC9-FD46603E488B
2025-09-14T03:13:38Z,22,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,E1900D8E-92ED-42FC-ADAB-66896373AF95
2025-05-28T02:34:14Z,0,www.amazon.com,Library,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,419C04D3-B276-4417-AD56-595C0A569EC8
2024-05-21T00:15:10Z,0,www.amazon.com,Home,,SearchAgain,Kindle for iOS,No,,No,No Results Selected,No Results Selected,E5CA6F31-67E1-4ECE-8731-40C48D172811
2024-03-08T18:36:39Z,0,www.amazon.com,Home,,SearchAgain,Kindle for iOS,No,,No,No Results Selected,No Results Selected,AD6560B6-00E4-49E5-A585-80965C391255
2025-07-07T13:49:22Z,16,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,0E75D2AC-7245-4E08-8000-02038A0B0A31
2025-06-08T02:45:16Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,E55DCDFC-D1ED-482E-805B-E33AA22F80B9
2025-05-26T21:55:36Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,465BAC62-8D3C-4BFA-BB4A-C7144148C6A4
2024-08-02T14:24:03Z,21,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,ACA27B5E-368D-4BF0-B7DE-DC067803DF25
2024-04-15T00:24:33Z,18,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,D25B566D-74C3-439F-AC5E-46AC342B84CB
2024-08-27T10:53:36Z,13,www.amazon.com,Home,,Reformulated,Kindle for iOS,No,,No,No Results Selected,No Results Selected,ECC5F659-208B-4A94-987E-97881C023AEC
2024-11-29T20:11:05Z,12,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,3BFFA122-07E8-4672-966F-DED1E524E894
2025-04-24T18:47:46Z,12,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,1,No Results Selected,11A20047-E732-46A9-B48B-A55A67CE43F1
2024-03-08T17:06:49Z,17,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,A0A677B5-424D-488A-B4D0-CCA56094DA6B
2025-02-07T20:37:37Z,12,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,8CC85AB7-1DD9-4EED-88CF-3162EEF3E05D
2025-04-16T00:30:53Z,5,www.amazon.com,Home,,LibraryBookOpen,Kindle for iOS,yes,,Yes,No Results Selected,1,7FDF4800-ABA7-4DEA-A29F-A300F1461736
2024-09-20T12:35:51Z,13,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,6B3428BD-66EE-43C7-A6C3-8318CD02D04B
2025-08-31T19:14:07Z,22,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,0B81FA40-7AA4-4BA6-A5F4-F473D500E959
2024-03-27T01:57:23Z,10,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,61112238-96D8-4FD6-B95D-01C92EBF3DAB
2025-04-24T20:39:39Z,14,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,94125E6A-7481-4BDB-A837-F08B88949B50
2025-01-15T23:45:15Z,13,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,4,No Results Selected,FED0914C-3B26-4A45-84D2-3379E1B118AA
2025-06-29T23:08:25Z,0,www.amazon.com,Home,,SearchAgain,Kindle for iOS,No,,No,No Results Selected,No Results Selected,C051446E-6D78-480E-8FEF-683939846A67
2025-01-15T22:28:48Z,14,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,33915F96-AC78-4C68-BA45-61A7515F80BB
2025-07-13T18:20:06Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,3FBFD5F6-8659-4A0C-9E8D-ACAB49F74432
2025-06-05T02:34:20Z,23,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,5AA17F25-5D9A-4DC2-8B9A-7E0C1BE6285F
2025-06-25T01:08:27Z,13,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,050735BD-76CC-4489-B475-7941E6EFB915
2024-11-01T13:07:52Z,10,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,ADB7967C-2270-4EBA-9A40-856C253AC302
2024-08-04T12:41:15Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,3D4A3F4C-B567-4666-A55A-5060534D47C6
2024-05-20T20:18:24Z,14,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,456BF28C-FB42-412E-8D78-DCDF95AF99C5
2025-02-24T04:16:13Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,EA2B9D53-AEB2-4F4A-950A-0B475AAAB6A6
2024-08-17T07:49:27Z,15,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,D11C6236-951A-44B6-B092-E121D9B6BE14
2025-01-03T03:58:03Z,12,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,97182EBC-E204-4DB0-AC57-B3B9B3514678
2025-06-09T23:31:13Z,9,www.amazon.com,Library,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,9FA5E647-B448-4C59-9AD5-0A49EB07A4A1
2024-03-03T07:01:00Z,16,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,1,No Results Selected,13E34A33-1AEC-4C39-9FC9-FD46603E488B
2025-06-08T03:21:33Z,11,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,4E9061B9-3DC4-4AF8-B93E-770516455AE0
2025-06-08T02:45:16Z,0,www.amazon.com,Home,,SearchAgain,Kindle for iOS,No,,No,No Results Selected,No Results Selected,E55DCDFC-D1ED-482E-805B-E33AA22F80B9
2024-03-28T02:33:36Z,13,www.amazon.com,Home,,SearchAgain,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,BA644FE7-B9D3-467C-9BF5-9C3356CE305B
2025-04-03T23:32:12Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,1F260AE1-752D-4220-8F27-905C2636522A
