Created Timestamp,Preferred Marketplace,Country Of Residence,Device Family,ASIN,Search ID,Search Session ID,Search Result Selected Position,Search Result Section Position,Search Result Section Position Shown,Total Store Search Results Found,Search Outcome,Selected Search Result Value,Search Outcome Type,Search Action Sequence Number,Specialized Content ID
2024-03-22T02:41:15Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,A70D4867-DF95-49CA-9D46-72631FB2DB91,B89A0714-12AC-40C0-930F-AF48D7156B04,2,1,Store,2128,Product Detail Page Opened,B00V3MY1IQ,ASIN,2,No Data
2024-10-04T03:03:45Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,106856F8-A85D-477D-83F0-D1A46009BCE5,FF523F7E-28A2-4C5A-98FC-0C927B130CF8,6,2,Library|Store,263,Product Detail Page Opened,B00WHGBTHI,ASIN,1,No Data
2024-08-12T09:21:56Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,7B2E4231-EA75-4B82-983D-105E732E5318,D2FB2E2B-8FA7-4951-BC05-9403ADD167D8,1,1,No Section Shown,623,Exit Search,null,Non ASIN,2,No Data
2024-04-10T18:19:21Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,E427BED3-DF06-44A4-A5E6-16042BA89A54,89A0030E-DB5D-44B3-B698-BA9219B2E055,2,1,Store,31,Exit Search,null,Non ASIN,2,No Data
2024-08-17T07:17:41Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,CFF9B058-82F5-472F-960D-81804D73D85B,E118820F-B8F1-45E8-93B4-048D208D93FB,6,1,Store,202,Clear Search Results,null,Non ASIN,2,No Data
2024-03-28T12:34:01Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,F92520E3-55E9-48A7-8DFC-5D250F4015B8,F2426F09-36FA-492E-A69C-851EA5BD77B0,1,1,Store,4,Exit Search,null,Non ASIN,2,No Data
2024-07-08T12:11:11Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,7CD520BE-BA73-4417-9272-0BEF3CE41E51,447DB307-9ABF-4466-86FD-302D60D55BB3,1,1,Library|Store,2164,Library Book Downloaded,B09C2PWWNP,ASIN,2,No Data
2024-05-21T00:15:36Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,4992DF82-8F60-48CD-910D-DBD9E19E0FD5,E7B9EC4B-9426-4BF7-AB62-08FC15514C05,1,1,Store,2500,Clear Search Results,null,Non ASIN,2,No Data
2024-02-25T23:58:04Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,89226270-1245-4A68-9990-8C557316BD10,E7B22249-061D-43B7-9F98-A2805C2D3AEB,1,1,Store,31,Product Detail Page Opened,B01M5IJK1Q,ASIN,1,No Data
2024-05-21T00:17:26Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,4992DF82-8F60-48CD-910D-DBD9E19E0FD5,E7B9EC4B-9426-4BF7-AB62-08FC15514C05,2,1,Store,174,Clear Search Results,null,Non ASIN,4,No Data
