created_timestamp,preferred_marketplace,country,device_family,ASIN,Selection highlight menu action,selection,audio_enabled
2025-09-20T01:35:47Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,5,false
2025-08-28T11:08:57Z,www.amazon.com,,Kindle for iOS,B0DC66QD8K,Remove highlight,16,false
2025-09-07T01:05:29Z,www.amazon.com,,Kindle for iOS,5DE54701F9AB457893A2E196F7E4F894,Dismiss,40,false
2025-09-05T13:26:22Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Remove highlight,6,false
2025-07-16T11:54:47Z,www.amazon.com,,Kindle for iOS,B0B9TBGC5X,Dismiss,21,false
2025-09-02T20:11:33Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Remove highlight,14,false
2025-09-09T05:28:30Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Dismiss,22,false
2025-08-26T17:03:08Z,www.amazon.com,,Kindle for iOS,B003IYI6TC,Remove highlight,7,false
2025-07-22T06:08:05Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V,Open selection highlight menu,1,false
2025-09-26T20:36:52Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Dismiss,19,false
2025-09-05T19:35:37Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Remove highlight,30,false
2025-09-20T01:33:32Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,2,false
2025-09-24T00:12:54Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Open selection highlight menu,27,false
2025-08-24T19:01:39Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N,Open selection highlight menu,1,false
2025-09-01T17:09:31Z,www.amazon.com,,Kindle for iOS,B0DPX5M3BH,Open selection highlight menu,20,false
2025-09-19T18:56:24Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,1,false
2025-07-22T12:55:00Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V,Remove highlight,27,false
2025-09-24T13:08:00Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Open selection highlight menu,2,false
2025-08-28T02:49:16Z,www.amazon.com,,Kindle for iOS,B0DC66QD8K,Remove highlight,8,false
2025-08-16T05:07:47Z,www.amazon.com,,Kindle for iOS,B0D7F96JNZ,Remove highlight,32,false
2025-09-16T12:41:05Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Remove highlight,32,false
2025-09-13T18:57:38Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Open selection highlight menu,1,false
2025-07-22T05:02:13Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V,Open selection highlight menu,13,false
2025-09-05T00:59:45Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Open selection highlight menu,1,false
2025-07-16T16:33:09Z,www.amazon.com,,Kindle for iOS,B0B9TBGC5X,Dismiss,1,false
2025-08-17T20:02:45Z,www.amazon.com,,Kindle for iOS,B0CQKGZL6K,Open selection highlight menu,1,false
2025-08-23T21:12:54Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Open selection highlight menu,23,false
2025-07-21T15:15:11Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V,Remove highlight,26,false
2025-09-11T02:37:48Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Open selection highlight menu,21,false
2025-07-18T23:59:34Z,www.amazon.com,,Kindle for iOS,B0BT9W3ZS2,Remove highlight,36,false
2025-09-09T23:30:47Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Dismiss,26,false
2025-07-23T10:48:33Z,www.amazon.com,,Kindle for iOS,B0CTXVHQW6,Dismiss,1,false
2025-07-26T23:05:17Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,Dismiss,11,false
2025-08-29T18:02:06Z,www.amazon.com,,Kindle for iOS,B0C3C7G6HN,Open selection highlight menu,27,false
2025-09-10T22:54:00Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Dismiss,30,false
2025-08-26T22:16:09Z,www.amazon.com,,Kindle for iOS,B003VPWY64,Dismiss,21,false
2025-09-23T20:51:44Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Open selection highlight menu,21,false
2025-09-29T23:05:47Z,www.amazon.com,,Kindle for iOS,B0BSG1XDTR,Dismiss,1,false
2025-08-24T16:30:52Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N,Dismiss,34,false
2025-08-16T04:51:35Z,www.amazon.com,,Kindle for iOS,B0D7F96JNZ,Remove highlight,8,false
