created_timestamp,preferred_marketplace,country,device_family,ASIN
2025-09-14T03:33:44Z,www.amazon.com,,Kindle for iOS,B0DWSZPM62
2025-08-27T18:21:32Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-29T13:29:39Z,www.amazon.com,,Kindle for iOS,B09QD52KWF
2025-08-22T15:34:09Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-14T03:14:03Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-26T17:12:27Z,www.amazon.com,,Kindle for iOS,B003IYI6TC
2025-08-25T00:13:58Z,www.amazon.com,,Kindle for iOS,Not Available
2025-10-02T21:14:41Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-21T23:21:11Z,www.amazon.com,,Kindle for iOS,Not Available
2025-10-06T19:27:49Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-10T03:23:16Z,www.amazon.com,,Kindle for iOS,Not Available
2025-07-27T00:36:32Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F
2025-08-21T14:17:35Z,www.amazon.com,,Kindle for iOS,Not Available
2025-07-20T04:16:31Z,www.amazon.com,,Kindle for iOS,B0CW1J839S
2025-08-21T19:35:02Z,www.amazon.com,,Kindle for iOS,Not Available
2025-10-06T03:18:02Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-23T22:29:33Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N
2025-08-25T20:00:19Z,www.amazon.com,,Kindle for iOS,B004CLYLCG
2025-07-25T05:09:39Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-17T02:58:08Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-29T00:37:24Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-05T01:07:31Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-25T16:59:29Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-31T16:43:50Z,www.amazon.com,,Kindle for iOS,B0DPX5M3BH
2025-08-30T02:55:31Z,www.amazon.com,,Kindle for iOS,B0C3C7G6HN
2025-08-20T04:13:49Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-08T04:07:36Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-23T20:11:57Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-09-01T20:45:33Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-15T18:24:28Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-15T01:37:55Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-26T11:20:04Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD
2025-08-26T01:23:49Z,www.amazon.com,,Kindle for iOS,B003IYI6TC
2025-10-02T22:57:54Z,www.amazon.com,,Kindle for iOS,Not Available
2025-07-20T04:16:42Z,www.amazon.com,,Kindle for iOS,B0CW1J839S
2025-07-27T21:50:22Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-21T20:37:08Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-18T18:03:21Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-18T14:55:41Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-21T19:34:47Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-27T20:27:16Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-21T22:36:01Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-28T15:44:32Z,www.amazon.com,,Kindle for iOS,B09DLCLRK4
2025-08-27T20:27:28Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-14T01:43:25Z,www.amazon.com,,Kindle for iOS,Not Available
2025-07-24T10:57:48Z,www.amazon.com,,Kindle for iOS,Not Available
2025-07-22T13:18:30Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V
2025-08-28T01:46:38Z,www.amazon.com,,Kindle for iOS,B0DC66QD8K
2025-08-21T14:17:40Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N
2025-07-20T22:02:30Z,www.amazon.com,,Kindle for iOS,B0C4GRKJTF
2025-09-27T17:09:11Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-31T19:14:09Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-21T17:29:36Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-21T21:21:43Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-06T21:38:50Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-03T06:14:54Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2
2025-09-21T14:06:58Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-31T16:25:25Z,www.amazon.com,,Kindle for iOS,B0DB2L4TWY
2025-09-30T21:43:41Z,www.amazon.com,,Kindle for iOS,B0BSG1XDTR
2025-08-23T20:06:32Z,www.amazon.com,,Kindle for iOS,B0D7F96JNZ
2025-08-23T23:23:04Z,www.amazon.com,,Kindle for iOS,Not Available
