created_timestamp,preferred_marketplace,country,device_family,ASIN
2025-08-22T00:26:48Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-22T13:52:28Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-22T14:32:26Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-22T16:57:59Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-23T20:40:43Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-22T18:41:10Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-22T19:15:15Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-23T20:28:47Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-23T20:51:07Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-22T04:59:55Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-28T02:15:48Z,www.amazon.com,,Kindle for iOS,B0DC66QD8K
2025-10-05T21:04:22Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ
2025-08-18T21:21:07Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-22T17:57:38Z,www.amazon.com,,Kindle for iOS,Not Available
2025-09-14T02:41:25Z,www.amazon.com,,Kindle for iOS,B0DWSZPM62
2025-08-22T17:35:13Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-22T05:36:01Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-22T00:04:39Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-21T23:23:07Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-21T23:22:51Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-22T07:57:58Z,www.amazon.com,,Kindle for iOS,Not Available
2025-08-22T16:57:53Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-23T20:52:23Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-10-03T02:24:22Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ
2025-08-23T04:06:49Z,www.amazon.com,,Kindle for iOS,Not Available
