country,created_timestamp,device_family,preferred_marketplace,ASIN,page_where_dialog_was_shown,customer_action,number_of_pages_swiped_while_dialog_is_displayed
US,2023-12-01T12:18:23Z,Kindle E-reader,www.amazon.com,B0B36FKPS8,Last Page Read,Forward Page Swipe in Progressbar,1
US,2024-04-20T15:08:25Z,Kindle E-reader,www.amazon.com,B09HJDSQ5P,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-04T23:38:22Z,Kindle E-reader,www.amazon.com,B0BJJTTM8K,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-15T23:48:40Z,Kindle E-reader,www.amazon.com,B07G5FTPGY,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-04T06:16:21Z,Kindle E-reader,www.amazon.com,B0BJJTTM8K,Most Recent Page Read,Forward Page Swipe in Progressbar,1
US,2024-04-04T03:14:34Z,Kindle E-reader,www.amazon.com,B0BJJTTM8K,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-09T00:49:54Z,Kindle E-reader,www.amazon.com,B00QE1DLIC,Last Page Read,Forward Page Swipe in Progressbar,1
US,2024-04-21T23:04:30Z,Kindle E-reader,www.amazon.com,B0BXQP63XL,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-03-31T00:24:18Z,Kindle E-reader,www.amazon.com,B07ZFZZ2GQ,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-20T01:36:23Z,Kindle E-reader,www.amazon.com,B09HJDSQ5P,Most Recent Page Read,Forward Page Swipe in Progressbar,1
US,2023-12-01T12:18:27Z,Kindle E-reader,www.amazon.com,B0B36FKPS8,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,1074
US,2024-04-17T01:22:25Z,Kindle E-reader,www.amazon.com,B09HJDSQ5P,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-20T21:21:17Z,Kindle E-reader,www.amazon.com,B06XWR6BC3,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-24T03:12:34Z,Kindle E-reader,www.amazon.com,B0B89YQFNX,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-07T03:09:34Z,Kindle E-reader,www.amazon.com,B00O6V45E6,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-04T06:16:25Z,Kindle E-reader,www.amazon.com,B0BJJTTM8K,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,262
US,2024-04-20T01:36:25Z,Kindle E-reader,www.amazon.com,B09HJDSQ5P,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,-670
US,2024-04-09T00:50:31Z,Kindle E-reader,www.amazon.com,B00QE1DLIC,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-15T23:48:37Z,Kindle E-reader,www.amazon.com,B07G5FTPGY,Most Recent Page Read,Forward Page Swipe in Progressbar,1
US,2024-04-05T01:27:08Z,Kindle E-reader,www.amazon.com,B008WOTQGU,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-15T23:48:38Z,Kindle E-reader,www.amazon.com,B07G5FTPGY,Most Recent Page Read,Backward Page Swipe in Progressbar,1
US,2024-04-20T01:36:24Z,Kindle E-reader,www.amazon.com,B09HJDSQ5P,Most Recent Page Read,Backward Page Swipe in Progressbar,1
US,2024-04-06T20:21:23Z,Kindle E-reader,www.amazon.com,B00FO60CH6,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
