country,created_timestamp,preferred_marketplace,device_family,ASIN,customer_action,desired_page_location
US,2024-04-06T20:21:16Z,www.amazon.com,Kindle E-reader,B00FO60CH6,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Most Recent Page Read
US,2024-04-24T03:12:30Z,www.amazon.com,Kindle E-reader,B0B89YQFNX,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-06T20:21:05Z,www.amazon.com,Kindle E-reader,B00FO60CH6,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-17T01:22:22Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-20T01:36:19Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-07T03:09:27Z,www.amazon.com,Kindle E-reader,B00O6V45E6,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-04T06:16:23Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Most Recent Page Read
US,2024-04-20T01:36:19Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-09T00:50:28Z,www.amazon.com,Kindle E-reader,B00QE1DLIC,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-17T01:31:30Z,www.amazon.com,Kindle E-reader,B0CL1C4PM4,Recently Last Page Read Synced and Selected,Not Available
US,2024-04-24T03:12:26Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-12-01T12:17:50Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-06T20:21:05Z,www.amazon.com,Kindle E-reader,B00FO60CH6,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Last Page Read
US,2024-04-20T21:21:16Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-03-31T13:12:00Z,www.amazon.com,Kindle E-reader,B07ZFZZ2GQ,Already at Most Recent Page Read,Not Available
US,2024-04-24T03:12:26Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-24T02:06:11Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2024-04-04T23:38:16Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-02T04:26:57Z,www.amazon.com,Kindle E-reader,B0BHLBHG79,Current Last Page Read Not Present,Not Available
US,2023-12-01T12:18:16Z,www.amazon.com,Kindle E-reader,B0B36FKPS8,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Last Page Read
US,2024-04-21T23:04:28Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-05T01:27:03Z,www.amazon.com,Kindle E-reader,B008WOTQGU,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-12-01T12:17:50Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-05T01:27:06Z,www.amazon.com,Kindle E-reader,B008WOTQGU,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-04T23:38:16Z,www.amazon.com,Kindle E-reader,B0BJJTTM8K,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-03-30T01:05:29Z,www.amazon.com,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2024-04-20T15:08:17Z,www.amazon.com,Kindle E-reader,B09HJDSQ5P,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-03-30T01:42:06Z,www.amazon.com,Kindle E-reader,B07ZFZZ2GQ,Current Last Page Read Not Present,Not Available
US,2024-04-06T20:21:13Z,www.amazon.com,Kindle E-reader,B00FO60CH6,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-07T03:09:21Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-09T00:49:38Z,www.amazon.com,Kindle E-reader,B00QE1DLIC,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-04T23:38:38Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
