created_timestamp,preferred_marketplace,country_code,device_family,ASIN,action,Entry Point
2024-10-10T03:05:16Z,www.amazon.com,Not Available,Kindle for iOS,B0C1D5SZW4,Before You Go Annotations Swiped,BeforeYouGo
2024-03-03T07:27:34Z,www.amazon.com,Not Available,Kindle for iOS,B091SLLP6H,Before You Go Annotations Shown,BeforeYouGo
2024-09-24T01:44:59Z,www.amazon.com,Not Available,Kindle for iOS,B0CGXWSG9D,Before You Go Annotations Shown,BeforeYouGo
2024-07-12T00:10:53Z,www.amazon.com,Not Available,Kindle for iOS,B09GL14D21,Before You Go Annotations Shown,BeforeYouGo
2024-03-08T18:58:24Z,www.amazon.com,Not Available,,Not Available,NotebookSidePanelViewPresented,Undefined
2024-02-23T22:35:12Z,www.amazon.com,Not Available,,B00ONUYEZA,Close Notebook,ReadingViewWithNotebookSidePanel
2024-04-20T08:33:46Z,www.amazon.com,Not Available,Kindle for iOS,B09HJDSQ5P,Before You Go Annotations Shown,BeforeYouGo
2024-10-10T03:24:08Z,www.amazon.com,Not Available,Kindle for iOS,B0C1D5SZW4,Before You Go Annotations Shown,BeforeYouGo
2024-03-03T07:27:46Z,www.amazon.com,Not Available,Kindle for iOS,B0994RZ2L1,Before You Go Annotations Shown,BeforeYouGo
2024-05-01T10:11:09Z,www.amazon.com,Not Available,Kindle for iOS,B00FIOHII0,NotebookClosed,FullWindowNotebook
2024-07-07T16:30:56Z,www.amazon.com,Not Available,Kindle for iOS,B0CNGBQRC5,NotebookOpened,FullWindowNotebook
2024-02-23T22:35:10Z,www.amazon.com,Not Available,,B00ONUYEZA,NotebookSidePanelViewPresented,Undefined
2024-10-17T19:23:27Z,www.amazon.com,Not Available,Kindle for iOS,B0BDSC5C7P,Before You Go Annotations Shown,BeforeYouGo
2024-09-24T01:45:08Z,www.amazon.com,Not Available,Kindle for iOS,B0CGXWSG9D,Before You Go Annotations Shown,BeforeYouGo
2024-03-03T06:59:48Z,www.amazon.com,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go Annotations Shown,BeforeYouGo
2024-03-03T07:26:56Z,www.amazon.com,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go Annotations Shown,BeforeYouGo
2024-03-05T02:12:05Z,www.amazon.com,Not Available,Kindle for iOS,B076G47245,NotebookOpened,ReadingViewMenu
2024-03-26T03:59:24Z,www.amazon.com,Not Available,Kindle for iOS,B07Y82JMF8,Before You Go Annotations Shown,BeforeYouGo
2024-09-20T07:50:25Z,www.amazon.com,Not Available,Kindle for iOS,B0B33WTCMT,Before You Go Annotations Shown,BeforeYouGo
2024-03-03T07:26:10Z,www.amazon.com,Not Available,Kindle for iOS,B0BDW9C3JY,Before You Go Annotations Shown,BeforeYouGo
2024-02-27T21:59:28Z,www.amazon.com,Not Available,Kindle for iOS,B0BDW9C3JY,Before You Go Annotations Shown,BeforeYouGo
2024-09-12T13:01:12Z,www.amazon.com,Not Available,Kindle for iOS,B0C28VD15F,NotebookClosed,FullWindowNotebook
2024-02-29T01:02:49Z,www.amazon.com,Not Available,Kindle for iOS,B0BDW9C3JY,Before You Go Annotations Shown,BeforeYouGo
2024-10-17T17:03:34Z,www.amazon.com,Not Available,Kindle for iOS,B0BDSC5C7P,Before You Go Annotations Swiped,BeforeYouGo
2024-03-03T07:28:06Z,www.amazon.com,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go Annotations Shown,BeforeYouGo
2024-09-30T23:07:15Z,www.amazon.com,Not Available,Kindle for iOS,B09CP3FR9K,Before You Go Annotations Shown,BeforeYouGo
2024-05-03T01:58:22Z,www.amazon.com,Not Available,Kindle for iOS,B00HLU14CA,Before You Go Annotations Shown,BeforeYouGo
2024-03-27T22:42:49Z,www.amazon.com,Not Available,Kindle for iOS,B09ZKRWCG4,Before You Go Annotations Shown,BeforeYouGo
2024-10-01T00:33:04Z,www.amazon.com,Not Available,Kindle for iOS,B09CP3FR9K,Before You Go Annotations Shown,BeforeYouGo
2024-03-05T02:12:07Z,www.amazon.com,Not Available,Kindle for iOS,B076G47245,Close Notebook,FullWindowNotebook
2024-09-24T01:44:47Z,www.amazon.com,Not Available,Kindle for iOS,B0CGXWSG9D,Before You Go Annotations Shown,BeforeYouGo
2024-02-23T22:35:10Z,www.amazon.com,Not Available,,B00ONUYEZA,NotebookOpened,ReadingViewMenu
2024-05-01T10:11:08Z,www.amazon.com,Not Available,Kindle for iOS,B00FIOHII0,NotebookOpened,FullWindowNotebook
2024-07-13T02:47:11Z,www.amazon.com,Not Available,Kindle for iOS,B09DFCYN4V,Before You Go Annotations Shown,BeforeYouGo
2024-03-27T22:42:29Z,www.amazon.com,Not Available,Kindle for iOS,B09ZKRWCG4,Before You Go Annotations Shown,BeforeYouGo
2024-03-25T08:30:13Z,www.amazon.com,Not Available,Kindle for iOS,B00V3MY186,Before You Go Annotations Shown,BeforeYouGo
2024-03-24T04:34:41Z,www.amazon.com,Not Available,Kindle for iOS,B07Y82JMF8,NotebookOpened,ReadingViewMenu
2024-10-10T03:04:51Z,www.amazon.com,Not Available,Kindle for iOS,B0C1D5SZW4,Before You Go Annotations Shown,BeforeYouGo
2024-05-13T05:03:11Z,www.amazon.com,Not Available,Kindle for iOS,B079JF4D4S,Before You Go Annotations Shown,BeforeYouGo
2024-03-07T19:13:50Z,www.amazon.com,Not Available,Kindle for iOS,B083TZV25B,Close Notebook,FullWindowNotebook
2024-07-13T02:57:15Z,www.amazon.com,Not Available,Kindle for iOS,B09DFCYN4V,Before You Go Annotations Shown,BeforeYouGo
2024-08-08T12:07:42Z,www.amazon.com,Not Available,Kindle for iOS,B089G7T55M,NotebookClosed,FullWindowNotebook
2024-09-24T01:44:55Z,www.amazon.com,Not Available,Kindle for iOS,B0CGXWSG9D,Before You Go Annotations Shown,BeforeYouGo
2024-07-07T16:30:57Z,www.amazon.com,Not Available,Kindle for iOS,B0CNGBQRC5,NotebookClosed,FullWindowNotebook
2024-03-26T03:58:21Z,www.amazon.com,Not Available,Kindle for iOS,B07Y82JMF8,Before You Go Annotations Shown,BeforeYouGo
2024-10-13T21:24:57Z,www.amazon.com,Not Available,Kindle for iOS,B09Z9K12P2,NotebookClosed,FullWindowNotebook
2024-03-08T18:58:29Z,www.amazon.com,Not Available,,Not Available,Close Notebook,ReadingViewWithNotebookSidePanel
2024-03-07T19:13:48Z,www.amazon.com,Not Available,Kindle for iOS,B083TZV25B,NotebookOpened,ReadingViewMenu
2024-09-24T01:46:16Z,www.amazon.com,Not Available,Kindle for iOS,B0CGXWSG9D,Before You Go Annotations Shown,BeforeYouGo
2024-03-03T06:59:37Z,www.amazon.com,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go Annotations Swiped,BeforeYouGo
2024-03-24T04:34:43Z,www.amazon.com,Not Available,Kindle for iOS,B07Y82JMF8,Close Notebook,FullWindowNotebook
2024-07-12T00:07:16Z,www.amazon.com,Not Available,Kindle for iOS,B09GL14D21,Before You Go Annotations Shown,BeforeYouGo
2024-03-19T05:36:20Z,www.amazon.com,Not Available,Kindle for iOS,B008673ZAQ,Before You Go Annotations Shown,BeforeYouGo
2024-05-17T11:31:24Z,www.amazon.com,Not Available,Kindle for iOS,B0BJ7X6M16,Before You Go Annotations Shown,BeforeYouGo
2024-09-24T01:44:04Z,www.amazon.com,Not Available,Kindle for iOS,B0CGXWSG9D,Before You Go Annotations Shown,BeforeYouGo
2024-08-08T12:02:42Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,NotebookOpened,FullWindowNotebook
2024-10-13T21:24:37Z,www.amazon.com,Not Available,Kindle for iOS,B09Z9K12P2,NotebookOpened,FullWindowNotebook
2024-03-02T05:45:27Z,www.amazon.com,Not Available,Kindle for iOS,B0994RZ2L1,Before You Go Annotations Shown,BeforeYouGo
2024-05-13T05:02:58Z,www.amazon.com,Not Available,Kindle for iOS,B079JF4D4S,Before You Go Annotations Shown,BeforeYouGo
2024-05-01T10:11:09Z,www.amazon.com,Not Available,Kindle for iOS,B00FIOHII0,GoToBookmark,FullWindowNotebook
2024-03-03T06:59:38Z,www.amazon.com,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go Annotations Swiped,BeforeYouGo
2024-03-03T06:59:14Z,www.amazon.com,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go Annotations Shown,BeforeYouGo
2024-09-12T13:00:52Z,www.amazon.com,Not Available,Kindle for iOS,B0C28VD15F,NotebookOpened,FullWindowNotebook
2024-10-17T17:03:16Z,www.amazon.com,Not Available,Kindle for iOS,B0BDSC5C7P,Before You Go Annotations Shown,BeforeYouGo
2024-10-17T17:03:33Z,www.amazon.com,Not Available,Kindle for iOS,B0BDSC5C7P,Before You Go Annotations Swiped,BeforeYouGo
2025-06-29T21:18:05Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,Before You Go Annotations Shown,BeforeYouGo
2025-03-28T22:11:26Z,www.amazon.com,Not Available,Kindle for iOS,B095G183J6,Before You Go Annotations Shown,BeforeYouGo
2025-06-23T00:05:11Z,www.amazon.com,Not Available,Kindle for iOS,B0DFGDFM4V,NotebookClosed,FullWindowNotebook
2025-03-23T22:43:23Z,www.amazon.com,Not Available,Kindle for iOS,B08HJDG47W,NotebookClosed,FullWindowNotebook
2024-11-12T20:59:07Z,www.amazon.com,Not Available,Kindle for iOS,B089H1D5V6,Before You Go Annotations Shown,BeforeYouGo
2025-05-30T19:19:05Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,NotebookOpened,FullWindowNotebook
2025-04-16T00:09:11Z,www.amazon.com,Not Available,Kindle for iOS,B0CW1J839S,Before You Go Annotations Shown,BeforeYouGo
2025-06-28T19:00:40Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,GoToBookmark,FullWindowNotebook
2025-01-30T15:49:23Z,www.amazon.com,Not Available,Kindle for iOS,B07QBC8QTP,GoToBookmark,FullWindowNotebook
2024-12-18T15:56:53Z,www.amazon.com,Not Available,Kindle for iOS,B0CFD5NCP9,Before You Go Annotations Shown,BeforeYouGo
2025-01-03T17:27:48Z,www.amazon.com,Not Available,Kindle for iOS,B01ANM7GJC,Before You Go Annotations Shown,BeforeYouGo
2025-01-30T15:49:22Z,www.amazon.com,Not Available,Kindle for iOS,B07QBC8QTP,NotebookOpened,FullWindowNotebook
2025-01-20T01:37:25Z,www.amazon.com,Not Available,Kindle for iOS,B0CFYJWMTR,Before You Go Annotations Shown,BeforeYouGo
2025-05-01T02:29:23Z,www.amazon.com,Not Available,Kindle for iOS,B00DE5EBZ8,Before You Go Annotations Shown,BeforeYouGo
2025-04-23T04:22:09Z,www.amazon.com,Not Available,Kindle for iOS,B0CR1N7YGX,Before You Go Annotations Shown,BeforeYouGo
2024-11-01T19:44:20Z,www.amazon.com,Not Available,Kindle for iOS,B0D4W772V5,Before You Go Annotations Swiped,BeforeYouGo
2025-02-02T03:11:38Z,www.amazon.com,Not Available,Kindle for iOS,B093WB84G1,GoToBookmark,FullWindowNotebook
2025-05-30T19:19:07Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,NotebookClosed,FullWindowNotebook
2024-11-23T10:11:09Z,www.amazon.com,Not Available,Kindle for iOS,B01LOWN78Y,Before You Go Annotations Shown,BeforeYouGo
