created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2024-09-24T23:15:13Z,www.amazon.com,Not Available,Kindle for iOS,B0BTJCWKRC,Before You Go BSE,Reach end of book,2024-09-24T23:15:08Z,2024-09-24T23:15:13Z,KFX
2025-05-03T22:39:18Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,About This Book BSE,Open the book,2025-05-03T22:36:15Z,2025-05-03T22:39:18Z,KFX
2024-09-19T18:23:39Z,www.amazon.com,Not Available,Kindle for iOS,B09SZKVFMG,Before You Go BSE,Reach end of book,2024-09-19T18:23:35Z,2024-09-19T18:23:39Z,KFX
2025-06-14T02:06:52Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2025-06-14T02:06:48Z,2025-06-14T02:06:52Z,KFX
2025-01-29T17:13:54Z,www.amazon.com,Not Available,Kindle for iOS,B017T5CJWA,About This Book BSE,Click on About This Book,2025-01-29T17:13:26Z,2025-01-29T17:13:54Z,KFX
2024-09-05T07:53:51Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2024-09-05T07:53:44Z,2024-09-05T07:53:51Z,KFX
2024-02-26T00:17:12Z,www.amazon.com,Not Available,Kindle for iOS,B09S1CMMBT,Before You Go BSE,Reach end of book,2024-02-26T00:17:11Z,2024-02-26T00:17:12Z,KFX
2025-09-28T15:44:33Z,www.amazon.com,Not Available,Kindle for iOS,B09DLCLRK4,Before You Go BSE,Reach end of book,2025-09-28T15:43:55Z,2025-09-28T15:44:33Z,KFX
2025-06-02T23:00:08Z,www.amazon.com,Not Available,Kindle for iOS,B0CHBML59T,About This Book BSE,Open the book,2025-06-02T23:00:05Z,2025-06-02T23:00:08Z,KFX
2024-03-24T01:27:27Z,www.amazon.com,Not Available,Kindle for iOS,B00V3MY1GS,Before You Go BSE,Reach end of book,2024-03-24T01:27:16Z,2024-03-24T01:27:27Z,KFX
2025-01-18T04:45:09Z,www.amazon.com,Not Available,Kindle for iOS,B0BXXH97JF,Before You Go BSE,Reach end of book,2025-01-18T04:45:04Z,2025-01-18T04:45:09Z,KFX
2025-04-26T22:16:28Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,About This Book BSE,Open the book,2025-04-26T22:08:04Z,2025-04-26T22:16:28Z,KFX
2025-07-11T22:04:24Z,www.amazon.com,Not Available,Kindle for iOS,B0DY891B7R,Before You Go BSE,Reach end of book,2025-07-11T22:04:17Z,2025-07-11T22:04:24Z,KFX
2024-12-08T04:15:36Z,www.amazon.com,Not Available,Kindle for iOS,B091N9KW8N,About This Book BSE,Open the book,2024-12-08T04:15:30Z,2024-12-08T04:15:36Z,KFX
2024-10-14T18:42:41Z,www.amazon.com,Not Available,Kindle for iOS,B09Z9K12P2,Before You Go BSE,Reach end of book,2024-10-14T18:42:06Z,2024-10-14T18:42:41Z,KFX
2025-03-20T02:40:21Z,www.amazon.com,Not Available,Kindle for iOS,B0BTTJWYFN,About This Book BSE,Open the book,2025-03-20T02:40:20Z,2025-03-20T02:40:21Z,KFX
2024-08-08T23:58:26Z,www.amazon.com,Not Available,Kindle for iOS,B089G7T55M,Before You Go BSE,Reach end of book,2024-08-08T23:58:22Z,2024-08-08T23:58:26Z,KFX
2025-06-29T21:14:34Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,Before You Go BSE,Reach end of book,2025-06-29T21:14:32Z,2025-06-29T21:14:34Z,KFX
2025-06-09T11:18:48Z,www.amazon.com,Not Available,Kindle for iOS,B0BGMZ9ZL2,About This Book BSE,Open the book,2025-06-09T11:17:36Z,2025-06-09T11:18:48Z,KFX
