created_timestamp,preferred_marketplace,country_of_residence,device_family,ASIN,audible_immersion_reading_context,audible_immersion_reading_action,book_reading_mode,narration_duration_in_seconds
2025-09-15T00:10:21Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,39
2025-09-14T23:55:21Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,3
2025-09-14T21:30:45Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1
2025-10-06T03:25:04Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,355
2025-09-14T23:33:52Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,0
2025-10-06T11:00:25Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,1
2025-09-15T00:23:02Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,out_of_app,narration,not_applicable,139
2025-10-06T03:52:43Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,rewind_30,not_applicable,0
2025-09-14T23:33:43Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,2
2025-09-14T21:40:56Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,4
2025-10-05T01:57:57Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,978
2025-10-06T04:07:21Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,881
2025-10-06T03:52:14Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,6
2025-09-14T22:05:42Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,156
2025-10-06T10:38:21Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,rewind_30,not_applicable,0
2025-09-14T23:34:22Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,25
2025-09-14T23:32:26Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,8
2025-09-14T23:37:00Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,127
