created_timestamp,preferred_marketplace,country,device_family,ASIN,Reading Customization Setting Changed,Previous Setting Value,Setting New Value
2025-08-10T21:41:01Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-08-21T19:34:49Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-07-27T21:50:37Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Book,Current Location
2025-09-21T21:13:28Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-08-31T19:55:10Z,www.amazon.com,,Kindle for iOS,B0DPX5M3BH,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-03T03:14:57Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-10-05T21:04:07Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,TextSpacing,Hide Reading Progress Display,opened
2025-08-26T22:39:32Z,www.amazon.com,,Kindle for iOS,B003VPWY64,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-07-31T23:32:45Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Book,Current Location
2025-09-11T23:35:29Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Time Left In Book,Current Location
2025-09-21T16:33:30Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-07T14:56:08Z,www.amazon.com,,Kindle for iOS,5DE54701F9AB457893A2E196F7E4F894,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-05T14:09:11Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-07-23T12:30:46Z,www.amazon.com,,Kindle for iOS,B0CTXVHQW6,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-10-05T21:04:12Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Line Spacing Mode,Medium,Large
2025-09-11T02:06:30Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Time Left In Book,Current Location
2025-08-01T00:32:04Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-30T22:45:49Z,www.amazon.com,,Kindle for iOS,B0CFDCMPVC,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-07-23T10:43:35Z,www.amazon.com,,Kindle for iOS,B0CTXVHQW6,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,Highlight Menu Enabled,Off,On
2025-09-13T18:38:12Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Time Left In Book,Current Location
2025-08-17T23:38:32Z,www.amazon.com,,Kindle for iOS,B0CQKGZL6K,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-09-22T00:40:10Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-08-25T02:10:56Z,www.amazon.com,,Kindle for iOS,B0D7F96JNZ,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-07-27T21:50:36Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,Auto Play Media Animations,Off,Off
2025-09-14T17:43:25Z,www.amazon.com,,Kindle for iOS,B0DWSZPM62,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-10-02T11:19:53Z,www.amazon.com,,Kindle for iOS,B0CFDCMPVC,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-09-21T23:03:53Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-05T22:33:35Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-08-10T15:05:01Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Current Location,Time Left In Chapter
2025-09-28T03:32:57Z,www.amazon.com,,Kindle for iOS,B09DLCLRK4,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-07-29T22:34:07Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
