created_timestamp,preferred_marketplace,country,device_family,ASIN,context,book_count_type,book_count,count_changed
2024-03-30T00:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,3,Yes
2024-04-08T14:09:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,14,Yes
2024-04-26T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,Content stored in device,Total Books In Account,161,Yes
2024-03-31T13:28:20Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Content stored in device,Total Books In Account,113,Yes
2024-04-15T20:07:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-10T01:43:55Z,www.amazon.com,US,Kindle E-reader,B01LWVWGZW,Content stored in device,Total Books Sideloaded,1,Yes
2024-05-11T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Sideloaded,1,Yes
2024-03-31T13:28:20Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Content stored in device,Total Books Downloaded,7,Yes
2025-05-20T11:41:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,19,Yes
2024-05-01T08:32:20Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books In Account,158,Yes
2024-04-02T09:48:20Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,Content stored in device,Total Books In Account,113,Yes
2024-04-04T23:38:42Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,Content stored in device,Total Books Downloaded,7,Yes
2024-04-06T00:51:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-24T02:04:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,27,Yes
2024-04-02T09:48:20Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,Content stored in device,Total Books Downloaded,8,Yes
2024-04-10T01:43:55Z,www.amazon.com,US,Kindle E-reader,B01LWVWGZW,Content stored in device,Total Books In Account,133,Yes
2024-04-19T08:32:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,21,Yes
2024-04-26T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,Content stored in device,Total Books Downloaded,30,Yes
2024-05-10T08:32:29Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Downloaded,22,Yes
2024-05-01T08:32:20Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Downloaded,22,Yes
2024-04-13T08:33:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,137,Yes
2024-05-11T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books In Account,154,Yes
2024-07-18T09:53:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-13T08:33:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-15T20:07:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,139,Yes
2024-04-23T03:42:38Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,Content stored in device,Total Books Downloaded,28,Yes
2024-04-20T15:16:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,23,Yes
2024-04-30T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books In Account,159,Yes
2024-05-12T08:32:22Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Downloaded,19,Yes
2024-04-25T08:34:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,161,Yes
2024-04-07T17:52:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,13,Yes
2024-05-07T08:33:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,157,Yes
2024-04-25T08:34:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,28,Yes
2024-04-15T20:07:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,20,Yes
2024-04-10T01:43:55Z,www.amazon.com,US,Kindle E-reader,B01LWVWGZW,Content stored in device,Total Books Downloaded,16,Yes
2024-04-21T20:53:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-03-30T19:53:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-19T08:32:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,141,Yes
2024-05-01T08:32:20Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-08T14:09:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,131,Yes
2024-04-30T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Downloaded,23,Yes
2024-04-27T02:51:06Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,Content stored in device,Total Books Downloaded,29,Yes
2025-05-20T11:41:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-30T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-11T00:54:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-23T03:42:38Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,Content stored in device,Total Books In Account,157,Yes
2024-04-24T02:04:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,158,Yes
2024-04-06T00:51:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,122,Yes
2024-07-17T15:39:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,16,Yes
2024-04-06T16:50:08Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,Content stored in device,Total Books Downloaded,10,Yes
2024-04-11T00:54:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,16,Yes
2024-04-28T00:22:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,26,Yes
2024-05-16T08:33:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,154,Yes
2024-07-18T09:53:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,18,Yes
2024-03-30T00:51:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,0,Yes
2024-04-28T00:22:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-26T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-03T08:32:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-03T08:32:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,7,Yes
2024-04-06T16:50:08Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,Content stored in device,Total Books In Account,124,Yes
2024-07-20T16:27:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,163,Yes
2024-04-06T16:50:08Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,Content stored in device,Total Books Sideloaded,1,Yes
2024-05-10T08:32:30Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-27T02:51:06Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,Content stored in device,Total Books In Account,161,Yes
2024-04-17T01:15:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,139,Yes
2024-03-31T13:28:20Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-08T14:09:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-17T01:15:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-03T08:32:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,113,Yes
