created_timestamp,preferred_marketplace,country,device_family,ASIN,action_performed,alert_type,desired_page_location
2024-10-14T17:19:08Z,www.amazon.com,Not Available,Kindle for iOS,B09Z9K12P2,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-17T17:05:45Z,www.amazon.com,Not Available,,B0CL1C4PM4,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-05-15T19:24:12Z,www.amazon.com,Not Available,Kindle for iOS,B01FWXWOV2,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-05-08T22:00:06Z,www.amazon.com,Not Available,Kindle for iOS,B00LWSNUQ0,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-07T14:28:59Z,www.amazon.com,Not Available,Kindle for iOS,B0CNGBQRC5,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-07T21:10:04Z,www.amazon.com,Not Available,Kindle for iOS,B083TZV25B,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-22T00:11:15Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-06T01:56:30Z,www.amazon.com,Not Available,Kindle for iOS,B00AXIZ5MC,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-07-08T13:13:48Z,www.amazon.com,Not Available,Kindle for iOS,B09C2PWWNP,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-03-06T18:25:36Z,www.amazon.com,Not Available,Kindle for iOS,B0CHVBB7Y5,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-17T04:09:04Z,www.amazon.com,Not Available,Kindle for iOS,B0CL1C4PM4,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-09-20T12:18:56Z,www.amazon.com,Not Available,Kindle for iOS,B0BYFW12CT,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-08-01T15:54:29Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-04-21T15:00:06Z,www.amazon.com,Not Available,,B0CW1J839S,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-05-07T22:21:56Z,www.amazon.com,Not Available,Kindle for iOS,B00LWSNUQ0,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-10-05T21:04:33Z,www.amazon.com,Not Available,Kindle for iOS,B0DCG89SDJ,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-17T14:09:30Z,www.amazon.com,Not Available,Kindle for iOS,B0757CRTLY,Customer stayed on current page,Most Recent Page Read Bottom Sheet,Current Page
2025-05-09T19:43:08Z,www.amazon.com,Not Available,Kindle for iOS,B00P2RBHPS,Customer stayed on current page,Most Recent Page Read Bottom Sheet,Current Page
2024-10-22T20:28:51Z,www.amazon.com,Not Available,,B0CPD3911D,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-31T12:56:03Z,www.amazon.com,Not Available,Kindle for iOS,B07ZFZZ2GQ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-02-12T22:13:53Z,www.amazon.com,Not Available,Kindle for iOS,B0D7NN1P97,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-12-10T13:44:31Z,www.amazon.com,Not Available,Kindle for iOS,B07JH7ZKVX,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-10-06T03:18:12Z,www.amazon.com,Not Available,Kindle for iOS,B0DCG89SDJ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-12-10T04:46:57Z,www.amazon.com,Not Available,Kindle for iOS,B07JH7ZKVX,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-07-09T11:22:57Z,www.amazon.com,Not Available,Kindle for iOS,B09F6SYVBR,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-02-14T22:50:35Z,www.amazon.com,Not Available,Kindle for iOS,B0D3C17M1Z,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-09-20T12:18:45Z,www.amazon.com,Not Available,Kindle for iOS,B0BYFW12CT,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-07-26T18:45:58Z,www.amazon.com,Not Available,,B09Q9WSZ9G,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-02-18T18:17:07Z,www.amazon.com,Not Available,,B0CNSGXRN9,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-21T13:20:23Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-07-13T13:26:26Z,www.amazon.com,Not Available,Kindle for iOS,B0BTV12H8V,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-12-08T04:17:15Z,www.amazon.com,Not Available,Kindle for iOS,B091N9KW8N,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-08T21:36:54Z,www.amazon.com,Not Available,Kindle for iOS,B01D6TA9Y8,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-02-14T17:55:50Z,www.amazon.com,Not Available,,B0D3C17M1Z,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-10-14T17:19:09Z,www.amazon.com,Not Available,Kindle for iOS,B09Z9K12P2,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-10-22T18:14:16Z,www.amazon.com,Not Available,Kindle for iOS,B0CPD3911D,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-26T21:54:43Z,www.amazon.com,Not Available,Kindle for iOS,B0BCZWC3QZ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-22T00:33:40Z,www.amazon.com,Not Available,Kindle for iOS,B0183KJZE0,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-06-26T12:44:27Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-23T01:09:43Z,www.amazon.com,Not Available,Kindle for iOS,B0BXQP63XL,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-02-21T22:13:51Z,www.amazon.com,Not Available,Kindle for iOS,B0CXR6ZHLS,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-10T11:49:24Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-17T14:09:31Z,www.amazon.com,Not Available,Kindle for iOS,B0757CRTLY,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-22T00:34:07Z,www.amazon.com,Not Available,Kindle for iOS,B0183KJZE0,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-08-22T04:59:55Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-09-20T12:18:54Z,www.amazon.com,Not Available,Kindle for iOS,B0BYFW12CT,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-27T12:51:12Z,www.amazon.com,Not Available,Kindle for iOS,B017O4W3V8,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-04-15T22:04:57Z,www.amazon.com,Not Available,Kindle for iOS,B0CW1J839S,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-10T12:06:49Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-02-14T14:40:23Z,www.amazon.com,Not Available,,B0BF16RV53,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-19T05:43:11Z,www.amazon.com,Not Available,Kindle for iOS,B008UCJ7KO,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-05-14T20:41:30Z,www.amazon.com,Not Available,Kindle for iOS,B0188332MI,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
