created_timestamp,country,preferred_marketplace,device_family,active_ASIN,content_type,file_auto_marked_as_read
2024-12-08T03:26:35Z,Not Available,www.amazon.com,Kindle for iOS,B07G4H3665,E-Book,B07G4H3665
2024-09-09T22:11:12Z,Not Available,www.amazon.com,Kindle for iOS,B08F4ZSTH2,E-Book,B08F4ZSTH2
2025-01-25T05:04:44Z,Not Available,www.amazon.com,Kindle for iOS,B0C4JMJBNX,E-Book,B0C4JMJBNX
2024-03-09T06:00:53Z,Not Available,www.amazon.com,Kindle for iOS,B071NRXLXB,E-Book,B071NRXLXB
2024-09-25T02:11:16Z,Not Available,www.amazon.com,Kindle for iOS,B0D4YYKBC7,E-Book,B0D4YYKBC7
2025-01-18T04:44:46Z,Not Available,www.amazon.com,Kindle for iOS,B0BXXH97JF,E-Book,B0BXXH97JF
2024-10-28T03:36:21Z,Not Available,www.amazon.com,Kindle for iOS,B0B5NMN9XQ,E-Book,B0B5NMN9XQ
2025-01-12T14:15:39Z,Not Available,www.amazon.com,Kindle for iOS,B0CDWHN8FK,E-Book,B0CDWHN8FK
2024-11-01T19:44:08Z,Not Available,www.amazon.com,Kindle for iOS,B0D4W772V5,E-Book,B0D4W772V5
2024-03-08T09:21:12Z,Not Available,www.amazon.com,Kindle for iOS,B083TZV25B,E-Book,B083TZV25B
2024-05-01T03:43:25Z,Not Available,www.amazon.com,Kindle for iOS,B00IFVAAGA,E-Book,B00IFVAAGA
2025-08-25T19:59:53Z,Not Available,www.amazon.com,Kindle for iOS,B004CLYLCG,E-Book,B004CLYLCG
2024-03-25T15:23:51Z,Not Available,www.amazon.com,Kindle for iOS,B00W22ITCU,E-Book,B00W22ITCU
2024-09-09T08:30:14Z,Not Available,www.amazon.com,Kindle for iOS,B0CGS1BTDH,E-Book,B0CGS1BTDH
2025-03-09T14:21:06Z,Not Available,www.amazon.com,Kindle for iOS,B0C5K4RCNR,E-Book,B0C5K4RCNR
2024-11-24T05:01:37Z,Not Available,www.amazon.com,Kindle for iOS,B075818VDG,E-Book,B075818VDG
