created_timestamp,preferred_marketplace,country,device_family,ASIN,supports_auxiliary_content,has_auxiliary_content,auxiliary_content_enabled,auxiliary_content_type
2024-04-08T22:50:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-24T03:12:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-20T01:36:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T00:52:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-04-07T17:53:39Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,Yes,Yes,Yes,Xray
2024-03-30T18:57:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-31T15:16:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T06:25:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-17T01:22:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T01:05:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-02T01:27:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-08T14:16:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-08T02:11:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-05-20T11:45:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-04-20T22:25:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-31T01:05:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-10T01:43:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
