created_timestamp,ASIN,customer_context,action,is_starred,highlight_menu_setting,device_family,country,preferred_marketplace
2025-04-23T02:24:56Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T20:46:56Z,B0DFGDFM4V,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T23:31:20Z,B0DFGDFM4V,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T21:00:06Z,B0CR1N7YGX,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-01-09T17:53:28Z,B075CRQLKG,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-22T23:50:30Z,B0DFGDFM4V,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T21:39:05Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T18:34:33Z,B0DFGDFM4V,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-05-18T18:36:54Z,B0DGCLB3X3,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-07-25T14:28:50Z,F9E1D97B26F64086B915F88D6A59002F,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-22T23:03:20Z,B0DFGDFM4V,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T20:59:25Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-01-09T17:53:37Z,B075CRQLKG,Edit Note Button,Remove Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T14:25:29Z,B0DFGDFM4V,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T23:31:49Z,B0DFGDFM4V,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T02:09:59Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T02:29:17Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T02:22:59Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-07-25T14:29:27Z,F9E1D97B26F64086B915F88D6A59002F,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
