created_timestamp,ASIN,customer_context,action,device_family,country,preferred_marketplace
2025-02-16T00:40:36Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-04-18T03:02:35Z,B0D7F96JNZ,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-03-28T22:49:24Z,B08HJDG47W,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-04T04:20:15Z,B0DKG9MS7S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-24T22:56:38Z,B0DFGDFM4V,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T00:42:41Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-29T20:22:20Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-16T20:08:43Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-23T10:41:29Z,B0CR1N7YGX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T18:50:19Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-21T17:00:50Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-10T02:00:02Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T03:25:44Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-16T21:09:22Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-26T17:24:55Z,B003VPWY64,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-14T22:02:55Z,B0D3C17M1Z,Not Applicable,Search,Mac,Not Available,www.amazon.com
2025-04-10T12:22:14Z,B08XK8L1J7,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-30T18:57:18Z,B08RW8MW3D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T00:11:31Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-10T17:12:15Z,B0C4JMJBNX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-29T22:38:43Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-27T01:57:17Z,B08LDYBGJD,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-08-25T01:58:44Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-24T00:59:17Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-13T01:09:16Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T17:18:34Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-09T22:47:07Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-10T02:13:09Z,B0CJDMBYCT,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-03-19T03:23:52Z,B0CL1C4PM4,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-21T17:01:23Z,B0D9CC3C9Y,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-14T00:05:36Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-28T15:57:48Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-16T21:09:41Z,B0CZP7QV5D,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-30T18:50:45Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-30T00:52:13Z,B0D5YMWD9Y,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T22:18:08Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
