created_timestamp,country,preferred_marketplace,device_family,active_ASIN,error_message,user_response
2024-10-28T13:54:42Z,Not Available,www.amazon.com,Kindle for iOS,B0B5NMN9XQ,Download Error,Cancel
2024-03-30T00:43:25Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-03-30T00:43:29Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,Title Not Available,Cancel
2025-10-05T22:33:53Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-03-30T00:43:27Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,Title Not Available,Cancel
2025-06-30T18:59:19Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-03-30T00:43:20Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-10-28T13:54:43Z,Not Available,www.amazon.com,Kindle for iOS,B0B5NMN9XQ,Download Error,Cancel
2025-01-15T21:40:49Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-02-23T22:22:50Z,Not Available,www.amazon.com,Mac,Not Available,Title Not Available,Cancel
2025-06-30T20:38:40Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,Title Not Available,Cancel
2024-03-30T00:43:23Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,Title Not Available,Cancel
