created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2024-03-31T00:33:11Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,exitBook,In-book,Tap
2024-04-06T20:23:04Z,www.amazon.com,US,Kindle E-reader,B00H57X864,AaMenu,In-book,Tap
2024-03-30T01:44:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-23T03:42:39Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,exitBook,In-book,Tap
2024-04-10T01:42:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-04-06T17:18:22Z,www.amazon.com,US,Kindle E-reader,B00FO60CH6,AaMenu,In-book,Tap
2024-04-20T21:21:21Z,www.amazon.com,US,Kindle E-reader,B06XWR6BC3,exitBook,In-book,Tap
2024-07-17T15:40:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T00:58:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T01:04:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-31T01:04:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2025-05-20T11:47:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-08T02:49:20Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,exitBook,In-book,Tap
2024-03-30T01:44:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-02T01:27:54Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,Menu,In-book,Tap
2024-04-15T00:55:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,Store,Tap
2024-04-24T02:34:36Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,exitBook,In-book,Tap
2024-04-08T22:51:08Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,exitBook,In-book,Tap
2024-04-08T22:50:29Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,exitBook,In-book,Tap
2024-04-23T03:43:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-04-11T00:54:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-03-29T02:46:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2025-05-20T11:42:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-24T02:04:10Z,www.amazon.com,US,Kindle E-reader,B09X6HZ4FT,exitBook,In-book,Tap
2024-04-07T22:01:47Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,AaMenu,In-book,Tap
2024-04-11T00:54:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-04-02T01:27:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-03-30T01:04:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2024-03-30T21:48:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-04-06T02:19:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,Store,Tap
2024-03-31T12:47:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-04-17T01:29:48Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P,exitBook,In-book,Tap
2024-03-30T05:40:14Z,www.amazon.com,US,Kindle E-reader,B09DTJF1WD,Goto,In-book,Tap
2024-04-08T14:06:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-04-15T00:45:52Z,www.amazon.com,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2025-05-20T11:45:19Z,www.amazon.com,US,Kindle E-reader,B0D888FZSD,exitBook,In-book,Tap
2024-04-16T03:51:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-04-07T17:52:28Z,www.amazon.com,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-03-31T01:03:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-08T14:16:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-29T02:56:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-29T02:46:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-03-30T19:47:05Z,www.amazon.com,US,Kindle E-reader,B09DTJF1WD,exitBook,In-book,Tap
2024-04-08T02:04:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2024-03-29T02:57:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-20T22:18:52Z,www.amazon.com,US,Kindle E-reader,B01N9F5IOL,exitBook,In-book,Tap
2024-04-06T01:48:40Z,www.amazon.com,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-04-23T03:43:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-03-30T01:44:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_SETTINGS,Tap
2024-04-11T00:54:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-04-21T23:04:32Z,www.amazon.com,US,Kindle E-reader,B0BXQP63XL,exitBook,In-book,Tap
2024-04-23T03:43:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-04-21T23:04:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-30T00:58:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-06T02:19:37Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,Goto,In-book,Tap
