created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2025-05-20T11:46:59Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2025-05-20T11:44:20Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-03-29T02:46:55Z,www.amazon.com,US,Kindle E-reader,Not Available,goodreads,KPP_HOME,Tap
2024-03-30T21:50:18Z,www.amazon.com,US,Kindle E-reader,Not Available,readingList,KPP_LIBRARY,Tap
2024-03-29T02:55:46Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-04-02T01:27:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2023-12-01T12:18:37Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-03-31T01:03:29Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-04-20T21:56:09Z,www.amazon.com,US,Kindle E-reader,B01N9F5IOL,Furthest Page Read,In-Book,Tap
2024-03-30T01:04:20Z,www.amazon.com,US,Kindle E-reader,Not Available,familySharing,KPP_LIBRARY,Tap
2024-07-17T15:40:03Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-04-02T01:27:55Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,Furthest Page Read,In-Book,Tap
2024-03-30T00:57:17Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-04-02T01:27:16Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-04-15T00:46:11Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-03-01T09:22:47Z,www.amazon.com,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
