ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format","Product Name",Reason,"Software Version",Status,"Third Party Device","Update Date","Update Target"
B0DCG89SDJ,"NOT AVAILABLE","NOT AVAILABLE",2025-10-08T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","August Lane","NOT AVAILABLE",1191417120,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0DCG89SDJ,"NOT AVAILABLE","NOT AVAILABLE",2025-10-07T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","August Lane","NOT AVAILABLE",1286183400,Failed,"06c76056bae64c2397af0502bfffb98c","NOT AVAILABLE","NOT AVAILABLE"
B0FHWJ2NJS,"NOT AVAILABLE","NOT AVAILABLE",2025-10-06T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Scary In Love: A spooky, spicy, Halloween romance","NOT AVAILABLE",1191417120,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0CWPBWTCY,"NOT AVAILABLE","NOT AVAILABLE",2025-10-05T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Not in My Book","NOT AVAILABLE",1191417120,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0CFDCMPVC,"NOT AVAILABLE","NOT AVAILABLE",2025-10-02T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","He's Not My Type","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B00IERA5RY,"NOT AVAILABLE","NOT AVAILABLE",2025-10-02T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Story Of Us: Carnage Book One","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B00IERA5RY,2025-10-02T00:00:00.00Z,2025-10-02T00:00:00.00Z,2025-10-02T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE",Amazon.com,"Enhanced TypeSetting","The Story Of Us: Carnage Book One","Request sent",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF",2025-10-02T00:00:00.00Z,"Book revision update"
B0BSG1XDTR,"NOT AVAILABLE","NOT AVAILABLE",2025-09-30T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Right Man, Right Time","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B09QD52KWF,"NOT AVAILABLE","NOT AVAILABLE",2025-09-29T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Those Three Little Words","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0B7B2G4TD,"NOT AVAILABLE","NOT AVAILABLE",2025-09-28T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Love of My Next Life: Next Life Duet Book 1","Device not supported",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF",2025-09-28T00:00:00.00Z,"Book revision update"
B08LDYBGJD,"NOT AVAILABLE","NOT AVAILABLE",2025-09-28T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Soulmate Equation","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0DPX5M3BH,"NOT AVAILABLE","NOT AVAILABLE",2025-09-28T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","For Wrath and Redemption: An enemies to lovers, rockstar romance","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0DSRPZ7NY,"NOT AVAILABLE","NOT AVAILABLE",2025-09-28T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Good Girl Effect","Device not supported",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF",2025-09-28T00:00:00.00Z,"Book revision update"
B0DXVVG8LM,"NOT AVAILABLE","NOT AVAILABLE",2025-09-28T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Pucking Strong: An MM Workplace Hockey Romance","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B09DLCLRK4,"NOT AVAILABLE","NOT AVAILABLE",2025-09-28T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Kiss and Don't Tell","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0DSRPZ7NY,2025-09-24T00:00:00.00Z,2025-09-24T00:00:00.00Z,2025-09-24T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE",Amazon.com,"Enhanced TypeSetting","The Good Girl Effect","Request sent",1191416970,Success,"DD40230DB3F34160A2E39F2E8B753EAF",2025-09-24T00:00:00.00Z,"Book revision update"
B0DSRPZ7NY,"NOT AVAILABLE","NOT AVAILABLE",2025-09-24T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Good Girl Effect","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0C6NNZSVQ,"NOT AVAILABLE","NOT AVAILABLE",2025-09-23T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Daisy Haites: The Great Undoing","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0C6NMBN7H,"NOT AVAILABLE","NOT AVAILABLE",2025-09-23T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Daisy Haites","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0C6NBLBL2,"NOT AVAILABLE","NOT AVAILABLE",2025-09-19T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Magnolia Parks","Device not supported",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF",2025-09-19T00:00:00.00Z,"Book revision update"
B0DWSZPM62,"NOT AVAILABLE","NOT AVAILABLE",2025-09-17T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Wild Card","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0DD1VWZ4Z,2025-09-14T00:00:00.00Z,2025-09-14T00:00:00.00Z,2025-09-17T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE",Amazon.com,"Enhanced TypeSetting","Wild Side","Request sent",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF",2025-09-14T00:00:00.00Z,"Book revision update"
B0FBMM3SCD,"NOT AVAILABLE","NOT AVAILABLE",2025-09-17T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Love & Other Killers","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0D7F96JNZ,2025-08-23T00:00:00.00Z,2025-08-23T00:00:00.00Z,2025-09-14T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE",Amazon.com,"Enhanced TypeSetting","The Finish Line","Request sent",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF",2025-08-23T00:00:00.00Z,"Book revision update"
B0DD1VWZ4Z,"NOT AVAILABLE","NOT AVAILABLE",2025-09-14T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Wild Side","NOT AVAILABLE",1191416970,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
B0D1QKJLYT,"NOT AVAILABLE","NOT AVAILABLE",2025-09-10T00:00:00.00Z,"Enhanced TypeSetting",IOS,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Favorites","NOT AVAILABLE",1191416848,Failed,"DD40230DB3F34160A2E39F2E8B753EAF","NOT AVAILABLE","NOT AVAILABLE"
