DocumentId,Title,DocumentProvider,Filename,DocumentOriginalType,DocumentSizeInBytes,DocumentTypeAndConvertionCompletionStatus 1,DocumentTypeAndConvertionCompletionStatus 2,DocumentTypeAndConvertionCompletionStatus 3,DocumentTypeAndConvertionCompletionStatus 4,DocumentTypeAndConvertionCompletionStatus 5,HasBeenDeleted,EntryCreationDate
3984724CEF794A0FAABD20B80318BFC9,Bride,Ali Hazelwood,Bride.azw8,application/x-mobi8-ebook,1076984,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-09-21T14:06:15.784Z"
7841469D0E8342F98B7A7247C562830D,Magnolia Parks: Into the Dark,Jessa Hastings,Magnolia Parks: Into the Dark.azw8,application/x-mobi8-ebook,1382768,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-09-10T02:13:19.001Z"
5DE54701F9AB457893A2E196F7E4F894,Magnolia_Parks_Magnolia Parks: Long Way Home,Jessa Hastings,Magnolia_Parks_Magnolia Parks: Long Way Home.azw8,application/x-mobipocket-ebook,876908,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-09-06T21:03:06.046Z"
75138A0188C24E0CB2340EECDBF7A111,Ravenhood Anthology (Books 1 - 5) - Kate Stewart,Kate Stewart,Ravenhood Anthology (Books 1 - 5) - Kate Stewart.azw8,application/x-mobi8-ebook,13831112,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-27T21:49:45.789Z"
F9E1D97B26F64086B915F88D6A59002F,The Love Haters,Katherine Center,The Love Haters.azw8,application/x-mobi8-ebook,847792,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-24T10:57:04.039Z"
6A0A6F4481FD45C989782A76F9A92AD7,Ashley_Poston__The_Seven_Year_Slip,Alex,Ashley_Poston__The_Seven_Year_Slip.azw8,application/x-mobi8-ebook,1105508,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-06-30T20:39:52.335Z"
C182BE1195894652900A609B4A95ADEB,Manacled,Senlinyu,Manacled.azw8,application/x-mobipocket-ebook,3637252,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-02-27T21:36:01.973Z"
3CBC04248FB0423080EBAE60721D9001,Half-Hearted - Kyra Parsi,Alex,Half-Hearted - Kyra Parsi.azw8,application/x-mobi8-ebook,217196,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-04-03T03:56:09.670Z"
26855A002A7C4165A4B974B523E3F57D,November 2022 Patreon Short - Katee Robert,Alex,November 2022 Patreon Short - Katee Robert.azw8,application/x-mobipocket-ebook,153056,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-04-02T11:08:24.626Z"
CDBC26A7DDB347D9A0B8CA4AE08F55D2,Zeus and Heras Wedding Night - Katee Robert,Alex,Zeus and Heras Wedding Night - Katee Robert.azw8,application/x-mobi8-ebook,151412,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-04-02T11:07:53.448Z"
48940B5306CA40FAB2F4755F0AF1D6BE,Wicked Beauty Epilogue - Katee Robert,Alex,Wicked Beauty Epilogue - Katee Robert.azw8,application/x-mobi8-ebook,135168,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-04-02T11:07:09.741Z"
5BEA93B92BE3430FB2DF09D918F5365C,Dark Olympus Shorts - Katee Robert,Alex,Dark Olympus Shorts - Katee Robert.azw8,application/x-mobi8-ebook,348336,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-04-02T11:04:53.658Z"
