created_timestamp,preferred_marketplace,device_family,card_name,card_position
2025-10-07T01:27:22Z,www.amazon.com,Kindle for Android,,4
2025-10-19T16:41:50Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-15T02:46:04Z,www.amazon.com,Kindle for Android,,2
2025-10-19T16:41:49Z,www.amazon.com,Kindle for Android,,1
2025-10-15T02:46:04Z,www.amazon.com,Kindle for Android,,1
2025-10-07T01:22:18Z,www.amazon.com,Kindle for Android,,4
2025-10-19T16:41:49Z,www.amazon.com,Kindle for Android,,2
2025-10-19T18:22:06Z,www.amazon.com,Kindle for Android,,1
2025-10-07T01:19:16Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-15T02:46:02Z,www.amazon.com,Kindle for Android,,2
2025-10-07T01:27:37Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-05T21:05:34Z,www.amazon.com,Kindle for Android,,1
2025-10-08T02:18:22Z,www.amazon.com,Kindle for Android,,2
2025-10-17T13:52:33Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-07T01:27:22Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-05T21:05:34Z,www.amazon.com,Kindle for Android,,2
2025-10-05T20:35:05Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-08T02:18:24Z,www.amazon.com,Kindle for Android,,2
2025-10-06T00:07:34Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-08T02:18:24Z,www.amazon.com,Kindle for Android,,1
2025-10-08T02:18:24Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-05T21:05:34Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-15T02:46:04Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-19T18:22:06Z,www.amazon.com,Kindle for Android,Amazon Original Stories,3
2025-10-15T02:46:03Z,www.amazon.com,Kindle for Android,,1
2025-10-17T13:52:30Z,www.amazon.com,Kindle for Android,,2
2025-10-08T02:18:23Z,www.amazon.com,Kindle for Android,,1
2025-10-05T20:35:05Z,www.amazon.com,Kindle for Android,,2
2025-10-05T20:33:53Z,www.amazon.com,Kindle for Android,,1
2025-10-07T01:22:18Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-05T20:33:53Z,www.amazon.com,Kindle for Android,Page Turners just for you,3
2025-10-06T00:07:34Z,www.amazon.com,Kindle for Android,,1
2025-10-19T18:22:06Z,www.amazon.com,Kindle for Android,,2
2025-10-07T01:19:16Z,www.amazon.com,Kindle for Android,,2
2025-10-06T00:07:34Z,www.amazon.com,Kindle for Android,,2
2025-10-05T20:33:53Z,www.amazon.com,Kindle for Android,,2
2025-10-17T13:52:33Z,www.amazon.com,Kindle for Android,,1
2025-10-05T20:35:05Z,www.amazon.com,Kindle for Android,,1
2025-10-07T01:27:37Z,www.amazon.com,Kindle for Android,,4
2025-10-19T16:41:50Z,www.amazon.com,Kindle for Android,,2
2025-10-07T01:19:16Z,www.amazon.com,Kindle for Android,,1
2025-10-07T01:19:22Z,www.amazon.com,Kindle for Android,,4
