created_timestamp,preferred_marketplace,country,device_family,ASIN,Action Name,Entry Point of Action
2024-03-16T02:41:17Z,www.amazon.com,,Kindle for iOS,Not Available,Go To Notebooks,More Menu
2024-05-11T20:07:19Z,www.amazon.com,,Kindle for iOS,Not Available,Go To Notebooks,More Menu
2024-03-16T02:41:18Z,www.amazon.com,,Kindle for iOS,Not Available,Session Started,Inside Notebooks Web View
2024-04-19T00:42:58Z,www.amazon.com,,Kindle for iOS,Not Available,Session Ended,Inside Notebooks Web View
2024-05-11T20:07:22Z,www.amazon.com,,Kindle for iOS,Not Available,Session Ended,Inside Notebooks Web View
2024-05-11T20:07:20Z,www.amazon.com,,Kindle for iOS,Not Available,Session Started,Inside Notebooks Web View
2024-04-19T00:42:55Z,www.amazon.com,,Kindle for iOS,Not Available,Go To Notebooks,More Menu
2024-04-19T00:42:56Z,www.amazon.com,,Kindle for iOS,Not Available,Session Started,Inside Notebooks Web View
2024-03-16T02:41:21Z,www.amazon.com,,Kindle for iOS,Not Available,Session Ended,Inside Notebooks Web View
2025-06-22T02:39:53Z,www.amazon.com,,Kindle for iOS,Not Available,Session Started,Inside Notebooks Web View
2025-06-22T02:39:52Z,www.amazon.com,,Kindle for iOS,Not Available,Go To Notebooks,More Menu
2025-06-22T02:39:55Z,www.amazon.com,,Kindle for iOS,Not Available,Session Ended,Inside Notebooks Web View
