ApplicationId,NotificationType,Date,Channels,NotificationStatus
06c76056bae64c2397af0502bfffb98c,Push,2025-10-21,kindle_recommends,Sent
DD40230DB3F34160A2E39F2E8B753EAF,Push,2025-10-21,kindle_recommends,Sent
06c76056bae64c2397af0502bfffb98c,Push,2025-10-18,kindle_recommends,Sent
DD40230DB3F34160A2E39F2E8B753EAF,Push,2025-10-18,kindle_recommends,Sent
06c76056bae64c2397af0502bfffb98c,Push,2025-10-17,kindle_recommends,Sent
DD40230DB3F34160A2E39F2E8B753EAF,Push,2025-10-17,kindle_recommends,Sent
06c76056bae64c2397af0502bfffb98c,Push,2025-10-16,kindle_recommends,Sent
DD40230DB3F34160A2E39F2E8B753EAF,Push,2025-10-16,kindle_recommends,Sent
06c76056bae64c2397af0502bfffb98c,Push,2025-10-15,kindle_recommends,Sent
06c76056bae64c2397af0502bfffb98c,Push,2025-10-14,tips,Sent
06c76056bae64c2397af0502bfffb98c,Push,2025-10-14,kindle_recommends,Sent
DD40230DB3F34160A2E39F2E8B753EAF,Push,2025-10-14,kindle_recommends,Sent
