asin_date_and_content_type,product_name
0062085484_2025-02-26_MANUAL,Shatter Me
0062327968_2025-02-26_MANUAL,Unite Me (Shatter Me)
0593955013_2025-10-10_MANUAL,Mate
1496754638_2025-08-15_MANUAL,The Finish Line (The Ravenhood)
1496754646_2025-08-15_MANUAL,One Last Rainy Day (Ravenhood Legacy)
1496757017_2025-08-15_MANUAL,Severed Heart (Ravenhood Legacy)
26855A002A7C4165A4B974B523E3F57D_2024-04-02_AUTOMATIC,Not Available
3984724CEF794A0FAABD20B80318BFC9_2025-09-22_AUTOMATIC,Not Available
3CBC04248FB0423080EBAE60721D9001_2024-04-03_MANUAL,Not Available
48940B5306CA40FAB2F4755F0AF1D6BE_2024-04-03_MANUAL,Not Available
5BEA93B92BE3430FB2DF09D918F5365C_2024-04-02_AUTOMATIC,Not Available
5DE54701F9AB457893A2E196F7E4F894_2025-09-07_AUTOMATIC,Not Available
6A0A6F4481FD45C989782A76F9A92AD7_2025-07-02_AUTOMATIC,Not Available
7841469D0E8342F98B7A7247C562830D_2025-09-13_AUTOMATIC,Not Available
B003IYI6TC_2025-08-26_AUTOMATIC,It's Not Summer Without You (The Summer I Turned Pretty Book 2)
B003IYI6TC_2025-08-26_MANUAL,It's Not Summer Without You (The Summer I Turned Pretty Book 2)
B003VPWY64_2025-08-27_AUTOMATIC,We'll Always Have Summer (Summer I Turned Pretty Book 3)
B003VPWY64_2025-08-27_MANUAL,We'll Always Have Summer (Summer I Turned Pretty Book 3)
B004CLYLCG_2025-08-25_AUTOMATIC,The Summer I Turned Pretty
B004CLYLCG_2025-08-25_MANUAL,The Summer I Turned Pretty
B007N6JEII_2024-12-22_AUTOMATIC,Throne of Glass
B00846REIS_2024-03-18_AUTOMATIC,"Bared to You (Crossfire, Book 1)"
B008673ZAQ_2024-03-19_AUTOMATIC,"Reflected in You (Crossfire, Book 2)"
B0089LOFGC_2025-02-28_AUTOMATIC,Unravel Me (Shatter Me Book 2)
B008UCJ7KO_2024-03-20_AUTOMATIC,"Entwined with You (Crossfire, Book 3)"
B008WOTQGU_2024-04-05_AUTOMATIC,"Release Me (The Stark Trilogy, Book 1)"
B009UVCYLS_2024-07-06_AUTOMATIC,Beautiful Bastard
B00AXIZ5MC_2024-04-06_AUTOMATIC,"Claim Me (The Stark Trilogy, Book 2)"
B00B73MULG_2024-04-29_AUTOMATIC,Wallbanger (The Cocktail Series Book 1)
B00BKK6E04_2024-04-06_AUTOMATIC,"Complete Me (The Stark Trilogy, Book 3)"
B00CU7YHQY_2024-12-24_AUTOMATIC,Crown of Midnight (Throne of Glass Book 2)
