record-type,series-ASIN,series-product-name,customer-owned-item-count-in-series,item-ASIN,item-product-name,item-position-in-series,record-created-by,record-updated-by,time-of-latest-acquisition-of-series-in-utc
Item,B0FV9BS283,Boston Bolts Hockey,Not Applicable,urn:collection:1:asin-B0D9MSNGM1,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0FFGJY9XT,The Empyrean,Not Applicable,urn:collection:1:asin-B0BV9WPS4M,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0D8QGPBS7,Carnage,Not Applicable,urn:collection:1:asin-B074C5Y9D1,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0CVQTVJMB,Bright Side,Not Applicable,urn:collection:1:asin-B074C5T5MN,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0CV7QRVSS,The Handmaid's Tale,Not Applicable,urn:collection:1:asin-B07SKCM1D8,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0CDLRY243,Crescent City,Not Applicable,urn:collection:1:asin-B082M94N77,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0C69YTQHT,Better Love,Not Applicable,urn:collection:1:asin-B094HDZ8LQ,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0BVFZMBM9,Boys of Tommen,Not Applicable,urn:collection:1:asin-B07MDWGDVH,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0BSVM1KGB,Jacksonville Rays,Not Applicable,urn:collection:1:asin-B0BPZN83ZS,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0B4MZ49G2,Mistborn,Not Applicable,urn:collection:1:asin-B0B4N71QWS,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B09PL7CHTN,Crossfire,Not Applicable,urn:collection:1:asin-B09PL8B1CW,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B09M4HG6PS,What to Expect When You're Expecting,Not Applicable,urn:collection:1:asin-B07VWR6FML,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B097R8BHBB,A Court of Thorns and Roses,Not Applicable,urn:collection:1:asin-B07F7JQTCR,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B08YP15Q16,Chicago Law,Not Applicable,urn:collection:1:asin-B07FKCSBC9,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B08PHZTF78,The Stormlight Archive,Not Applicable,urn:collection:1:asin-B074CBP9DY,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
