"Product Name","ASIN","Author ID"
"Looking for Alaska","B000YI1K0C","B001I9OQNE"
"Looking for Alaska","B000YI1K0C","B001I9OQNE"
"Mate","0593955013","B08ZYW66XW"
"Mate","0593955013","B08ZYW66XW"
"Emily Wilde's Encyclopaedia of Faeries","B09VXFLR23","B075ZRRQMX"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","B0BLVXX4QD"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","B0BLVXX4QD"
"August Lane","B0DCG89SDJ","B0BQ1G3G51"
"August Lane","B0DCG89SDJ","B0BQ1G3G51"
"Not in My Book: A Novel","B0CWPBWTCY","B0DPLD7FY1"
"August Lane","B0DMB6PKTM","B0BQ1G3G51"
"August Lane","B0DMB6PKTM","B0BQ1G3G51"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","B08ZLBTJMH"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","B08ZLBTJMH"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","B00G2PREA6"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","B00G2PREA6"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","B00G2PREA6"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","B00G2PREA6"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","B00G2PREA6"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","B00G2PREA6"
"The Love of My Next Life: Next Life Duet Book 1","B0B7B2G4TD","B094GJL1JG"
"For Wrath and Redemption: An enemies to lovers, rockstar romance (The Hometown Heartless)","B0DPX5M3BH","B094GJL1JG"
"Pucking Strong: An MM Workplace Hockey Romance (Jacksonville Rays Book 4)","B0DXVVG8LM","B09MZJVH8V"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","B00G2PREA6"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","B00G2PREA6"
"The Good Girl Effect (Salacious Legacy Book 1)","B0DSRPZ7NY","B07Y8SVDN7"
"The Soulmate Equation","B08LDYBGJD","B009XCC1L2"
"The Soulmate Equation","B08LDYBGJD","B009XCC1L2"
"Two Can Play","B0DGYFBMQC","B08ZYW66XW"
"Bride","B0C9GQV1TT","B08ZYW66XW"
"Two Can Play","B0DGYFBMQC","B08ZYW66XW"
"Bride","B0C9GQV1TT","B08ZYW66XW"
"Daisy Haites: The Great Undoing (The Magnolia Parks Universe Book 4)","B0C6NNZSVQ","B096SY58XT"
"Daisy Haites (The Magnolia Parks Universe Book 2)","B0C6NMBN7H","B096SY58XT"
"Magnolia Parks (The Magnolia Parks Universe Book 1)","B0C6NBLBL2","B096SY58XT"
"Love & Other Killers","B0FJ2Y7R1K","B08ZLBTJMH"
"Wild Card","B0DWSZPM62","B0913FH5MX"
"Love & Other Killers","B0FBMM3SCD","B08ZLBTJMH"
"Wild Side","B0DD1VWZ4Z","B0913FH5MX"
"Magnolia Parks: Into the Dark (The Magnolia Parks Universe Book 5)","B0CFX5WT14","B096SY58XT"
"The Lion's Den","B07XCSPBKR","B085HZV6VL"
"The Finish Line (The Ravenhood Book 3)","B0D7F96JNZ","B00GCWS5UM"
"The Favorites: A Novel","B0D1QKJLYT","B07QF3WMV9"
"Say You'll Remember Me","B0DC66QD8K","B07KX5X24Y"
"The Book of Azrael (Gods & Monsters 1)","B0BGT7SZPT","B09PJ8SMRJ"
"Him","B011LSLI9G","B002WHBZOO"
"Him","B011LSLI9G","B00HFB2P50"
"Of Heartbreak and Harmony: A fake dating, rockstar romance (The Hometown Heartless)","B0DB2L4TWY","B094GJL1JG"
"Between Never and Forever: A second chance, rockstar romance (The Hometown Heartless)","B0C3C7G6HN","B094GJL1JG"
"Daisy Jones & The Six: Reese's Book Club: A Novel","B07DMZ5YR9","B00DX8B85M"
"We'll Always Have Summer (Summer I Turned Pretty Book 3)","B003VPWY64","B001JS1GJG"
"Love You Better: A friends to lovers romance (Better Love)","B094GCNRBZ","B094GJL1JG"
"The Summer I Turned Pretty","B004CLYLCG","B001JS1GJG"
"It's Not Summer Without You (The Summer I Turned Pretty Book 2)","B003IYI6TC","B001JS1GJG"
"Exodus (The Ravenhood Book 2)","B0CZP7QV5D","B00GCWS5UM"
"Flock (The Ravenhood Book 1)","B0CW1J839S","B00GCWS5UM"
"Unsteady: A Novel","B0CQKGZL6K","B0CHPVCR2J"
"Retreat: A Novel","B0D7ZVQG2N","B06W9JQHPM"
"Daisy Jones & The Six: A Novel","B07K8WGT23","B00DX8B85M"
"Hide and Sneak: An Enemies-to-lovers, Brother's Best Friend Romance (Happy Haven Book 3)","B0FK78LV2K","B00HZZP9MM"
"Severed Heart (Ravenhood Legacy)","1496757017","B00GCWS5UM"
"One Last Rainy Day (Ravenhood Legacy)","1496754646","B00GCWS5UM"
"The Finish Line (The Ravenhood)","1496754638","B00GCWS5UM"
"The Dead Romantics: A GMA Book Club Pick","B09HTD8KQD","B00H7KAML8"
"The Devious Husband: Sierra and Xavier's Story (The Windsors)","B0CTXVHQW6","B089B5CTHW"
"The Love Haters: A Novel","1250283825","B001JS3MLG"
"Unhinged: A Dark Why-Choose Romance (Dance with My Demons, Book 1)","B0F8C96GTL","B09PYMPWNF"
"My Oxford Year: A Novel","B071VBHT9W","B076QCPPR6"
"The Broken Vows: Zane and Celeste's Story (The Windsors)","B0C4GRKJTF","B089B5CTHW"
"The Secret Fiancée: Lexington and Raya's Story (The Windsors)","B0CJDPTB3V","B089B5CTHW"
"The Unwanted Marriage: Dion and Faye's Story (The Windsors)","B0BT9W3ZS2","B089B5CTHW"
"The Temporary Wife: Luca and Valentina's Story (The Windsors)","B0BHN8JB7C","B089B5CTHW"
"The Wrong Bride: Ares and Raven's Story (The Windsors)","B0B9TBGC5X","B089B5CTHW"
"Restitution (The Edge of Darkness: Book 3) (The Edge of Darkness Trilogy)","B0CPKCH1V8","B0C9MXQ7Z7"
"Voracious (The Edge of Darkness: Book 2) (The Edge of Darkness Trilogy)","B0CMJRJPC7","B0C9MXQ7Z7"
"An American in London","B0DPNCMFZ9","B00JKSGM5A"
"The Other Brother (London Hearts Book 1)","B0F45JL25S","B0DS1RP7KQ"
"Insatiable (The Edge of Darkness: Book 1) (The Edge of Darkness Trilogy)","B0C9MXW2JL","B0C9MXQ7Z7"
"Slap Shot (D.C. Stars Book 3)","B0D67VHK43","B0B27CWPKK"
"Hat Trick (D.C. Stars Book 4)","B0DY891B7R","B0B27CWPKK"
"Hockey Boy : Boston Bolts Hockey","B0CW6HCYCX","B09BW1XF36"
"Power Play: A Grumpy Sunshine Marriage of Convenience Romance (D.C. Stars Book 2)","B0CQ371ZTP","B0B27CWPKK"
"All Superheroes Need PR: Supers in the City","B0DPNJS9RY","B010M3BUY4"
