"Product Name","ASIN","Author Name"
"Looking for Alaska","B000YI1K0C","Green, John"
"Looking for Alaska","B000YI1K0C","Green, John"
"Mate","0593955013","Hazelwood, Ali"
"Mate","0593955013","Hazelwood, Ali"
"Emily Wilde's Encyclopaedia of Faeries","B09VXFLR23","Fawcett, Heather"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","Smith, Holly June"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","Smith, Holly June"
"August Lane","B0DCG89SDJ","Black, Regina"
"August Lane","B0DCG89SDJ","Black, Regina"
"Not in My Book: A Novel","B0CWPBWTCY","Holt, Katie"
"August Lane","B0DMB6PKTM","Regina Black"
"August Lane","B0DMB6PKTM","Regina Black"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","Brynne Weaver"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","Brynne Weaver"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","Quinn, Meghan "
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","Quinn, Meghan "
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","Quinn, Meghan"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","Quinn, Meghan"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","Quinn, Meghan"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","Quinn, Meghan"
"The Love of My Next Life: Next Life Duet Book 1","B0B7B2G4TD","Benson , Brit "
"For Wrath and Redemption: An enemies to lovers, rockstar romance (The Hometown Heartless)","B0DPX5M3BH","Benson , Brit "
"Pucking Strong: An MM Workplace Hockey Romance (Jacksonville Rays Book 4)","B0DXVVG8LM","Rath, Emily"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","Quinn, Meghan "
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","Quinn, Meghan "
"The Good Girl Effect (Salacious Legacy Book 1)","B0DSRPZ7NY","Cate, Sara"
"The Soulmate Equation","B08LDYBGJD","Lauren, Christina"
"The Soulmate Equation","B08LDYBGJD","Lauren, Christina"
"Failure to Match","B0FSK2XC4Z","Kyra Parsi"
"Two Can Play","B0DGYFBMQC","Ali Hazelwood"
"Bride","B0C9GQV1TT","Hazelwood, Ali"
"Two Can Play","B0DGYFBMQC","Ali Hazelwood"
"Bride","B0C9GQV1TT","Hazelwood, Ali"
"Daisy Haites: The Great Undoing (The Magnolia Parks Universe Book 4)","B0C6NNZSVQ","Hastings, Jessa"
"Daisy Haites (The Magnolia Parks Universe Book 2)","B0C6NMBN7H","Hastings, Jessa"
"Magnolia Parks (The Magnolia Parks Universe Book 1)","B0C6NBLBL2","Hastings, Jessa"
"Love & Other Killers","B0FJ2Y7R1K","Brynne Weaver"
"Wild Card","B0DWSZPM62","Silver, Elsie"
"Love & Other Killers","B0FBMM3SCD","Weaver, Brynne"
"Wild Side","B0DD1VWZ4Z","Silver, Elsie"
"Magnolia Parks: Into the Dark (The Magnolia Parks Universe Book 5)","B0CFX5WT14","Hastings, Jessa"
"The Lion's Den","B07XCSPBKR","St. John, Katherine"
"The Finish Line (The Ravenhood Book 3)","B0D7F96JNZ","Stewart, Kate"
"The Favorites: A Novel","B0D1QKJLYT","Fargo, Layne"
"Say You'll Remember Me","B0DC66QD8K","Jimenez, Abby"
"The Book of Azrael (Gods & Monsters 1)","B0BGT7SZPT","Nicole, Amber V."
"Him","B011LSLI9G","Bowen, Sarina"
"Him","B011LSLI9G","Kennedy, Elle"
"Of Heartbreak and Harmony: A fake dating, rockstar romance (The Hometown Heartless)","B0DB2L4TWY","Benson, Brit "
"Between Never and Forever: A second chance, rockstar romance (The Hometown Heartless)","B0C3C7G6HN","Benson, Brit "
"Daisy Jones & The Six: Reese's Book Club: A Novel","B07DMZ5YR9","Reid, Taylor Jenkins "
"We'll Always Have Summer (Summer I Turned Pretty Book 3)","B003VPWY64","Han, Jenny"
"Love You Better: A friends to lovers romance (Better Love)","B094GCNRBZ","Benson, Brit "
"The Summer I Turned Pretty","B004CLYLCG","Han, Jenny"
"It's Not Summer Without You (The Summer I Turned Pretty Book 2)","B003IYI6TC","Han, Jenny"
"Exodus (The Ravenhood Book 2)","B0CZP7QV5D","Stewart, Kate"
"Flock (The Ravenhood Book 1)","B0CW1J839S","Stewart, Kate"
"Unsteady: A Novel","B0CQKGZL6K","Corinne, Peyton"
"Retreat: A Novel","B0D7ZVQG2N","Ritter, Krysten"
"Daisy Jones & The Six: A Novel","B07K8WGT23","Taylor Jenkins Reid"
"Hide and Sneak: An Enemies-to-lovers, Brother's Best Friend Romance (Happy Haven Book 3)","B0FK78LV2K","Shade, S.M."
"Severed Heart (Ravenhood Legacy)","1496757017","STEWART, KATE"
"One Last Rainy Day (Ravenhood Legacy)","1496754646","STEWART, KATE"
"The Finish Line (The Ravenhood)","1496754638","STEWART, KATE"
"The Dead Romantics: A GMA Book Club Pick","B09HTD8KQD","Poston, Ashley"
"The Devious Husband: Sierra and Xavier's Story (The Windsors)","B0CTXVHQW6","Maura, Catharina"
"The Love Haters: A Novel","1250283825","Center, Katherine"
"Unhinged: A Dark Why-Choose Romance (Dance with My Demons, Book 1)","B0F8C96GTL","Steph Macca"
"My Oxford Year: A Novel","B071VBHT9W","Whelan, Julia"
"The Broken Vows: Zane and Celeste's Story (The Windsors)","B0C4GRKJTF","Maura, Catharina"
"The Secret Fiancée: Lexington and Raya's Story (The Windsors)","B0CJDPTB3V","Maura, Catharina"
"The Unwanted Marriage: Dion and Faye's Story (The Windsors)","B0BT9W3ZS2","Maura, Catharina"
"The Temporary Wife: Luca and Valentina's Story (The Windsors)","B0BHN8JB7C","Maura, Catharina"
"The Wrong Bride: Ares and Raven's Story (The Windsors)","B0B9TBGC5X","Maura, Catharina"
"Restitution (The Edge of Darkness: Book 3) (The Edge of Darkness Trilogy)","B0CPKCH1V8","Rivers, Leigh"
"Voracious (The Edge of Darkness: Book 2) (The Edge of Darkness Trilogy)","B0CMJRJPC7","Rivers, Leigh"
"An American in London","B0DPNCMFZ9","Bay, Louise"
"The Other Brother (London Hearts Book 1)","B0F45JL25S","Page, Tierney"
"Insatiable (The Edge of Darkness: Book 1) (The Edge of Darkness Trilogy)","B0C9MXW2JL","Rivers, Leigh"
"Slap Shot (D.C. Stars Book 3)","B0D67VHK43","Curto, Chelsea "
"Hat Trick (D.C. Stars Book 4)","B0DY891B7R","Curto, Chelsea"
"Hockey Boy : Boston Bolts Hockey","B0CW6HCYCX","Nicole , Brittanee"
"Power Play: A Grumpy Sunshine Marriage of Convenience Romance (D.C. Stars Book 2)","B0CQ371ZTP","Curto, Chelsea"
"All Superheroes Need PR: Supers in the City","B0DPNJS9RY","Elizabeth Stephens"
"Gloves Off: a marriage of convenience hockey romance (Vancouver Storm Book 4)","B0DKG9MS7S","Archer, Stephanie"
"Face Off: A Spicy Rivals to Lovers Hockey Romance (D.C. Stars Book 1)","B0CS17PXNR","Curto, Chelsea"
"All Superheroes Need PR (Supers in the City)","B0DJTBBNQX","Stephens, Elizabeth"
"The Seven Year Slip","B0BGMZ9ZL2","Poston, Ashley"
"Wildfire: A Novel (The Maple Hills Series)","B0BV1C2PJ8","Grace, Hannah"
"Tomorrow, and Tomorrow, and Tomorrow: A novel","B09JBCGQB8","Zevin, Gabrielle"
"Between Love and Loathing: A Fake Dating Romance (Hardy Billionaires)","B0BYWZ58YL","Rose, Shain"
"Till Summer Do Us Part","B0DWVCNRFT","Quinn, Meghan"
"Trust Me Always: A Fake Dating Romance","B0DJPX4312","Brandy, Meagan"
"Severed Heart: The Birth of a Warrior: The Ravenhood Legacy, Book 2","B0F1Q7G6DK","Kate Stewart"
"Severed Heart (Ravenhood Legacy Book 2)","B0D5YMWD9Y","Stewart, Kate"
"fast","B08BXTRZZS","Belizaire, Millie"
"It's a Love Story","B0DFGDFM4V","Monaghan, Annabel"
"Icebreaker: A Novel (Maple Hills)","B0BL1L6XPD","Grace, Hannah"
"Remember Us This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 1)","B07N1Y4SNJ","Jane, C.R."
"Remember Me This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 3)","B07Z8CGG7R","Jane, C.R."
"Remember You This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 2)","B07N6PJWQF","Jane, C.R."
"Not Another Love Song","B0CMQ8X4LN","Soto, Julie"
"Daydream: A Novel (The Maple Hills Series)","B0CL5FT1GZ","Grace, Hannah"
"Between Commitment and Betrayal: An Arranged Marriage Romance (Hardy Billionaires)","B0BK79W1FZ","Rose, Shain"
"Done and Dusted: A Rebel Blue Ranch Novel","B0CHBML59T","Sage, Lyla"
"Caught Up: Into Darkness, Book 2","B0DJRHNY1F","Navessa Allen"
"Caught Up: An Into Darkness Novel (An into Darkness Novel (Into Darkness Series) Book 2)","B0DJPZ5CGC","Allen, Navessa"
"The Outsiders","B007ZUV4TO","Hinton, S. E."
"Bright Side","B00LJKT64Q","Holden, Kim"
"Mr. Heartbreaker (The Nest Book 1)","B0CRPVLGRC","Rayne, Piper"
"Magic Words","B0B3984S2Z","Berger, Jonah"
"A Love Letter to Whiskey","B09JT59YYX","Steiner, Kandi"
"If He Had Been with Me","B00APIVOIE","Nowlin, Laura"
"The Kings of Kearny: A Steamy MC Romance","B08XLKH2Q2","Allen, Navessa"
