"Product Name","ASIN","Genre"
"Looking for Alaska","B000YI1K0C","Teen & Young Adult"
"Looking for Alaska","B000YI1K0C","Romance"
"Looking for Alaska","B000YI1K0C","Literature & Fiction"
"Looking for Alaska","B000YI1K0C","Teen & Young Adult"
"Looking for Alaska","B000YI1K0C","Romance"
"Looking for Alaska","B000YI1K0C","Literature & Fiction"
"Mate","0593955013","Romance"
"Mate","0593955013","Romance"
"Emily Wilde's Encyclopaedia of Faeries","B09VXFLR23","Science Fiction & Fantasy"
"Emily Wilde's Encyclopaedia of Faeries","B09VXFLR23","Romance"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","Romance"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","Literature & Fiction"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","Romance"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","Literature & Fiction"
"August Lane","B0DCG89SDJ","Romance"
"August Lane","B0DCG89SDJ","Literature & Fiction"
"August Lane","B0DCG89SDJ","Romance"
"August Lane","B0DCG89SDJ","Literature & Fiction"
"Not in My Book: A Novel","B0CWPBWTCY","Romance"
"Not in My Book: A Novel","B0CWPBWTCY","Literature & Fiction"
"August Lane","B0DMB6PKTM","Romance"
"August Lane","B0DMB6PKTM","Literature & Fiction"
"August Lane","B0DMB6PKTM","Romance"
"August Lane","B0DMB6PKTM","Literature & Fiction"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","Romance"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","Literature & Fiction"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","Romance"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","Literature & Fiction"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","Romance"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","Literature & Fiction"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","Romance"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","Literature & Fiction"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","Romance"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","Literature & Fiction"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","Romance"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","Literature & Fiction"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","Romance"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","Literature & Fiction"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","Romance"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","Literature & Fiction"
"The Love of My Next Life: Next Life Duet Book 1","B0B7B2G4TD","Romance"
"The Love of My Next Life: Next Life Duet Book 1","B0B7B2G4TD","Literature & Fiction"
"For Wrath and Redemption: An enemies to lovers, rockstar romance (The Hometown Heartless)","B0DPX5M3BH","Romance"
"Pucking Strong: An MM Workplace Hockey Romance (Jacksonville Rays Book 4)","B0DXVVG8LM","Romance"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","Romance"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","Literature & Fiction"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","Romance"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","Literature & Fiction"
"The Good Girl Effect (Salacious Legacy Book 1)","B0DSRPZ7NY","Romance"
"The Good Girl Effect (Salacious Legacy Book 1)","B0DSRPZ7NY","Literature & Fiction"
"The Soulmate Equation","B08LDYBGJD","Romance"
"The Soulmate Equation","B08LDYBGJD","Literature & Fiction"
"The Soulmate Equation","B08LDYBGJD","Romance"
"The Soulmate Equation","B08LDYBGJD","Literature & Fiction"
"Two Can Play","B0DGYFBMQC","Romance"
"Two Can Play","B0DGYFBMQC","Literature & Fiction"
"Bride","B0C9GQV1TT","Romance"
"Two Can Play","B0DGYFBMQC","Romance"
"Two Can Play","B0DGYFBMQC","Literature & Fiction"
"Bride","B0C9GQV1TT","Romance"
"Daisy Haites: The Great Undoing (The Magnolia Parks Universe Book 4)","B0C6NNZSVQ","Romance"
"Daisy Haites (The Magnolia Parks Universe Book 2)","B0C6NMBN7H","Romance"
"Magnolia Parks (The Magnolia Parks Universe Book 1)","B0C6NBLBL2","Romance"
"Love & Other Killers","B0FJ2Y7R1K","Romance"
"Love & Other Killers","B0FJ2Y7R1K","Literature & Fiction"
"Wild Card","B0DWSZPM62","Romance"
"Love & Other Killers","B0FBMM3SCD","Romance"
"Love & Other Killers","B0FBMM3SCD","Literature & Fiction"
"Wild Side","B0DD1VWZ4Z","Romance"
"Magnolia Parks: Into the Dark (The Magnolia Parks Universe Book 5)","B0CFX5WT14","Romance"
"The Lion's Den","B07XCSPBKR","Mystery, Thriller & Suspense"
"The Lion's Den","B07XCSPBKR","Literature & Fiction"
"The Finish Line (The Ravenhood Book 3)","B0D7F96JNZ","Romance"
"The Favorites: A Novel","B0D1QKJLYT","Romance"
"The Favorites: A Novel","B0D1QKJLYT","Literature & Fiction"
"Say You'll Remember Me","B0DC66QD8K","Romance"
"Say You'll Remember Me","B0DC66QD8K","Literature & Fiction"
"The Book of Azrael (Gods & Monsters 1)","B0BGT7SZPT","Science Fiction & Fantasy"
"The Book of Azrael (Gods & Monsters 1)","B0BGT7SZPT","Romance"
"The Book of Azrael (Gods & Monsters 1)","B0BGT7SZPT","Literature & Fiction"
"Him","B011LSLI9G","Romance"
"Him","B011LSLI9G","Literature & Fiction"
"Of Heartbreak and Harmony: A fake dating, rockstar romance (The Hometown Heartless)","B0DB2L4TWY","Romance"
"Of Heartbreak and Harmony: A fake dating, rockstar romance (The Hometown Heartless)","B0DB2L4TWY","Literature & Fiction"
"Between Never and Forever: A second chance, rockstar romance (The Hometown Heartless)","B0C3C7G6HN","Romance"
"Between Never and Forever: A second chance, rockstar romance (The Hometown Heartless)","B0C3C7G6HN","Literature & Fiction"
"Daisy Jones & The Six: Reese's Book Club: A Novel","B07DMZ5YR9","Literature & Fiction"
"We'll Always Have Summer (Summer I Turned Pretty Book 3)","B003VPWY64","Teen & Young Adult"
"Love You Better: A friends to lovers romance (Better Love)","B094GCNRBZ","Romance"
"Love You Better: A friends to lovers romance (Better Love)","B094GCNRBZ","Literature & Fiction"
"The Summer I Turned Pretty","B004CLYLCG","Teen & Young Adult"
"The Summer I Turned Pretty","B004CLYLCG","Children's Books"
"It's Not Summer Without You (The Summer I Turned Pretty Book 2)","B003IYI6TC","Teen & Young Adult"
"It's Not Summer Without You (The Summer I Turned Pretty Book 2)","B003IYI6TC","Children's Books"
"Exodus (The Ravenhood Book 2)","B0CZP7QV5D","Romance"
"Flock (The Ravenhood Book 1)","B0CW1J839S","Romance"
"Unsteady: A Novel","B0CQKGZL6K","Romance"
"Retreat: A Novel","B0D7ZVQG2N","Mystery, Thriller & Suspense"
"Retreat: A Novel","B0D7ZVQG2N","Literature & Fiction"
"Daisy Jones & The Six: A Novel","B07K8WGT23","Literature & Fiction"
"Hide and Sneak: An Enemies-to-lovers, Brother's Best Friend Romance (Happy Haven Book 3)","B0FK78LV2K","Romance"
"Severed Heart (Ravenhood Legacy)","1496757017","Romance"
"One Last Rainy Day (Ravenhood Legacy)","1496754646","Romance"
"The Finish Line (The Ravenhood)","1496754638","Romance"
"The Dead Romantics: A GMA Book Club Pick","B09HTD8KQD","Romance"
"The Dead Romantics: A GMA Book Club Pick","B09HTD8KQD","Literature & Fiction"
"The Devious Husband: Sierra and Xavier's Story (The Windsors)","B0CTXVHQW6","Romance"
"The Love Haters: A Novel","1250283825","Romance"
"The Love Haters: A Novel","1250283825","Literature & Fiction"
"Unhinged: A Dark Why-Choose Romance (Dance with My Demons, Book 1)","B0F8C96GTL","Romance"
"My Oxford Year: A Novel","B071VBHT9W","Romance"
"My Oxford Year: A Novel","B071VBHT9W","Literature & Fiction"
"The Broken Vows: Zane and Celeste's Story (The Windsors)","B0C4GRKJTF","Romance"
"The Secret Fiancée: Lexington and Raya's Story (The Windsors)","B0CJDPTB3V","Romance"
"The Unwanted Marriage: Dion and Faye's Story (The Windsors)","B0BT9W3ZS2","Romance"
"The Temporary Wife: Luca and Valentina's Story (The Windsors)","B0BHN8JB7C","Romance"
"The Wrong Bride: Ares and Raven's Story (The Windsors)","B0B9TBGC5X","Romance"
"Restitution (The Edge of Darkness: Book 3) (The Edge of Darkness Trilogy)","B0CPKCH1V8","Romance"
"Restitution (The Edge of Darkness: Book 3) (The Edge of Darkness Trilogy)","B0CPKCH1V8","Literature & Fiction"
"Voracious (The Edge of Darkness: Book 2) (The Edge of Darkness Trilogy)","B0CMJRJPC7","Romance"
"Voracious (The Edge of Darkness: Book 2) (The Edge of Darkness Trilogy)","B0CMJRJPC7","Literature & Fiction"
"An American in London","B0DPNCMFZ9","Romance"
"The Other Brother (London Hearts Book 1)","B0F45JL25S","Romance"
"The Other Brother (London Hearts Book 1)","B0F45JL25S","Literature & Fiction"
"Insatiable (The Edge of Darkness: Book 1) (The Edge of Darkness Trilogy)","B0C9MXW2JL","Romance"
"Insatiable (The Edge of Darkness: Book 1) (The Edge of Darkness Trilogy)","B0C9MXW2JL","Literature & Fiction"
