"Product Name","ASIN","Resource Type","Our Price","Ownership Type","Relationship Status","Sortable Title","Sortable Author Name","Series Author","Series Title","Relation Type","Position In Collection","Ordered","Marketplace","Relationship Creation Date","Created At","Deleted By Customer"
"Looking for Alaska","B000YI1K0C","ITEM","9 USD","Item Owner","Fulfilled","Looking for Alaska","Green, John","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-10-19T16:06:12Z","2025-10-19T16:06:12Z","Not Available"
"Looking for Alaska","B000YI1K0C","ITEM","9 USD","Item Owner","Fulfilled","Looking for Alaska","Green, John","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-10-19T16:06:12Z","2025-10-19T16:06:12Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T02:08:04Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T02:18:20Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T02:18:42Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T02:55:35Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T03:00:23Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T05:24:55Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T02:08:04Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T02:18:20Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T02:18:42Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T02:55:35Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T03:00:23Z","2025-10-19T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-10-20T05:24:55Z","2025-10-19T06:59:59Z","Not Available"
"It's Different This Time: A Novel","B0DXPCCDPR","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-09-24T00:00:00Z","2025-10-16T06:59:59Z","Not Available"
