"Product Name","ASIN","Ownership Type","Ownership Subtype"
"Looking for Alaska","B000YI1K0C","Item Owner","Sharing"
"Looking for Alaska","B000YI1K0C","Item Owner","Sharing"
"It's Different This Time: A Novel","B0DXPCCDPR","Not Interested","GR"
"It's Different This Time: A Novel","B0DXPCCDPR","Not Interested","GR"
"Mate","0593955013","Not Interested","GR"
"Mate","0593955013","Not Interested","GR"
"Emily Wilde's Encyclopaedia of Faeries","B09VXFLR23","Item Owner","PublicLibraryLending"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","Item Owner","KindleUnlimited"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","Item Owner","KindleUnlimited"
"August Lane","B0DCG89SDJ","Item Owner","PublicLibraryLending"
"August Lane","B0DCG89SDJ","Item Owner","PublicLibraryLending"
"Not in My Book: A Novel","B0CWPBWTCY","Item Owner","PublicLibraryLending"
"August Lane","B0DMB6PKTM","Item Owner","Purchase"
"August Lane","B0DMB6PKTM","Item Owner","Purchase"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","Item Owner","Purchase"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","Item Owner","Purchase"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","Item Owner","KindleUnlimited"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","Item Owner","KindleUnlimited"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","Item Owner","KindleUnlimited"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","Item Owner","KindleUnlimited"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","Item Owner","KindleUnlimited"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","Item Owner","KindleUnlimited"
"The Love of My Next Life: Next Life Duet Book 1","B0B7B2G4TD","Item Owner","KindleUnlimited"
"For Wrath and Redemption: An enemies to lovers, rockstar romance (The Hometown Heartless)","B0DPX5M3BH","Item Owner","KindleUnlimited"
"Pucking Strong: An MM Workplace Hockey Romance (Jacksonville Rays Book 4)","B0DXVVG8LM","Item Owner","KindleUnlimited"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","Item Owner","KindleUnlimited"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","Item Owner","KindleUnlimited"
"The Good Girl Effect (Salacious Legacy Book 1)","B0DSRPZ7NY","Item Owner","KindleUnlimited"
"The Soulmate Equation","B08LDYBGJD","Item Owner","KindleUnlimited"
"The Soulmate Equation","B08LDYBGJD","Item Owner","KindleUnlimited"
"Failure to Match","B0FSK2XC4Z","Not Interested","GR"
"Two Can Play","B0DGYFBMQC","Not Interested","GR"
"Bride","B0C9GQV1TT","Not Interested","GR"
"Two Can Play","B0DGYFBMQC","Not Interested","GR"
"Bride","B0C9GQV1TT","Not Interested","GR"
"Daisy Haites: The Great Undoing (The Magnolia Parks Universe Book 4)","B0C6NNZSVQ","Item Owner","PublicLibraryLending"
"Daisy Haites (The Magnolia Parks Universe Book 2)","B0C6NMBN7H","Item Owner","PublicLibraryLending"
"Fight Right: How Successful Couples Turn Conflict Into Connection","B0C3ZJRBNL","Item Owner","Sharing"
"Magnolia Parks (The Magnolia Parks Universe Book 1)","B0C6NBLBL2","Item Owner","PublicLibraryLending"
"Love & Other Killers","B0FJ2Y7R1K","Item Owner","KindleUnlimited"
"Wild Card","B0DWSZPM62","Item Owner","KindleUnlimited"
"Love & Other Killers","B0FBMM3SCD","Item Owner","KindleUnlimited"
"Wild Side","B0DD1VWZ4Z","Item Owner","KindleUnlimited"
"Magnolia Parks: Into the Dark (The Magnolia Parks Universe Book 5)","B0CFX5WT14","Not Interested","GR"
"The Lion's Den","B07XCSPBKR","Item Owner","KindleUnlimited"
"The Finish Line (The Ravenhood Book 3)","B0D7F96JNZ","Item Owner","KindleUnlimited"
"The Favorites: A Novel","B0D1QKJLYT","Item Owner","PublicLibraryLending"
"Not Available","B0B6D9FY3V","Not Interested","GR"
"Say You'll Remember Me","B0DC66QD8K","Item Owner","PublicLibraryLending"
"The Book of Azrael (Gods & Monsters 1)","B0BGT7SZPT","Item Owner","KindleUnlimited"
"Him","B011LSLI9G","Item Owner","KindleUnlimited"
"Of Heartbreak and Harmony: A fake dating, rockstar romance (The Hometown Heartless)","B0DB2L4TWY","Item Owner","KindleUnlimited"
"Between Never and Forever: A second chance, rockstar romance (The Hometown Heartless)","B0C3C7G6HN","Item Owner","KindleUnlimited"
"Daisy Jones & The Six: Reese's Book Club: A Novel","B07DMZ5YR9","Item Owner","PublicLibraryLending"
"We'll Always Have Summer (Summer I Turned Pretty Book 3)","B003VPWY64","Item Owner","KindleUnlimited"
"Love You Better: A friends to lovers romance (Better Love)","B094GCNRBZ","Item Owner","KindleUnlimited"
"The Summer I Turned Pretty","B004CLYLCG","Item Owner","KindleUnlimited"
"It's Not Summer Without You (The Summer I Turned Pretty Book 2)","B003IYI6TC","Item Owner","KindleUnlimited"
"Exodus (The Ravenhood Book 2)","B0CZP7QV5D","Item Owner","KindleUnlimited"
"Flock (The Ravenhood Book 1)","B0CW1J839S","Item Owner","KindleUnlimited"
"Unsteady: A Novel","B0CQKGZL6K","Item Owner","PublicLibraryLending"
"Retreat: A Novel","B0D7ZVQG2N","Item Owner","Purchase"
"Daisy Jones & The Six: A Novel","B07K8WGT23","Item Owner","Purchase"
"Hide and Sneak: An Enemies-to-lovers, Brother's Best Friend Romance (Happy Haven Book 3)","B0FK78LV2K","Item Owner","KindleUnlimited"
"Severed Heart (Ravenhood Legacy)","1496757017","Not Interested","GR"
"One Last Rainy Day (Ravenhood Legacy)","1496754646","Not Interested","GR"
"The Finish Line (The Ravenhood)","1496754638","Not Interested","GR"
"The Dead Romantics: A GMA Book Club Pick","B09HTD8KQD","Item Owner","PublicLibraryLending"
"The Devious Husband: Sierra and Xavier's Story (The Windsors)","B0CTXVHQW6","Item Owner","KindleUnlimited"
"The Love Haters: A Novel","1250283825","Not Interested","GR"
"Unhinged: A Dark Why-Choose Romance (Dance with My Demons, Book 1)","B0F8C96GTL","Item Owner","Purchase"
"My Oxford Year: A Novel","B071VBHT9W","Item Owner","KindleUnlimited"
"The Broken Vows: Zane and Celeste's Story (The Windsors)","B0C4GRKJTF","Item Owner","KindleUnlimited"
"The Secret Fiancée: Lexington and Raya's Story (The Windsors)","B0CJDPTB3V","Item Owner","KindleUnlimited"
"The Unwanted Marriage: Dion and Faye's Story (The Windsors)","B0BT9W3ZS2","Item Owner","KindleUnlimited"
"The Temporary Wife: Luca and Valentina's Story (The Windsors)","B0BHN8JB7C","Item Owner","KindleUnlimited"
"The Wrong Bride: Ares and Raven's Story (The Windsors)","B0B9TBGC5X","Item Owner","KindleUnlimited"
"Restitution (The Edge of Darkness: Book 3) (The Edge of Darkness Trilogy)","B0CPKCH1V8","Item Owner","KindleUnlimited"
"Voracious (The Edge of Darkness: Book 2) (The Edge of Darkness Trilogy)","B0CMJRJPC7","Item Owner","KindleUnlimited"
"An American in London","B0DPNCMFZ9","Item Owner","KindleUnlimited"
"The Other Brother (London Hearts Book 1)","B0F45JL25S","Item Owner","KindleUnlimited"
"Insatiable (The Edge of Darkness: Book 1) (The Edge of Darkness Trilogy)","B0C9MXW2JL","Item Owner","KindleUnlimited"
"Slap Shot (D.C. Stars Book 3)","B0D67VHK43","Item Owner","KindleUnlimited"
"Hat Trick (D.C. Stars Book 4)","B0DY891B7R","Item Owner","KindleUnlimited"
"Hockey Boy : Boston Bolts Hockey","B0CW6HCYCX","Item Owner","KindleUnlimited"
"Power Play: A Grumpy Sunshine Marriage of Convenience Romance (D.C. Stars Book 2)","B0CQ371ZTP","Item Owner","KindleUnlimited"
"All Superheroes Need PR: Supers in the City","B0DPNJS9RY","Item Owner","KindleUnlimited"
"Gloves Off: a marriage of convenience hockey romance (Vancouver Storm Book 4)","B0DKG9MS7S","Item Owner","KindleUnlimited"
"Face Off: A Spicy Rivals to Lovers Hockey Romance (D.C. Stars Book 1)","B0CS17PXNR","Item Owner","KindleUnlimited"
"All Superheroes Need PR (Supers in the City)","B0DJTBBNQX","Item Owner","KindleUnlimited"
"The Seven Year Slip","B0BGMZ9ZL2","Item Owner","PublicLibraryLending"
"Wildfire: A Novel (The Maple Hills Series)","B0BV1C2PJ8","Item Owner","PublicLibraryLending"
"Tomorrow, and Tomorrow, and Tomorrow: A novel","B09JBCGQB8","Item Owner","PublicLibraryLending"
"Between Love and Loathing: A Fake Dating Romance (Hardy Billionaires)","B0BYWZ58YL","Item Owner","KindleUnlimited"
"Till Summer Do Us Part","B0DWVCNRFT","Item Owner","KindleUnlimited"
"Trust Me Always: A Fake Dating Romance","B0DJPX4312","Item Owner","KindleUnlimited"
"Severed Heart: The Birth of a Warrior: The Ravenhood Legacy, Book 2","B0F1Q7G6DK","Item Owner","Purchase"
"Severed Heart (Ravenhood Legacy Book 2)","B0D5YMWD9Y","Item Owner","KindleUnlimited"
"fast","B08BXTRZZS","Item Owner","KindleUnlimited"
"It's a Love Story","B0DFGDFM4V","Item Owner","Purchase"
"Liz Tomforde","Not Available","Collection Follow","AUTHOR"
"Liz Tomforde","Not Available","Collection Follow","AUTHOR"
"Elsie Silver","Not Available","Collection Follow","AUTHOR"
"Elsie Silver","Not Available","Collection Follow","AUTHOR"
"Emily Henry","Not Available","Collection Follow","AUTHOR"
"Emily Henry","Not Available","Collection Follow","AUTHOR"
"Ali Hazelwood","Not Available","Collection Follow","AUTHOR"
"Abby Jimenez","Not Available","Collection Follow","AUTHOR"
"Ali Hazelwood","Not Available","Collection Follow","AUTHOR"
"Abby Jimenez","Not Available","Collection Follow","AUTHOR"
"Icebreaker: A Novel (Maple Hills)","B0BL1L6XPD","Item Owner","KindleUnlimited"
"Remember Us This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 1)","B07N1Y4SNJ","Item Owner","KindleUnlimited"
"Remember Me This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 3)","B07Z8CGG7R","Item Owner","KindleUnlimited"
"Remember You This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 2)","B07N6PJWQF","Item Owner","KindleUnlimited"
"Not Another Love Song","B0CMQ8X4LN","Item Owner","PublicLibraryLending"
"Daydream: A Novel (The Maple Hills Series)","B0CL5FT1GZ","Item Owner","PublicLibraryLending"
"Between Commitment and Betrayal: An Arranged Marriage Romance (Hardy Billionaires)","B0BK79W1FZ","Item Owner","KindleUnlimited"
"Done and Dusted: A Rebel Blue Ranch Novel","B0CHBML59T","Item Owner","PublicLibraryLending"
"Caught Up: Into Darkness, Book 2","B0DJRHNY1F","Item Owner","Purchase"
"Caught Up: An Into Darkness Novel (An into Darkness Novel (Into Darkness Series) Book 2)","B0DJPZ5CGC","Item Owner","Purchase"
"The Outsiders","B007ZUV4TO","Item Owner","PublicLibraryLending"
"Bright Side","B00LJKT64Q","Item Owner","KindleUnlimited"
"Mr. Heartbreaker (The Nest Book 1)","B0CRPVLGRC","Item Owner","KindleUnlimited"
"Magic Words","B0B3984S2Z","Item Owner","KindleUnlimited"
"A Love Letter to Whiskey","B09JT59YYX","Item Owner","KindleUnlimited"
"If He Had Been with Me","B00APIVOIE","Item Owner","KindleUnlimited"
"The Kings of Kearny: A Steamy MC Romance","B08XLKH2Q2","Item Owner","KindleUnlimited"
"The Perfect Fit","B0C1LJS1XX","Item Owner","KindleUnlimited"
"Duplicity: A Billionaire, Single Mom Romance (Seraph)","B0DQVGJ7ZK","Item Owner","KindleUnlimited"
"The Mixtape","B08LD2HT9F","Item Owner","KindleUnlimited"
"Billionaire for Sale","B0F5ZCBK52","Item Owner","AudiblePlus"
"The Story Of Us: Carnage Book One","B00IERA5RY","Item Owner","KindleUnlimited"
"American Prince (New Camelot Book 2)","B01N9F5IOL","Item Owner","PublicLibraryLending"
"The Pumpkin Spice Café: Read the viral TikTok sensation romcom series, for fans of cozy and spicy romance in 2025! (Dream Harbor Book 1)","B0BTTJWYFN","Item Owner","PublicLibraryLending"
"Beautiful Disaster: A Novel","B008JMKN4Y","Item Owner","PublicLibraryLending"
"The Bet (The Bet Series Book 1)","B00DB7RCD2","Item Owner","PublicLibraryLending"
"One True Loves: A Novel","B0176M3XWQ","Item Owner","PublicLibraryLending"
