"Product Name","ASIN","Ownership Type","Tag Name","Tag Scope","Tag Source Group","Tag Source Subgroup","Image URL","Validity Start","Validity End"
"Not Available","Not Available","Customer Metadata","By Holly June Smith","Not Available","author","primary","https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/72hev0lj2blvueaskmp156m94a.jpg","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","By Regina Black","Not Available","author","primary","https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/94m1v0r6o0k76imnckqamk8ts0.jpg","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","By Brynne Weaver","Not Available","author","primary","https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/puscla733ku2hs9uhj3g0kghsa.jpg","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Romantic Comedy","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Romance","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","New Adult & College","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Sports","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Cozy","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Rockstar Romance","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Dating & Sex","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Domestic","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Coming of Age","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Domestic Life","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Dark Romance","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Small Town Romance","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Black & African American","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Workplace Romance","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Romantic","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Billionaires & Millionaires","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Western & Frontier","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Enemies to Lovers","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Forced Proximity","Not Available","genre","goodreads-shelf","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Friendship","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","By S.M. Shade","Not Available","author","primary","https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/pbk38g3gskghfktg0rs5jj432e.jpg","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","By Tierney Page","Not Available","author","primary","https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/sbmp1bo1stguq5o35ld0g537fl.jpg","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","By Jonah Berger","Not Available","author","primary","https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/61A-olkBCIL.jpg","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Romantic Comedy","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Advertising","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","New Adult & College","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Rockstar Romance","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Consumer Behavior","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Small Town Romance","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Research","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
