Asin,"""Product Name""",Marketplace
B0F3DTZ9H9,"""Bad Date""",www.amazon.com
B0DK7M13VX,"""The Sublet""",www.amazon.com
B07ZP34W7H,"""Everything My Mother Taught Me""",www.amazon.com
B0DFCV9VB4,"""Only Santas in the Building""",www.amazon.com
B0F7RWJKZ6,"""My Boyfriends Are All Monsters""",www.amazon.com
B0F946BLZX,"""Space Vampire""",www.amazon.com
B078N5PHXT,"""The Princess of Valencia""",www.amazon.com
B0F7SJHCF8,"""Falling""",www.amazon.com
B0DW4JJB3B,"""The Ex-Wives Club""",www.amazon.com
B0F7RSB3QD,"""Beautiful Nightmare""",www.amazon.com
B0CL7KDZJT,"""With Any Luck""",www.amazon.com
B0D5JLH3RJ,"""The Answer Is No""",www.amazon.com
B0F2SHXSM4,"""Eerie Basin""",www.amazon.com
B07CBBZ1P8,"""Bush (Kindle Single)""",www.amazon.com
B0F8NVX5QV,"""Hot for Slayer""",www.amazon.com
B078JHLQ7H,"""The Widow's Network (Kindle Single)""",www.amazon.com
B0C78LYBL8,"""A Welcome Reunion""",www.amazon.com
B0BHXK5WC3,"""Resting Scrooge Face""",www.amazon.com
B0F7S5YHB8,"""Spicy Little Curses""",www.amazon.com
B0DRLJNHZJ,"""Death Row""",www.amazon.com
B0DM9X99WK,"""The One That Got Away""",www.amazon.com
B0DT7LBVWR,"""Abscond""",www.amazon.com
B0D9KL14L4,"""Merry Ever After""",www.amazon.com
B08BWVWD3L,"""Snowflakes""",www.amazon.com
B0CVLHTFDS,"""Natural Selection""",www.amazon.com
B0BB52CCND,"""The Bookstore Sisters""",www.amazon.com
B07QLKR5XL,"""Who Loves It Most""",www.amazon.com
B07GN867XT,"""Evidence of the Affair""",www.amazon.com
B09DKM9FTV,"""Model Home""",www.amazon.com
B07F74CS3Y,"""The Hustle of Kim Foxx""",www.amazon.com
B09NKRK457,"""Trayvon""",www.amazon.com
