Device Serial Number,CustomerType,DeviceAccountRole,AccountName,FirstTimeRegistered,LastTimeRegistered,TimeDeregistered,State,CurrentFirmwareVersion,DeviceModel,Amazon Device Model Name,LocalTimeOffset,IpAddress,CustomerLoginPool,DevicePairingDetails
Third party device/Application,ADULT,PRIMARY,Alex's Android Device,2025-10-05T20:32:38.233Z,2025-10-05T20:32:38.233Z,Not Available,ACTIVE,0,Palma2,Not Available,-300mm,108.203.190.207,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's Android Device,2025-10-05T20:32:37.444Z,2025-10-05T20:32:37.444Z,Not Available,ACTIVE,0,Palma2,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,iPhone 4,2025-08-20T03:14:18.248Z,2025-08-20T03:14:18.248Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Apple TV,2025-03-15T00:25:57.218Z,2025-03-15T00:25:57.218Z,Not Available,ACTIVE,0,Apple TV,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 2nd Audible for iPhone,2024-10-03T11:12:32.317Z,2024-10-03T11:12:32.317Z,Not Available,ACTIVE,0,iPhone,Not Available,-300mm,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 3rd iPhone,2024-09-20T23:04:29.975Z,2024-09-20T23:04:29.975Z,Not Available,ACTIVE,0,iPhone17.1,Not Available,-300mm,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,iPhone 3,2024-05-11T17:49:40.283Z,2024-05-11T17:49:40.283Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's Audible on Apple Watch,2024-04-30T17:34:15.288Z,2024-04-30T17:34:15.288Z,Not Available,ACTIVE,0,Apple Watch,Not Available,Not Available,Not Available,Amazon,Not Applicable
G8S1LG134041039L,ADULT,PRIMARY,Alex's Kindle,2024-03-26T04:03:28.926Z,2024-03-26T04:03:28.926Z,Not Available,ACTIVE,4434540025,Not Available,Not Available,-300mm,47.13.177.206,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Audible Mobile Cloud Player,2024-03-16T01:20:29.848Z,2024-03-16T01:20:29.848Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's Audible for iPhone,2024-03-07T22:25:43.905Z,2024-03-07T22:25:43.905Z,Not Available,ACTIVE,0,Not Available,Not Available,-300mm,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 2nd iPhone,2024-02-23T23:28:21.173Z,2024-02-23T23:28:21.173Z,Not Available,ACTIVE,0,iPhone16.1,Not Available,-300mm,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 8th iOS Device,2023-12-09T01:38:45.220Z,2023-12-09T01:38:45.220Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's Audible for iPad,2023-10-09T15:55:41.866Z,2023-10-09T15:55:41.866Z,Not Available,ACTIVE,0,Not Available,Not Available,-300mm,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's Kindle for Mac,2023-10-09T15:51:35.070Z,2023-10-09T15:51:35.070Z,Not Available,ACTIVE,0,arm64,Not Available,-300mm,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Audible Cloud Player,2023-10-09T15:48:13.903Z,2023-10-09T15:48:13.903Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's  Apple TV AppleTV11;1,2023-04-29T13:50:33.245Z,2023-04-29T13:50:33.245Z,Not Available,ACTIVE,0,Apple TV AppleTV11;1,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's Kindle Cloud Reader,2023-03-21T16:48:17.512Z,2023-03-21T16:48:17.512Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 7th iOS Device,2022-10-02T18:11:53.453Z,2022-10-02T18:11:53.453Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
