device_record_time,device serial number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,amazon marketplace
2024-03-30T01:03:00Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,32183,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 01:43:28,Amazon.com
2024-03-30T12:03:27Z,G8S1LG134041039L,United States,com.lab126.KPP_SETTINGS,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,70519,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 00:57:17,Amazon.com
2024-03-30T12:03:25Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Audio,Not Available,Not Available,1,65845,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 00:52:20,Amazon.com
2024-03-30T09:03:58Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Tablet,Not Available,Not Available,1,10529,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 21:48:47,Amazon.com
2024-03-31T03:03:51Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Tablet,Not Available,Not Available,1,212714,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-31 15:13:18,Amazon.com
2024-03-29T02:03:46Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,170196,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-29 02:52:56,Amazon.com
2024-03-29T02:03:22Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Audio,Not Available,Not Available,1,21388,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-29 02:57:00,Amazon.com
2024-03-30T01:03:06Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Audio,Not Available,Not Available,1,3107,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 01:44:02,Amazon.com
2024-03-30T12:03:25Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Not Available,Not Available,Not Available,1,65845,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 00:52:20,Amazon.com
2024-03-30T12:03:00Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,125630,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 00:55:54,Amazon.com
2024-03-31T12:03:39Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,16188,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-31 12:47:23,Amazon.com
2024-04-07T08:04:50Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Not Available,Not Available,Not Available,1,96790,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 20:16:14,Amazon.com
2024-03-29T02:03:27Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,4563,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-29 02:57:22,Amazon.com
2024-04-06T04:04:34Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,7039004,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 02:19:15,Amazon.com
2024-03-31T12:03:10Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Tablet,Not Available,Not Available,1,18440,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-31 00:23:52,Amazon.com
2024-04-08T02:04:55Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,RING,Not Available,Not Available,1,2533413,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 14:16:42,Amazon.com
