DeviceSerialNumber,CustomerType,DeviceAccountRole,AccountName,FirstTimeRegistered,LastTimeRegistered,TimeDeregistered,State,CurrentFirmwareVersion,DeviceModel,LocalTimeOffset,IpAddress,CustomerLoginPool,DevicePairingDetails
G8S1LG134041039L,ADULT,PRIMARY,Alex's Kindle,2024-03-26T04:03:28.926Z,2024-03-26T04:03:28.926Z,Not Available,ACTIVE,4193160020,Not Available,-300,47.13.177.206,Amazon,Not Applicable
A3EKLZ38097I8B,ADULT,PRIMARY,Audible Mobile Cloud Player,2024-03-16T01:20:29.848Z,2024-03-16T01:20:29.848Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Amazon,Not Applicable
cuBo0SbquCOUCgLoTutVpiSBVsN3xzShkp3AJ5US,ADULT,PRIMARY,Alex's Audible for iPhone,2024-03-07T22:25:43.905Z,2024-03-07T22:25:43.905Z,Not Available,ACTIVE,0,Not Available,-300,Not Available,Amazon,Not Applicable
64A32768C3794A7CA443A2368E83E905,ADULT,PRIMARY,Alex's 2nd iPhone,2024-02-23T23:28:21.173Z,2024-02-23T23:28:21.173Z,Not Available,ACTIVE,0,iPhone16.1,-300,Not Available,Amazon,Not Applicable
9EA24133C97B441296A7977A3E216510,ADULT,PRIMARY,Alex's 8th iOS Device,2023-12-09T01:38:45.220Z,2023-12-09T01:38:45.220Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Amazon,Not Applicable
QFjDUBTeNSL1a0QIguiSRgF8qfZaWxEm9nvz9A0E,ADULT,PRIMARY,Alex's Audible for iPad,2023-10-09T15:55:41.866Z,2023-10-09T15:55:41.866Z,Not Available,ACTIVE,0,Not Available,-300,Not Available,Amazon,Not Applicable
DFE17369AE255C3FBCC54ABD864547FA,ADULT,PRIMARY,Alex's Kindle for Mac,2023-10-09T15:51:35.070Z,2023-10-09T15:51:35.070Z,Not Available,ACTIVE,0,arm64,-300,Not Available,Amazon,Not Applicable
A3EKLZ38097I8B,ADULT,PRIMARY,Audible Cloud Player,2023-10-09T15:48:13.903Z,2023-10-09T15:48:13.903Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Amazon,Not Applicable
3afab20a60eb4ce4be0f1e067c30d20b,ADULT,PRIMARY,Alex's  Apple TV AppleTV11,1,2023-04-29T13:50:33.245Z,2023-04-29T13:50:33.245Z,Not Available,ACTIVE,0,Apple TV AppleTV11,1,Not Available,Not Available,Amazon,Not Applicable
A2CTZ977SKFQZY00A3EKLZ38097I8B,ADULT,PRIMARY,Alex's Kindle Cloud Reader,2023-03-21T16:48:17.512Z,2023-03-21T16:48:17.512Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Amazon,Not Applicable
