ASIN,Annotation Type,Customer modified date on device,DSN,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B006ID0CH4,kindle.last_read,2021-06-29T23:27:22Z,391232D6EBBE42E495E6239508CF8F26,EBOK,YJBinary,2019-01-14T13:50:08Z,2021-06-29T23:27:25Z,,Not Available,Not Available,Not Available,FALSE
B006ID0CH4,kindle.highlight,2021-06-29T23:27:40Z,391232D6EBBE42E495E6239508CF8F26,EBOK,YJBinary,2021-06-29T23:27:44Z,2021-06-29T23:27:44Z,{mchl_color:yellow},Not Available,Not Available,Not Available,FALSE
B006ID0CH4,kindle.most_recent_read,2021-06-29T23:27:37Z,391232D6EBBE42E495E6239508CF8F26,EBOK,YJBinary,2019-01-14T13:50:08Z,2021-06-29T23:27:44Z,,Not Available,Not Available,Not Available,FALSE
B006ID0CH4,kindle.continuous_read,2021-06-29T23:27:37Z,391232D6EBBE42E495E6239508CF8F26,EBOK,YJBinary,2019-01-14T13:50:08Z,2021-06-29T23:27:44Z,,Not Available,Not Available,Not Available,FALSE
B07DZLJF1C,kindle.last_read,2021-06-30T02:59:08Z,391232D6EBBE42E495E6239508CF8F26,EBOK,YJBinary,2021-06-29T23:26:28Z,2021-06-30T02:59:08Z,,Not Available,Not Available,Not Available,FALSE
B07DZLJF1C,kindle.most_recent_read,2021-07-09T03:26:12Z,391232D6EBBE42E495E6239508CF8F26,EBOK,YJBinary,2021-06-29T23:26:28Z,2021-07-09T03:28:31Z,,Not Available,Not Available,Not Available,FALSE
B07DZLJF1C,kindle.continuous_read,2021-07-09T03:26:12Z,391232D6EBBE42E495E6239508CF8F26,EBOK,YJBinary,2021-06-29T23:26:28Z,2021-07-09T03:28:31Z,,Not Available,Not Available,Not Available,FALSE
B07KWL5L8Y,kindle.highlight,2019-02-14T05:32:15Z,90C60706529300QE,EBOK,YJBinary,2019-02-14T05:45:05Z,2019-02-14T05:45:05Z,,Not Available,Not Available,Not Available,FALSE
B07KWL5L8Y,kindle.highlight,2019-02-14T05:29:19Z,90C60706529300QE,EBOK,YJBinary,2019-02-14T05:45:05Z,2019-02-14T05:45:05Z,,Not Available,Not Available,Not Available,FALSE
B07KWL5L8Y,kindle.note,2019-02-14T05:32:15Z,90C60706529300QE,EBOK,YJBinary,2019-02-14T05:45:05Z,2019-02-14T05:45:05Z,,Not Available,Not Available,Loom up later - good keyword ,FALSE
B07KWL5L8Y,kindle.highlight,2019-02-17T20:48:31Z,90C60706529300QE,EBOK,YJBinary,2019-02-17T20:53:15Z,2019-02-17T20:53:15Z,,Not Available,Not Available,Not Available,FALSE
B07KWL5L8Y,kindle.highlight,2019-02-17T20:48:47Z,90C60706529300QE,EBOK,YJBinary,2019-02-17T20:53:15Z,2019-02-17T20:53:15Z,,Not Available,Not Available,Not Available,FALSE
B07KWL5L8Y,kindle.highlight,2019-02-17T20:49:44Z,90C60706529300QE,EBOK,YJBinary,2019-02-17T20:53:15Z,2019-02-17T20:53:15Z,,Not Available,Not Available,Not Available,FALSE
