Event Type,Marketplace,Pending Balance (Points),Pending Balance Changed (Points),Posted Time,Running Balance (Points),Running Balance Changed (Points)
earn,www.amazon.com,0,0,2024-04-11T20:29:32.883Z,225,6
earn,www.amazon.com,0,0,2024-04-10T00:35:23.442Z,219,9
earn,www.amazon.com,0,0,2024-04-06T22:45:39.917Z,210,9
earn,www.amazon.com,0,0,2024-04-06T19:59:38.134Z,201,12
earn,www.amazon.com,0,0,2024-04-06T19:59:38.039Z,189,18
earn,www.amazon.com,0,0,2024-04-06T19:59:37.804Z,171,12
earn,www.amazon.com,0,0,2024-03-25T00:43:42.261Z,159,27
earn,www.amazon.com,0,0,2024-03-18T04:00:09.546Z,132,36
earn,www.amazon.com,0,0,2024-03-18T04:00:09.427Z,96,30
earn,www.amazon.com,0,0,2024-03-18T04:00:09.312Z,66,18
earn,www.amazon.com,0,0,2024-03-18T04:00:09.220Z,48,36
earn,www.amazon.com,0,0,2024-03-18T04:00:09.194Z,12,12
clear balance,www.amazon.com,0,0,2023-10-02T05:29:09.278Z,0,-50
earn,www.amazon.com,0,0,2023-03-21T16:48:21.588Z,50,50
